Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),EPS,NAV(Year End),Audited PE,Forward PE,PaidUp Capital,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,840.78,-,2.9,7.41,2.9,6.607,2322524.0,68.71,0.0,2.455,2.534,3.055,2.6306,2.589,2.5265,0.0625,0.0006,2.8132,2.0968,72.71,987372.1326,2.6711,2.6115,2.5243,1.1951,-,-,-,-,-,-,-,-,-,-,-,-,-2.24,7.54,-,-,2899233490.00,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,402.0,-,20.1,3.08,20.1,15.531,778143.0,57.8706,-14.8148,19.545,19.522,20.2445,19.5798,19.5649,19.5759,-0.0109,-0.0488,20.1198,18.9702,448.15,-244381.4379,19.5644,19.5115,19.5162,1.0743,-,-,-,-,-,-,-,-,-,-,-,-,-0.53,8.6,-,-,200000000.00,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1655.04,6.91,17.8,4.71,17.8,3.5,197639.0,66.128,-11.5385,16.42,17.086,18.2935,16.5728,16.5167,16.6402,-0.1235,-0.3048,17.4655,15.3745,30.29,59072.9962,16.5222,16.4051,16.3729,1.3297,5.62,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,2.46,37.01,6.91,16.56,929799120.00,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,808.84,-,12.5,4.17,12.5,1.285,105490.0,71.3041,-6.6667,11.405,11.27,12.185,11.6575,11.5814,11.4474,0.134,0.0299,12.0619,10.7481,15.14,31854.8731,11.68,11.5769,11.4681,1.493,0.80,1.988,-,1.236,-,-,-,0.200,-,-,-,-,-0.12,21.73,-,-,647074420.00,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,717.27,-,3.0,7.14,3.0,18.173,6058081.0,77.1746,0.0,2.59,2.632,3.395,2.7085,2.6766,2.6306,0.046,-0.0022,2.8405,2.3395,136.28,2964441.1463,2.7244,2.6859,2.6319,1.184,-,-,-,-,-,-,-,-,-,-,-,-,-1.37,8.69,-,-,2390903960.00,239090396
ABBANK,AB Bank PLC,Bank,B,5195.03,-,5.8,9.43,5.8,1.817,313248.0,79.7932,0.0,4.495,4.36,5.5875,4.9015,4.7902,4.5655,0.2248,0.0861,5.3041,3.6859,30.12,3748695.7353,4.9556,4.8359,4.6505,1.8101,-,-,-,-,-,1.575,1.647,-,-,-,-,-,-21.28,7.19,-,-,8956947490.00,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,5710.94,-,0.0,0.0,1000.0,0.0,0.0,69.847,0.0,951.55,872.98,0.0,934.1283,920.7205,902.6012,18.1193,-2.7986,1082.6367,820.4633,0.02,-1609.0983,960.0,957.6923,955.0405,0.041,0.10,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,57109360.00,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,1905.75,84.76,19.0,6.18,18.9,1.967,105823.0,70.555,-4.5455,17.345,17.738,17.4895,17.62,17.542,17.512,0.0299,-0.1272,18.2167,16.4733,4.45,20004.0509,17.5978,17.5205,17.4305,1.3196,5.29,2.447,-,1.271,-,-,-,-,-,-,-,-,0.21,33.63,84.76,98.89,1008333330.00,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,18400.77,-,209.5,3.46,209.5,74.825,360583.0,59.6248,-9.6386,206.335,198.358,185.7425,203.6588,203.8523,202.8239,1.0284,1.9372,215.4797,197.1903,60.47,-35219.744,202.6689,203.2859,204.6548,1.0786,1.19,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,-7.4,91.64,-,138.70,878318430.00,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,6827.62,17.87,144.5,2.99,144.5,8.449,59180.0,72.6817,-9.375,135.015,131.51,133.7205,137.4444,136.5817,134.3677,2.214,1.3615,141.0911,128.9389,17.53,19879.6256,137.8756,136.9526,135.6976,1.2665,1.73,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,7.85,75.51,17.87,10.79,472500000.00,47250000
