Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),EPS,NAV(Year End),Audited PE,Forward PE,PaidUp Capital,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,753.8,-,2.6,8.33,2.6,3.041,1209676.0,59.6238,0.0,2.39,2.528,3.079,2.3973,2.3946,2.4319,-0.0373,-0.0607,2.5604,2.2196,43.39,-242793.2778,2.3867,2.3769,2.3757,1.174,-,-,-,-,-,-,-,-,-,-,-,-,-2.24,7.54,-,-,2899233490.00,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,392.0,-,19.6,2.08,19.6,13.825,698367.0,50.6178,-30.7692,19.67,19.472,20.247,19.4149,19.4617,19.5554,-0.0938,-0.0352,20.5335,18.8065,548.93,-143231.5004,19.3356,19.3962,19.5067,1.1172,-,-,-,-,-,-,-,-,-,-,-,-,-0.53,8.6,-,-,200000000.00,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1478.38,6.38,15.9,1.27,15.9,1.87,117975.0,36.0956,-77.7778,16.515,17.208,18.43,16.1001,16.2161,16.6326,-0.4165,-0.3577,17.403,15.627,30.51,-114848.4827,15.9778,16.0885,16.2967,1.3069,6.29,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,2.46,37.01,6.38,15.29,929799120.00,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,731.19,-,11.3,0.89,11.3,0.366,32395.0,50.0316,-70.0,11.34,11.21,12.2485,11.2527,11.2694,11.298,-0.0286,-0.0053,11.7315,10.9485,13.39,-54166.3013,11.2133,11.2359,11.28,1.4712,0.88,1.988,-,1.236,-,-,-,0.200,-,-,-,-,-0.12,21.73,-,-,647074420.00,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,621.64,-,2.5,0.0,2.6,1.842,713410.0,52.7141,-33.3333,2.54,2.642,3.457,2.5501,2.5493,2.5719,-0.0226,-0.0349,2.6405,2.4395,87.35,686976.3306,2.5467,2.5423,2.54,1.1582,-,-,-,-,-,-,-,-,-,-,-,-,-1.37,8.69,-,-,2390903960.00,239090396
ABBANK,AB Bank PLC,Bank,B,4120.2,-,4.6,0.0,4.6,4.82,1043267.0,61.8599,-33.3333,4.325,4.35,5.6375,4.41,4.3845,4.3447,0.0398,0.0024,4.539,4.111,28.04,769288.7108,4.42,4.3923,4.3519,1.7626,-,-,-,-,-,1.575,1.647,-,-,-,-,-,-21.28,7.19,-,-,8956947490.00,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,5710.94,-,0.0,0.0,1000.0,0.0,0.0,69.847,0.0,951.55,872.98,0.0,934.1283,920.7205,902.6012,18.1193,-2.7986,1082.6367,820.4633,0.02,-1609.0983,960.0,957.6923,955.0405,0.041,0.10,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,57109360.00,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,1744.42,80.95,17.4,1.76,17.3,0.289,16694.0,46.7079,-62.5,17.255,17.938,17.481,17.2464,17.2705,17.439,-0.1685,-0.195,17.7295,16.7805,4.43,-19585.0933,17.2378,17.2603,17.2548,1.2934,5.78,2.447,-,1.271,-,-,-,-,-,-,-,-,0.21,33.63,80.95,94.44,1008333330.00,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,17996.74,-,204.9,-0.68,204.9,25.914,126333.0,53.6136,-92.5,206.515,195.904,185.8595,206.7171,206.503,203.5485,2.9545,3.8746,213.9445,199.0855,56.34,-115550.0766,206.84,206.9551,207.169,1.0521,1.22,0.689,0.811,0.402,-,0.053,-,0.239,-,-,-,-,-7.4,91.64,-,141.30,878318430.00,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,6459.07,17.11,136.7,1.79,136.7,6.536,47964.0,63.6182,-24.7191,132.91,130.546,133.6585,133.8859,133.581,132.4745,1.1065,0.9577,137.8227,127.9973,14.25,-16150.517,133.8289,133.6718,133.5324,1.2559,1.83,1.224,-,0.908,-,0.118,0.066,0.289,0.043,0.100,-,-,7.85,75.51,17.11,10.33,472500000.00,47250000
ACMELAB,The ACME Laboratories Limited,Pharmaceuticals & Chemicals,A,15933.61,6.56,75.3,0.0,75.3,12.95,171577.0,69.177,-15.7895,73.35,72.184,74.744,74.4251,74.1393,73.297,0.8423,0.611,75.6216,71.0784,16.33,-63045.8027,74.6356,74.4269,73.9052,1.1947,4.65,1.108,0.270,0.711,-,0.111,0.077,0.415,0.044,0.098,-,-,11.48,126.37,6.56,6.16,2116017000.00,211601700
ACMEPL,Acme Pesticides Limited,Pharmaceuticals & Chemicals,B,2146.5,-,15.9,-1.85,15.9,47.025,2936404.0,51.608,-57.8947,15.69,16.114,14.8065,15.7552,15.7425,15.7824,-0.0399,-0.0867,16.27,15.11,336.69,-726342.6422,15.74,15.7423,15.7052,1.6466,0.01,4.414,0.100,2.581,-,-,-,0.016,-,-,-,-,-1.14,16.41,-,-,1350000000.00,135000000
ACTIVEFINE,Active Fine Chemicals Limited,Pharmaceuticals & Chemicals,Z,1367.64,50.91,5.8,1.79,5.7,0.941,165239.0,51.0348,-25.0,5.57,5.896,7.635,5.5941,5.5948,5.6676,-0.0728,-0.1054,5.7657,5.3743,15.72,-166660.5899,5.5889,5.5846,5.5729,1.4551,0.44,-,-,-,-,-,-,-,-,-,-,-,0.11,22.07,50.91,35.00,2399365800.00,239936580
ADNTEL,ADN Telecom Limited,IT Sector,A,4053.66,25.25,62.7,-2.64,62.7,43.208,679393.0,59.5201,-30.1887,58.615,58.39,67.5035,61.6124,60.9078,59.3832,1.5247,0.6948,65.0587,52.1713,223.0,580113.6773,62.4244,61.5551,59.9414,1.3836,1.59,2.057,-,2.048,0.146,0.164,0.100,0.385,0.047,0.074,-,-,2.55,32.82,25.25,25.56,646516660.00,64651666
ADVENT,Advent Pharma Limited,Pharmaceuticals & Chemicals,Z,1303.86,19.44,14.0,0.0,14.0,2.351,167929.0,61.948,-33.3333,13.285,13.422,14.304,13.6752,13.5873,13.4379,0.1493,0.0265,14.091,12.479,43.62,69086.4572,13.76,13.6526,13.4538,1.4393,0.36,1.282,0.005,0.926,-,0.265,0.147,0.399,0.045,0.057,-,-,0.72,16.43,19.44,29.17,931327320.00,93132732
AFCAGRO,AFC Agro Biotech Limited,Pharmaceuticals & Chemicals,Z,610.65,24.09,5.3,0.0,5.3,0.224,42459.0,55.8458,-16.6667,5.1,5.258,7.029,5.1731,5.1567,5.1629,-0.0063,-0.0452,5.3828,4.8172,12.66,16667.182,5.18,5.1603,5.1167,1.5682,0.94,5.609,-,4.057,-,0.066,0.036,0.232,0.010,0.012,-,-,0.22,18.19,24.09,23.38,1152162000.00,115216200
