Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),EPS,NAV(Year End),Audited PE,Forward PE,PaidUp Capital,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,811.79,-,2.9,0.0,2.8,3.009,1070666.0,55.4654,-40.0,2.765,2.588,2.9795,2.7476,2.7406,2.7022,0.0384,0.041,2.9829,2.5471,105.53,-312218.5978,2.7378,2.7308,2.7405,1.2448,-,-,-,-,-,-,-,-,-,-,-,-,-2.24,7.54,-,-,2899233490.00,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,362.0,-,18.1,-1.63,18.1,4.074,223616.0,42.8435,-51.7241,18.7,19.3,20.154,18.1036,18.2181,18.66,-0.4419,-0.3986,20.4905,16.9095,516.64,-80631.5182,17.8978,17.9731,18.2957,1.0558,-,-,-,-,-,-,-,-,-,-,-,-,-0.53,8.6,-,-,200000000.00,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1645.74,6.83,17.7,5.36,17.7,14.236,801169.0,61.2653,-18.1818,16.605,16.688,18.1175,16.503,16.4755,16.5316,-0.056,-0.1427,17.8773,15.3327,58.02,134540.4168,16.3733,16.3333,16.4424,1.3173,5.65,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,2.46,37.01,6.83,16.36,929799120.00,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,944.73,-,14.6,9.77,14.6,11.666,801100.0,73.5054,0.0,12.17,11.77,12.1175,12.6101,12.4489,12.1036,0.3453,0.1537,13.5962,10.7438,54.19,454584.5768,12.5778,12.4269,12.2695,1.4934,0.68,1.988,-,1.236,-,-,-,0.200,-,-,-,-,-0.12,21.73,-,-,647074420.00,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,693.36,-,2.9,0.0,2.9,6.009,2071941.0,54.5117,-40.0,2.87,2.702,3.193,2.8492,2.8433,2.8069,0.0365,0.0407,3.1221,2.6179,389.18,-1438250.3744,2.8356,2.8372,2.8457,1.2398,-,-,-,-,-,-,-,-,-,-,-,-,-1.37,8.69,-,-,2390903960.00,239090396
ABBANK,AB Bank PLC,Bank,B,5822.02,-,6.5,-1.52,6.5,15.318,2324235.0,56.4633,-70.5882,6.595,5.292,5.5675,6.5334,6.5016,6.1511,0.3505,0.4456,7.0695,6.1205,162.81,-2820526.9011,6.5267,6.5641,6.5881,1.785,-,-,-,-,-,1.575,1.647,-,-,-,-,-,-21.28,7.19,-,-,8956947490.00,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,5710.94,-,0.0,0.0,1000.0,0.0,0.0,63.0012,0.0,993.75,997.5,0.0,981.0657,970.4499,939.7658,30.6841,21.8105,1139.3865,848.1135,20.98,-402.3103,1000.0,995.9936,993.75,0.0186,0.10,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,57109360.00,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,1804.92,83.33,17.9,2.29,17.9,0.626,34839.0,55.223,-38.0952,17.685,17.524,17.71,17.4665,17.4845,17.5525,-0.0681,-0.0607,18.5392,16.8308,9.65,-28728.3389,17.3778,17.3846,17.5148,1.264,5.59,2.447,-,1.271,-,-,-,-,-,-,-,-,0.21,33.63,83.33,97.22,1008333330.00,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,18391.99,-,209.4,-0.95,209.4,16.656,79285.0,49.1486,-58.4071,214.505,208.1,189.3585,209.6875,210.2595,210.3582,-0.0987,1.1111,230.6204,198.3896,97.26,41544.2862,207.7489,208.8744,211.9329,1.0878,1.19,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,-7.4,91.64,-,144.79,878318430.00,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,6615.0,17.97,140.0,-0.78,140.0,4.411,31366.0,48.8789,-61.5764,143.755,137.378,135.0065,140.8035,141.1291,140.7263,0.4028,1.3073,152.7772,134.7328,46.87,-2327.302,139.8333,140.3077,142.1371,1.2379,1.79,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,7.85,75.51,17.97,10.85,472500000.00,47250000
ACMELAB,The ACME Laboratories Limited,Pharmaceuticals & Chemicals,A,16568.41,6.91,78.3,-1.26,78.3,10.662,135841.0,52.2258,-55.1724,79.3,75.812,75.4875,78.2811,78.3183,77.815,0.5033,0.8219,82.6245,75.9755,91.49,109778.2171,77.9911,78.0859,78.6043,1.17,4.47,1.154,0.265,0.680,-,0.098,0.068,0.422,0.042,0.091,-,-,11.48,126.37,6.91,6.49,2116017000.00,211601700
ACMEPL,Acme Pesticides Limited,Pharmaceuticals & Chemicals,B,2295.0,-,17.0,-1.73,17.0,85.849,4943250.0,55.7632,-33.3333,16.705,16.196,15.2715,16.8354,16.7853,16.5945,0.1908,0.1705,17.2979,16.1121,529.21,-175843.9427,16.88,16.8192,16.7367,1.5121,0.01,4.422,0.117,3.222,-,-,-,-,-,-,-,-,-1.14,16.41,-,-,1350000000.00,135000000
ACTIVEFINE,Active Fine Chemicals Limited,Pharmaceuticals & Chemicals,Z,1631.57,61.82,6.8,0.0,6.8,6.606,958060.0,57.0257,-44.4444,6.76,6.136,7.4305,6.7263,6.7108,6.5576,0.1532,0.1913,7.087,6.433,48.66,-286243.2698,6.7111,6.7256,6.7414,1.4023,0.37,-,-,-,-,-,-,-,-,-,-,-,0.11,22.07,61.82,42.50,2399365800.00,239936580
ADNTEL,ADN Telecom Limited,IT Sector,A,3788.59,23.33,58.6,-1.51,58.6,12.53,212394.0,45.4914,-63.5659,61.12,59.878,66.0595,58.6877,59.0907,60.0468,-0.9561,-0.5208,68.1993,54.0407,195.71,-13832.3862,57.7689,58.1154,59.6229,1.3288,1.71,2.057,-,2.048,0.146,0.164,0.100,0.385,0.047,0.074,-,-,2.55,32.82,23.33,23.61,646516660.00,64651666
ADVENT,Advent Pharma Limited,Pharmaceuticals & Chemicals,Z,1247.98,18.75,13.4,-0.74,13.4,0.994,73887.0,45.4615,-60.0,13.74,13.574,14.247,13.41,13.4692,13.6096,-0.1404,-0.0764,14.6517,12.8283,49.15,-3074.4869,13.2911,13.3462,13.5319,1.4306,0.37,1.507,0.005,1.157,-,0.200,0.134,0.352,0.035,0.044,-,-,0.72,16.43,18.75,28.13,931327320.00,93132732
AFCAGRO,AFC Agro Biotech Limited,Pharmaceuticals & Chemicals,Z,794.99,30.00,6.9,4.55,6.9,1.8,260168.0,56.091,-50.0,6.89,5.918,6.7685,6.804,6.7945,6.5609,0.2336,0.3226,7.4247,6.3553,46.4,-60722.6074,6.7689,6.8154,6.879,1.6795,0.72,5.609,-,4.057,-,0.066,0.036,0.232,0.010,0.012,-,-,0.22,18.19,30.00,29.12,1152162000.00,115216200
AFTABAUTO,Aftab Automobiles Limited,Engineering,Z,3103.02,-,29.4,-2.33,29.4,6.491,218368.0,49.6234,-26.8293,29.105,30.754,33.2265,28.6512,28.7143,29.4086,-0.6943,-0.8825,31.7025,26.5075,73.96,97259.4243,28.4067,28.3538,28.6233,1.2601,3.40,1.931,2.289,1.802,-,-,-,0.254,-,-,-,-,-1.37,47.57,-,-,1055449950.00,105544995
AGNISYSL,Agni Systems PLC.,IT Sector,B,1516.42,25.93,20.9,-0.48,20.9,8.693,413893.0,49.2866,-47.2222,21.16,21.036,23.82,20.7007,20.7667,20.9612,-0.1945,-0.1413,22.8008,19.5192,262.18,131706.223,20.4822,20.5564,20.869,1.2718,1.20,4.147,-,4.091,0.135,0.140,0.123,0.318,0.059,0.069,-,-,0.81,16.95,25.93,18.42,725561920.00,72556192
AGRANINS,Agrani Insurance PLC.,Insurance,A,763.6,13.96,21.2,-1.4,21.2,1.295,60441.0,37.7912,-61.5385,22.72,23.198,24.024,21.5693,21.8061,22.5119,-0.7058,-0.518,25.5504,19.8896,52.04,-11838.8766,21.2,21.409,22.029,1.3813,2.83,-,-,-,-,-,-,-,-,-,-,-,1.54,19.81,13.96,107.50,360186980.00,36018698
AIBL1STIMF,AIBL 1st Islamic Mutual Fund,Mutual Funds,A,380.0,74.00,3.8,2.7,3.8,2.366,622566.0,56.2078,-33.3333,3.75,3.544,4.4215,3.6913,3.6909,3.6648,0.0261,0.0376,4.0214,3.4786,149.42,-196048.0932,3.6689,3.6654,3.7014,0.8301,-,-,-,-,-,-,-,-,-,-,-,-,0.05,10.27,74.00,42.05,1000000000.00,100000000
AIBLPBOND,AIBL Mudaraba Perpetual Bond,Corporate Bond,A,340.0,-,0.0,0.0,3400.0,0.0,0.0,28.2954,-90.6667,3397.45,3428.98,4152.4175,3644.4837,3754.0084,4074.0431,-320.0346,-230.1143,4432.3528,2362.5472,0.31,-0.7165,3439.2,3441.4615,3418.5762,0.0445,0.03,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,1000000.00,100000
AIL,Alif Industries Limited,Textile,Z,1479.78,13.09,30.4,-1.62,30.4,8.205,270226.0,56.8815,-19.6078,28.685,29.408,43.694,29.2883,29.1068,29.1069,-0.0001,-0.3986,30.3662,27.0038,161.2,228449.5928,29.3267,29.1564,28.8933,1.1563,3.29,4.992,-,4.235,-,-,-,-,-,-,-,-,2.36,24.56,13.09,10.25,486768350.00,48676835
AL-HAJTEX,Al-Haj Textile Mills Limited,Textile,B,2751.64,12.54,123.4,-2.3,123.4,8.561,68825.0,42.5849,-58.1921,129.985,131.274,136.2695,125.8389,126.5339,128.9318,-2.3979,-2.0,143.6807,116.2893,197.52,-2509.7976,124.8867,125.1795,126.9214,1.132,0.41,1.616,-,1.134,-,-,-,-,-,-,-,-,10.07,18.52,12.54,12.54,222985490.00,22298549
ALARABANK,Al-Arafah Islami Bank PLC.,Bank,A,20039.44,26.21,17.4,0.58,17.4,3.852,220318.0,60.7136,-29.1667,16.63,15.326,16.4685,17.1221,16.9956,16.4634,0.5323,0.505,17.7597,15.5003,14.27,174159.0034,17.24,17.1372,16.8738,0.6193,-,-,-,-,-,0.425,0.038,-,0.001,0.030,0.001,-,0.66,20.85,26.21,38.16,11516917130.00,1151691713
ALIF,Alif Manufacturing Company Ltd,Textile,Z,1377.61,14.85,5.3,8.16,5.3,10.157,1952669.0,65.9568,-8.3333,4.695,4.228,4.961,4.8796,4.8182,4.5936,0.2246,0.1954,5.2201,4.1699,72.11,662478.1055,4.9156,4.8808,4.781,1.6424,1.89,15.328,-,13.723,-,-,-,-,-,-,-,-,0.33,15.15,14.85,22.97,2599270220.00,259927022
ALLTEX,Alltex Industries Limited,Textile,Z,811.54,-,14.5,0.69,14.5,5.973,409443.0,53.2403,-53.125,14.49,14.03,12.5715,14.2429,14.2642,14.2651,-0.0009,0.0453,15.6081,13.3719,174.6,-243317.7545,14.1267,14.1269,14.3143,1.4619,-,0.214,-,0.212,-,-,-,-,-,-,-,-,-0.18,24.77,-,180.00,559680000.00,55968000
