Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],VWMA [20],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),YCP,Change,Trade,Value (Turnover)(mn),Free Float,Institute Share %,Public Share %,Sponsor Director Share %,Govt. Share %,Foreign Share %,Stock Dividend,Cash Dividend,EPS,NAV(Year End),Last Dividend Date,Last AGM Date,Audited PE,Forward PE,PaidUp Capital,Quote Bases,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,1072.72,-,3.7,8.82,3.7,27.705,7717111.0,73.3018,0.0,3.265,3.122,2.8625,3.4201,3.3832,3.2711,0.1121,0.0839,3.6161,2.9139,142.56,1751459.4302,3.4489,3.4256,3.3467,1.2674,0.0,-,-,-,-,-,-,-,-,-,-,-,-,3.40,0.30,731,27.7050,75.00%,28.78%,46.22%,25.00%,0.00%,0.00%,-,-,-2.24,7.54,15 Sep 2024,-,-,-,2899233490.00,A-MF,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,480.0,-,24.0,0.0,24.0,7.979,331459.0,57.5581,-65.5172,23.845,21.114,19.902,24.0007,23.9232,23.0951,0.8281,1.0476,25.7704,21.9196,1421.82,-629290.5214,24.0422,24.1179,24.1095,0.9661,0.0,-,-,-,-,-,-,-,-,-,-,-,-,24.00,0.00,308,7.9790,98.00%,31.36%,66.63%,2.00%,0.00%,0.01%,-,-,-0.53,8.60,01 Feb 2026,-,-,12.24,200000000.00,A-MF,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1952.58,8.41,21.0,1.45,21.0,4.22,201716.0,60.0997,-64.5161,20.725,18.684,17.929,20.8543,20.8035,20.2139,0.5896,0.7556,21.9662,19.4838,116.77,-263451.1276,20.8844,20.9526,20.9114,1.3695,0.0,4.76,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,20.70,0.30,243,4.2200,66.96%,22.33%,44.63%,33.04%,0.00%,0.00%,-,10.00,2.46,37.01,29 Oct 2024,31 Dec 2024,8.41,20.16,929799120.00,Z-EQ,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,1125.91,-,17.3,1.75,17.4,1.098,63174.0,60.5964,-40.0,16.95,14.938,12.814,17.24,17.1642,16.5015,0.6627,0.808,19.0259,14.8741,113.74,-265597.1294,17.2467,17.3423,17.2943,1.5384,0.0,0.57,1.988,-,1.236,-,-,-,0.200,-,-,-,-,17.10,0.30,90,1.0980,69.99%,33.68%,36.31%,30.01%,0.00%,0.00%,-,-,0.00,0.00,-,-,-,-,647074420.00,Z-EQ,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,956.36,-,4.0,8.11,4.0,45.924,11857588.0,70.2456,0.0,3.46,3.304,2.9995,3.6869,3.6352,3.4846,0.1507,0.1081,3.9685,2.9515,523.18,4934777.3317,3.7311,3.6987,3.5824,1.2238,0.0,-,-,-,-,-,-,-,-,-,-,-,-,3.70,0.30,966,45.9240,84.49%,13.20%,71.29%,15.51%,0.00%,0.00%,-,-,-1.37,8.69,25 Sep 2024,-,-,-,2390903960.00,A-MF,239090396
ABBANK,AB Bank PLC,Bank,Z,4388.9,-,5.0,0.0,4.9,3.044,613199.0,52.0616,-50.0,4.91,4.668,5.045,4.9059,4.9014,4.8694,0.0321,0.0374,5.0205,4.7995,18.99,-1057626.2455,4.9089,4.9051,4.9048,1.7478,0.0,-,-,-,-,-,1.242,1.343,-,-,1.199,-,-,4.90,0.00,151,3.0440,80.48%,35.15%,44.79%,18.95%,0.57%,0.54%,-,-,-43.42,-36.24,03 May 2026,18 Jun 2026,-,-,8956947490.00,Z-EQ,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,6053.59,-,0.0,0.0,1060.0,0.0,0.0,63.0051,-25.0,1068.0,1047.2,0.0,1048.3281,1041.8432,1008.2701,33.5732,35.131,1136.8491,999.1509,11.5,4204.2088,1067.1111,1069.8718,1070.619,0.002,0.0,0.09,-,-,-,-,-,-,-,-,-,-,-,1060.00,0.00,0,0.0000,100.00%,94.73%,5.27%,0.00%,0.00%,0.00%,-,10.00,0.00,0.00,10 Dec 2025,-,-,-,57109360.00,A-CB,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,2349.42,112.86,23.3,-1.69,23.3,1.985,84527.0,47.9742,-66.6667,23.795,22.606,19.217,23.6263,23.662,23.4735,0.1885,0.3557,24.2912,23.2988,32.16,-59536.4412,23.6,23.6462,23.7271,1.195,0.0,4.29,2.961,-,1.970,-,-,-,-,-,-,-,-,23.70,-0.40,150,1.9850,50.42%,11.67%,38.65%,49.58%,0.00%,0.10%,-,10.00,0.21,33.63,27 Oct 2025,29 Dec 2025,112.86,253.93,1008333330.00,A-EQ,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,18093.36,-,206.0,0.0,206.0,39.318,190585.0,62.6347,-37.5,200.995,194.486,194.2135,204.2695,203.4297,200.1999,3.2298,2.9054,210.04,191.95,28.37,-69498.3128,205.1378,204.5603,203.1395,1.142,0.0,1.21,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,206.00,0.00,867,39.3180,52.73%,34.59%,18.14%,47.27%,0.00%,0.00%,-,25.00,-7.40,91.64,29 Oct 2025,28 Dec 2025,-,-,878318430.00,A-EQ,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,8599.5,24.00,182.0,-3.4,182.0,86.558,470370.0,75.175,-18.6047,158.96,148.46,138.8625,172.1223,168.6654,159.3716,9.2937,6.0755,185.1037,132.8163,171.34,1174495.2938,175.1533,171.1487,164.9486,1.2763,0.0,1.37,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,188.40,-6.40,"2,366",86.5580,33.98%,24.23%,9.75%,66.02%,0.00%,0.00%,-,25.00,7.85,75.51,29 Oct 2025,28 Dec 2025,24.00,17.11,472500000.00,A-EQ,47250000
