Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI[14],Willams %R[14],SMA[20],SMA[50],SMA[200],EMA[9],EMA[12],EMA[26],"MACD[12,26]",MACD Signal[9],"BB Upper[20,2]","BB Lower[20,2]",TV[22],"CO[3,10]",WMA[9],WMA[12],WMA[20],Beta[5],VWMA[20],VWMA[50],VWMA[200],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),YCP,Change,Trade,Value (Turnover)(mn),Free Float,Institute Share %,Public Share %,Sponsor Director Share %,Govt. Share %,Foreign Share %,Stock Dividend,Cash Dividend,EPS,NAV(Year End),Last Dividend Date,Last AGM Date,Audited PE,Forward PE,PaidUp Capital,Quote Bases,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,1072.72,-,3.70,-2.63,3.70,5.8690,"1,554,200",48.3584,-100.0000,3.8800,3.4520,2.9365,3.8767,3.8752,3.7537,0.1215,0.1752,4.3182,3.4418,373.2700,179432.7371,3.8778,3.9141,3.9257,1.2977,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,3.80,-0.10,247,5.8690,75.00%,28.78%,46.22%,25.00%,0.00%,0.00%,-,-,-2.24,7.54,15 Sep 2024,-,-,-,2899233490.00,A-MF,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,506.00,-,25.30,2.43,25.30,16.9770,"675,323",58.4738,-38.2353,24.4350,23.0980,20.1165,24.9025,24.8126,24.2830,0.5296,0.5816,25.9940,22.8760,966.2100,-694104.3978,25.0200,25.0090,24.7300,0.9696,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,24.70,0.60,457,16.9770,98.00%,23.98%,74.01%,2.00%,0.00%,0.01%,-,-,-0.53,8.60,01 Feb 2026,-,-,10.21,200000000.00,A-MF,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1971.17,8.29,21.20,3.92,21.20,10.1940,"487,131",56.2348,-38.8889,20.8900,20.2460,17.9150,20.9084,20.9115,20.7359,0.1756,0.2649,21.4772,20.3028,88.0500,-414404.4776,20.8956,20.9231,20.9314,1.3571,0.0000,0.0000,0.0000,4.72,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,20.40,0.80,597,10.1940,66.96%,21.95%,45.01%,33.04%,0.00%,0.00%,-,10.00,2.46,37.01,29 Oct 2024,31 Dec 2024,8.29,19.87,929799120.00,Z-EQ,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,1475.33,-,22.80,0.00,22.80,3.6060,"156,978",75.3023,-25.0000,20.3800,17.7300,13.4415,22.1676,21.7777,20.1814,1.5962,1.4910,24.7946,15.9654,121.7200,210023.6602,22.6111,22.3962,21.5186,1.5062,0.0000,0.0000,0.0000,0.44,1.988,-,1.236,-,-,-,0.200,-,-,-,-,22.80,0.00,197,3.6060,69.99%,32.06%,37.93%,30.01%,0.00%,0.00%,-,-,0.00,0.00,-,-,-,-,647074420.00,Z-EQ,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,932.45,-,3.90,0.00,3.90,8.8430,"2,267,287",51.6158,-83.3333,3.9900,3.5980,3.0755,3.9667,3.9666,3.8675,0.0991,0.1456,4.3202,3.6598,641.7000,-4158253.3997,3.9600,3.9936,4.0071,1.2430,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,3.90,0.00,256,8.8430,84.49%,13.20%,71.29%,15.51%,0.00%,0.00%,-,-,-1.37,8.69,25 Sep 2024,-,-,-,2390903960.00,A-MF,239090396
ABBANK,AB Bank PLC,Bank,Z,4388.90,-,4.90,0.00,4.90,2.3370,"476,394",47.1418,-75.0000,4.9650,4.8720,4.9970,4.9380,4.9424,4.9352,0.0072,0.0202,5.1140,4.8160,18.7000,-183275.8279,4.9289,4.9333,4.9552,1.7325,0.0000,0.0000,0.0000,-,-,-,-,-,1.242,1.343,-,-,1.199,-,-,4.90,0.00,147,2.3370,80.48%,35.25%,44.69%,18.95%,0.57%,0.54%,-,-,-43.42,-36.24,03 May 2026,18 Jun 2026,-,-,8956947490.00,Z-EQ,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,6053.59,-,0.00,0.00,1060.00,0.0000,0,63.0051,-25.0000,1068.0000,1047.2000,0.0000,1048.3281,1041.8432,1008.2701,33.5732,35.1310,1136.8491,999.1509,11.5000,4204.2088,1067.1111,1069.8718,1070.6190,0.0020,0.0000,0.0000,0.0000,0.09,-,-,-,-,-,-,-,-,-,-,-,1060.00,0.00,0,0.0000,100.00%,94.73%,5.27%,0.00%,0.00%,0.00%,-,10.00,0.00,0.00,10 Dec 2025,-,-,-,57109360.00,A-CB,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,2288.92,112.38,23.00,-3.81,22.70,1.6400,"71,366",38.5918,-80.6452,23.6000,23.7980,19.6335,23.5363,23.5834,23.5840,-0.0006,0.1024,24.5947,22.6053,29.0300,-91632.1401,23.5289,23.6282,23.6433,1.1991,0.0000,0.0000,0.0000,4.41,2.961,-,1.970,-,-,-,-,-,-,-,-,23.60,-0.90,106,1.6400,50.42%,11.65%,38.67%,49.58%,0.00%,0.10%,-,10.00,0.21,33.63,27 Oct 2025,29 Dec 2025,112.38,252.86,1008333330.00,A-EQ,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,17364.36,-,197.70,-0.25,197.70,5.0540,"25,426",43.3944,-93.0000,201.4050,198.4080,195.9915,199.7946,200.1765,200.3618,-0.1854,0.5661,206.4381,196.3719,26.8000,-63942.3456,199.5089,200.0526,200.6143,1.1405,0.0000,0.0000,0.0000,1.26,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,198.20,-0.50,294,5.0540,52.73%,34.34%,18.39%,47.27%,0.00%,0.00%,-,25.00,-7.40,91.64,29 Oct 2025,28 Dec 2025,-,-,878318430.00,A-EQ,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,8259.30,22.70,174.80,-1.91,174.80,75.1890,"427,100",55.8868,-50.5618,175.1450,159.9780,141.7495,174.5944,174.0883,170.0582,4.0301,4.8152,184.9239,165.3661,360.8400,-183902.0908,174.6511,174.5808,174.2914,1.2878,0.0000,0.0000,0.0000,1.43,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,178.20,-3.40,"1,728",75.1890,33.98%,21.87%,12.11%,66.02%,0.00%,0.00%,-,25.00,7.85,75.51,29 Oct 2025,28 Dec 2025,22.70,16.18,472500000.00,A-EQ,47250000
