Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI[14],Willams %R[14],SMA[20],SMA[50],SMA[200],EMA[9],EMA[12],EMA[26],"MACD[12,26]",MACD Signal[9],"BB Upper[20,2]","BB Lower[20,2]",TV[22],"CO[3,10]",WMA[9],WMA[12],WMA[20],Beta[5],VWMA[20],VWMA[50],VWMA[200],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),YCP,Change,Trade,Value (Turnover)(mn),Free Float,Institute Share %,Public Share %,Sponsor Director Share %,Govt. Share %,Foreign Share %,Stock Dividend,Cash Dividend,EPS,NAV(Year End),Last Dividend Date,Last AGM Date,Audited PE,Forward PE,PaidUp Capital,Quote Bases,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,1217.68,-,4.20,7.69,4.20,25.6300,"6,296,181",69.5521,0.0000,3.6050,3.2680,2.8970,3.8911,3.8204,3.5884,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,3.90,0.30,849,25.6300,75.00%,28.78%,46.22%,25.00%,0.00%,0.00%,-,-,-2.24,7.54,15 Sep 2024,-,-,-,2899233490.00,A-MF,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,510.00,-,25.50,5.81,25.50,45.3420,"1,778,182",65.5806,0.0000,24.1300,21.9380,19.9740,24.1390,24.0612,23.5249,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,24.10,1.40,"1,357",45.3420,98.00%,31.36%,66.63%,2.00%,0.00%,0.01%,-,-,-0.53,8.60,01 Feb 2026,-,-,9.96,200000000.00,A-MF,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1989.77,8.37,21.40,3.88,21.40,10.0950,"474,295",60.4141,0.0000,20.9700,19.4740,17.9400,20.9551,20.9191,20.5454,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.67,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,20.60,0.80,490,10.0950,66.96%,22.33%,44.63%,33.04%,0.00%,0.00%,-,10.00,2.46,37.01,29 Oct 2024,31 Dec 2024,8.37,20.06,929799120.00,Z-EQ,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,1391.21,-,21.50,7.50,21.50,12.3680,"580,416",81.9306,0.0000,18.2050,16.0700,13.0390,19.4241,19.0567,17.8815,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.47,1.988,-,1.236,-,-,-,0.200,-,-,-,-,20.00,1.50,457,12.3680,69.99%,33.68%,36.31%,30.01%,0.00%,0.00%,-,-,0.00,0.00,-,-,-,-,647074420.00,Z-EQ,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,1028.09,-,4.30,7.50,4.30,51.9360,"12,320,908",66.7587,0.0000,3.7850,3.4320,3.0335,3.9877,3.9343,3.7358,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,4.00,0.30,"1,139",51.9360,84.49%,13.20%,71.29%,15.51%,0.00%,0.00%,-,-,-1.37,8.69,25 Sep 2024,-,-,-,2390903960.00,A-MF,239090396
ABBANK,AB Bank PLC,Bank,Z,4478.47,-,5.00,0.00,5.00,3.8830,"784,602",53.7570,0.0000,4.9550,4.7600,5.0310,5.0114,4.9992,4.9460,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-,-,-,-,-,1.242,1.343,-,-,1.199,-,-,5.00,0.00,222,3.8830,80.48%,35.15%,44.79%,18.95%,0.57%,0.54%,-,-,-43.42,-36.24,03 May 2026,18 Jun 2026,-,-,8956947490.00,Z-EQ,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,6053.59,-,0.00,0.00,1060.00,0.0000,0,63.0051,-25.0000,1068.0000,1047.2000,0.0000,1048.3281,1041.8432,1008.2701,33.5732,35.1310,1136.8491,999.1509,11.5000,4204.2088,1067.1111,1069.8718,1070.6190,0.0020,0.0000,0.0000,0.0000,0.09,-,-,-,-,-,-,-,-,-,-,-,1060.00,0.00,0,0.0000,100.00%,94.73%,5.27%,0.00%,0.00%,0.00%,-,10.00,0.00,0.00,10 Dec 2025,-,-,-,57109360.00,A-CB,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,2420.00,115.71,24.00,-1.23,24.00,2.9650,"122,946",55.2158,0.0000,23.6600,23.3660,19.3990,23.7705,23.7238,23.5566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.17,2.961,-,1.970,-,-,-,-,-,-,-,-,24.30,-0.30,158,2.9650,50.42%,11.67%,38.65%,49.58%,0.00%,0.10%,-,10.00,0.21,33.63,27 Oct 2025,29 Dec 2025,115.71,260.36,1008333330.00,A-EQ,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,17742.03,-,202.60,0.90,202.00,7.2330,"35,916",53.5734,0.0000,202.4750,196.0160,195.0900,201.5144,201.5691,200.4888,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.24,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,200.20,1.80,330,7.2330,52.73%,34.59%,18.14%,47.27%,0.00%,0.00%,-,25.00,-7.40,91.64,29 Oct 2025,28 Dec 2025,-,-,878318430.00,A-EQ,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,8453.03,21.92,178.90,3.95,178.90,246.8850,"1,378,347",64.7852,0.0000,167.9400,153.7460,140.1420,173.0547,171.9321,165.6066,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.40,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,172.10,6.80,"2,869",246.8850,33.98%,24.23%,9.75%,66.02%,0.00%,0.00%,-,25.00,7.85,75.51,29 Oct 2025,28 Dec 2025,21.92,15.63,472500000.00,A-EQ,47250000
