Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),EPS,NAV(Year End),Audited PE,Forward PE,PaidUp Capital,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,695.82,-,2.3,4.35,2.4,0.099,42186.0,45.8517,-66.6667,2.445,2.532,3.1175,2.3812,2.3966,2.4632,-0.0666,-0.0642,2.6339,2.2561,40.12,-735042.2651,2.3644,2.3692,2.4024,1.1732,-,-,-,-,-,-,-,-,-,-,-,-,-2.24,7.54,-,-,2899233490.00,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,386.0,-,19.3,-1.53,19.3,8.075,416467.0,44.7762,-89.4737,19.835,19.274,20.2845,19.6748,19.7078,19.6959,0.0119,0.0899,20.6539,19.0161,545.15,-273036.3639,19.6578,19.6667,19.7795,1.1109,-,-,-,-,-,-,-,-,-,-,-,-,-3.45,9.13,-,31.28,200000000.00,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1487.68,6.67,16.0,-2.44,16.0,2.801,174121.0,32.1578,-87.5,17.055,17.258,18.6235,16.6014,16.6997,17.0272,-0.3275,-0.2657,18.1873,15.9227,30.05,-85187.3942,16.54,16.5923,16.7843,1.3056,6.25,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,2.46,37.01,6.67,15.97,929799120.00,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,718.25,-,11.1,-0.89,11.1,0.405,36203.0,44.7501,-90.0,11.52,11.11,12.35,11.342,11.3615,11.3511,0.0104,0.0583,12.1962,10.8438,18.79,-6971.2809,11.3333,11.3423,11.4267,1.4766,0.90,1.988,-,1.236,-,-,-,0.200,-,-,-,-,-0.12,21.73,-,-,647074420.00,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,597.73,-,2.5,0.0,2.5,2.434,973645.0,39.1851,-66.6667,2.565,2.64,3.517,2.5289,2.5388,2.5834,-0.0446,-0.0438,2.6992,2.4308,70.8,-1982629.6382,2.5267,2.5269,2.5429,1.1507,-,-,-,-,-,-,-,-,-,-,-,-,-1.37,8.69,-,-,2390903960.00,239090396
ABBANK,AB Bank PLC,Bank,B,3851.49,-,4.3,2.38,4.3,1.904,450534.0,50.1186,-66.6667,4.275,4.3,5.7175,4.2764,4.2766,4.2945,-0.0179,-0.0259,4.4683,4.0817,26.91,-732877.6931,4.2778,4.2756,4.281,1.7545,-,-,-,-,-,1.575,1.647,-,-,-,-,-,-21.28,7.19,-,-,8956947490.00,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,5710.94,-,0.0,0.0,1000.0,0.0,0.0,69.847,0.0,951.55,872.98,0.0,934.1283,920.7205,902.6012,18.1193,-2.7986,1082.6367,820.4633,0.02,-1609.0983,960.0,957.6923,955.0405,0.041,0.10,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,57109360.00,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,1734.33,81.90,17.2,0.0,17.2,0.012,710.0,41.3332,-54.5455,17.44,18.09,17.4945,17.2778,17.3138,17.5414,-0.2276,-0.2556,18.1923,16.6877,4.1,-6404.8087,17.2756,17.2462,17.3029,1.3039,5.81,2.447,-,1.271,-,-,-,-,-,-,-,-,0.21,33.63,81.90,39.09,1008333330.00,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,18163.63,-,206.8,-1.1,206.8,21.848,105450.0,60.1095,-48.1675,203.195,192.612,185.38,207.039,206.2152,201.6604,4.5548,4.8891,215.6398,190.7502,48.65,-43465.1866,208.1422,207.9141,205.9624,1.0541,1.21,0.689,0.811,0.402,-,0.053,-,0.239,-,-,-,-,-7.4,91.64,-,134.04,878318430.00,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,6185.03,16.80,131.3,-0.76,130.9,0.839,6414.0,48.0007,-75.4717,131.405,129.214,133.6015,132.6401,132.4808,131.5497,0.9311,1.0195,137.0988,125.7112,13.22,-18050.9005,133.2689,133.2256,132.4271,1.2386,1.91,1.224,-,0.908,-,0.118,0.066,0.289,0.043,0.100,-,-,7.85,75.51,16.80,17.82,472500000.00,47250000
ACMELAB,The ACME Laboratories Limited,Pharmaceuticals & Chemicals,A,15425.76,6.39,72.9,-0.68,72.9,5.464,74786.0,54.3504,-53.3333,72.34,71.928,74.743,73.0552,72.8864,72.4225,0.4639,0.3114,74.2345,70.4455,14.28,-32763.0681,73.3,73.1333,72.7838,1.1937,4.80,1.108,0.270,0.711,-,0.111,0.077,0.415,0.044,0.098,-,-,11.48,126.37,6.39,6.10,2116017000.00,211601700
ACMEPL,Acme Pesticides Limited,Pharmaceuticals & Chemicals,B,2106.0,-,15.6,-1.89,15.6,17.752,1132250.0,46.4876,-77.7778,15.745,15.92,14.7855,15.7612,15.761,15.8328,-0.0718,-0.106,16.2579,15.2321,304.11,-804124.2834,15.76,15.7282,15.72,1.6566,0.01,4.414,0.100,2.581,-,-,-,0.016,-,-,-,-,-1.14,16.41,-,-,1350000000.00,135000000
ACTIVEFINE,Active Fine Chemicals Limited,Pharmaceuticals & Chemicals,Z,1319.65,50.91,5.5,-1.79,5.5,0.612,110964.0,41.5829,-83.3333,5.625,5.908,7.751,5.575,5.5921,5.7135,-0.1214,-0.1409,5.9856,5.2644,16.76,-194108.5044,5.5711,5.559,5.591,1.4614,0.45,-,-,-,-,-,-,-,-,-,-,-,0.11,22.07,50.91,35.00,2399365800.00,239936580
ADNTEL,ADN Telecom Limited,IT Sector,A,3717.47,22.04,57.5,2.31,57.5,43.614,771771.0,51.5476,-48.8372,56.945,57.464,68.14,56.8359,56.8305,57.1423,-0.3118,-0.4704,58.666,55.224,126.66,-242699.3933,56.8533,56.7141,56.7676,1.3705,1.74,2.057,-,2.048,0.146,0.164,0.100,0.385,0.047,0.074,-,-,2.55,32.82,22.04,22.30,646516660.00,64651666
