Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),EPS,NAV(Year End),Audited PE,Forward PE,PaidUp Capital,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,869.77,-,3.0,3.45,3.0,0.645,220187.0,49.0273,-80.0,3.025,3.01,2.898,3.0044,3.0115,3.0193,-0.0079,0.0039,3.1683,2.8817,111.44,-2461718.6771,3.0067,3.0115,3.0171,1.2466,-,-,-,-,-,-,-,-,-,-,-,-,-2.24,7.54,-,-,2899233490.00,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,368.0,-,18.4,0.0,18.4,2.663,144765.0,44.6496,-87.5,18.99,18.604,19.974,18.661,18.7277,18.8214,-0.0937,0.0087,19.7575,18.2225,719.96,-367866.9458,18.5867,18.6628,18.8224,0.9415,-,-,-,-,-,-,-,-,-,-,-,-,-0.53,8.6,-,9.49,200000000.00,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1506.27,6.59,16.2,-1.22,16.2,1.836,113325.0,49.44,-50.0,16.195,16.372,17.9705,16.1396,16.1382,16.2193,-0.0811,-0.1222,16.8422,15.5478,49.91,-241506.2049,16.1289,16.0936,16.1019,1.3423,6.17,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,2.46,37.01,6.59,15.78,929799120.00,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,828.26,-,12.8,-0.78,12.8,0.953,74151.0,52.0175,-56.0,12.63,12.932,12.37,12.5966,12.5836,12.6747,-0.0911,-0.1626,13.6334,11.6266,30.79,-172851.6727,12.5822,12.491,12.499,1.5361,0.78,1.988,-,1.236,-,-,-,0.200,-,-,-,-,-0.12,21.73,-,-,647074420.00,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,741.18,-,3.1,0.0,3.1,3.223,1051958.0,45.0196,-83.3333,3.19,3.208,3.0255,3.1786,3.188,3.2049,-0.0169,-0.0043,3.4042,2.9758,296.33,-1527218.1552,3.1911,3.191,3.1871,1.2122,-,-,-,-,-,-,-,-,-,-,-,-,-1.37,8.69,-,-,2390903960.00,239090396
ABBANK,AB Bank PLC,Bank,Z,3761.92,-,0.0,-2.33,4.2,1.948,455726.0,20.0876,-86.6667,4.87,5.674,5.362,4.4311,4.532,4.9406,-0.4086,-0.3793,6.0382,3.7018,32.1,-903634.7929,4.3422,4.3821,4.5776,1.7886,-,-,-,-,-,1.575,1.647,-,-,-,-,-,-43.42,-36.24,-,-,8956947490.00,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,6167.81,-,1080.0,1.93,1080.0,10.816,10016.0,75.449,0.0,1053.5,1029.4,0.0,1049.2627,1040.0951,1002.0622,38.0329,35.798,1128.5872,978.4128,21.54,3142.633,1061.7778,1059.4872,1056.1905,0.0348,0.09,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,57109360.00,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,2016.67,93.33,20.0,2.04,20.0,4.195,210490.0,79.0932,-9.0909,18.635,18.094,18.2855,19.2174,19.0641,18.6485,0.4156,0.2743,19.7706,17.4994,22.39,67819.8448,19.3222,19.1718,18.8924,1.1656,5.00,2.961,-,1.970,-,-,-,-,-,-,-,-,0.21,33.63,93.33,210.00,1008333330.00,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,16327.94,-,186.5,0.11,185.9,3.486,18747.0,34.9077,-94.6309,194.435,201.122,193.562,189.6649,190.7784,195.0239,-4.2455,-3.7979,208.8931,179.9769,16.34,-41119.7705,189.1644,189.5179,191.24,1.1116,1.34,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,-7.4,91.64,-,-,878318430.00,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,6534.68,17.86,138.2,-0.5,138.3,1.248,9007.0,44.2438,-96.8254,141.605,140.4,137.7775,139.635,139.909,140.4495,-0.5405,-0.1932,148.0826,135.1274,24.37,-29106.9469,139.3511,139.5487,140.2538,1.2397,1.81,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,7.85,75.51,17.86,12.73,472500000.00,47250000
