Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI[14],Willams %R[14],SMA[20],SMA[50],SMA[200],EMA[9],EMA[12],EMA[26],"MACD[12,26]",MACD Signal[9],"BB Upper[20,2]","BB Lower[20,2]",TV[22],"CO[3,10]",WMA[9],WMA[12],WMA[20],Beta[5],VWMA[20],VWMA[50],VWMA[200],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),YCP,Change,Trade,Value (Turnover)(mn),Free Float,Institute Share %,Public Share %,Sponsor Director Share %,Govt. Share %,Foreign Share %,Stock Dividend,Cash Dividend,EPS,NAV(Year End),Last Dividend Date,Last AGM Date,Audited PE,Forward PE,PaidUp Capital,Quote Bases,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,1014.73,-,3.50,0.00,3.50,3.2310,"923,935",41.7515,-87.5000,3.8350,3.5240,2.9605,3.6286,3.6637,3.6804,-0.0167,0.0526,4.2858,3.3842,284.9500,-1265530.4236,3.5800,3.6218,3.7281,1.2924,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,3.50,0.00,143,3.2310,75.00%,30.20%,44.80%,25.00%,0.00%,0.00%,-,-,-2.24,7.54,15 Sep 2024,-,-,-,2899233490.00,A-MF,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,430.00,-,21.50,0.94,21.50,4.8680,"227,427",35.0508,-85.0000,24.1250,23.6180,20.2115,22.9734,23.2682,23.6492,-0.3810,0.0872,26.7001,21.5499,1114.3100,-941086.9103,22.7333,23.1205,23.7424,0.9848,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,21.30,0.20,298,4.8680,98.00%,23.98%,74.01%,2.00%,0.00%,0.01%,-,-,-0.53,8.60,01 Feb 2026,-,-,8.80,200000000.00,A-MF,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1831.70,8.41,19.70,-4.83,19.70,9.3570,"469,650",41.0359,-96.4286,20.8650,20.5900,17.9550,20.6798,20.7259,20.7087,0.0172,0.1264,21.7601,19.9699,105.2900,-349965.6891,20.6800,20.7038,20.7862,1.3651,0.0000,0.0000,0.0000,5.08,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,20.70,-1.00,678,9.3570,66.96%,21.95%,45.01%,33.04%,0.00%,0.00%,-,10.00,2.46,37.01,29 Oct 2024,31 Dec 2024,8.41,20.16,929799120.00,Z-EQ,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,1093.56,-,16.90,-3.43,16.90,5.0720,"297,773",32.6566,-94.7368,20.9700,18.4040,13.6975,19.5389,19.8710,19.8129,0.0581,0.8148,24.5111,17.4289,186.3300,-370015.2468,19.2644,19.8641,20.6324,1.5325,0.0000,0.0000,0.0000,0.59,1.988,-,1.236,-,-,-,0.200,-,-,-,-,17.50,-0.60,333,5.0720,69.99%,32.06%,37.93%,30.01%,0.00%,0.00%,-,-,0.00,0.00,-,-,-,-,647074420.00,Z-EQ,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,860.73,-,3.60,2.86,3.60,3.8050,"1,081,435",43.2679,-85.7143,3.8950,3.6540,3.0990,3.7014,3.7397,3.7761,-0.0364,0.0306,4.3468,3.4432,457.3000,-3229226.9762,3.6556,3.6974,3.8010,1.2560,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,3.50,0.10,176,3.8050,84.49%,16.43%,68.06%,15.51%,0.00%,0.00%,-,-,-1.37,8.69,25 Sep 2024,-,-,-,2390903960.00,A-MF,239090396
ABBANK,AB Bank PLC,Bank,Z,4120.20,-,4.60,-2.13,4.60,0.6130,"132,074",28.2245,-100.0000,4.8900,4.9180,4.9760,4.7729,4.8004,4.8572,-0.0568,-0.0231,5.1405,4.6395,17.3200,-779383.5318,4.7489,4.7808,4.8314,1.7256,0.0000,0.0000,0.0000,-,-,-,-,-,1.242,1.343,-,-,1.199,-,-,4.70,-0.10,99,0.6130,80.48%,35.25%,44.69%,18.95%,0.57%,0.54%,-,-,-43.42,-36.24,03 May 2026,18 Jun 2026,-,-,8956947490.00,Z-EQ,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,6053.59,-,0.00,0.00,1060.00,0.0000,0,63.0051,-25.0000,1068.0000,1047.2000,0.0000,1048.3281,1041.8432,1008.2701,33.5732,35.1310,1136.8491,999.1509,11.5000,4204.2088,1067.1111,1069.8718,1070.6190,0.0020,0.0000,0.0000,0.0000,0.09,-,-,-,-,-,-,-,-,-,-,-,1060.00,0.00,0,0.0000,100.00%,94.73%,5.27%,0.00%,0.00%,0.00%,-,10.00,0.00,0.00,10 Dec 2025,-,-,-,57109360.00,A-CB,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,2359.50,109.52,23.40,1.74,23.40,1.1390,"49,000",51.5980,-33.3333,23.4350,23.6200,19.7980,23.0342,23.0859,23.2564,-0.1705,-0.1372,24.7934,22.0766,27.5800,-19301.6823,22.8689,22.9256,23.1610,1.1966,0.0000,0.0000,0.0000,4.27,2.961,-,1.970,-,-,-,-,-,-,-,-,23.00,0.40,106,1.1390,50.42%,11.65%,38.67%,49.58%,0.00%,0.10%,-,10.00,0.21,33.63,27 Oct 2025,29 Dec 2025,109.52,246.43,1008333330.00,A-EQ,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,16705.62,-,190.50,0.58,190.20,2.6210,"13,793",31.6624,-71.5026,198.3000,198.5800,196.8325,193.9128,194.9747,197.3365,-2.3618,-1.1413,207.0669,189.5331,11.5100,-35264.1141,192.9867,194.0218,196.2186,1.1421,0.0000,0.0000,0.0000,1.31,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,189.10,1.10,182,2.6210,52.73%,34.34%,18.39%,47.27%,0.00%,0.00%,-,25.00,-7.40,91.64,29 Oct 2025,28 Dec 2025,-,-,878318430.00,A-EQ,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,7597.80,20.37,160.80,0.56,160.80,19.3080,"120,129",40.8530,-91.7051,171.0200,163.0080,142.9470,166.3711,167.5133,168.0155,-0.5021,1.7698,181.7035,160.3365,260.2600,-279310.1873,165.3178,166.9936,169.2676,1.2881,0.0000,0.0000,0.0000,1.55,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,159.90,0.90,530,19.3080,33.98%,21.87%,12.11%,66.02%,0.00%,0.00%,-,25.00,7.85,75.51,29 Oct 2025,28 Dec 2025,20.37,14.52,472500000.00,A-EQ,47250000
