Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI[14],Willams %R[14],SMA[20],SMA[50],SMA[200],EMA[9],EMA[12],EMA[26],"MACD[12,26]",MACD Signal[9],"BB Upper[20,2]","BB Lower[20,2]",TV[22],"CO[3,10]",WMA[9],WMA[12],WMA[20],Beta[5],VWMA[20],VWMA[50],VWMA[200],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),YCP,Change,Trade,Value (Turnover)(mn),Free Float,Institute Share %,Public Share %,Sponsor Director Share %,Govt. Share %,Foreign Share %,Stock Dividend,Cash Dividend,EPS,NAV(Year End),Last Dividend Date,Last AGM Date,Audited PE,Forward PE,PaidUp Capital,Quote Bases,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,1014.73,-,3.50,0.00,3.50,1.9250,"550,642",41.7515,-85.7143,3.8050,3.5320,2.9635,3.6029,3.6385,3.6671,-0.0285,0.0364,4.2614,3.3486,273.0000,-1064248.9555,3.5556,3.5910,3.6962,1.2915,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,3.50,0.00,141,1.9250,75.00%,30.20%,44.80%,25.00%,0.00%,0.00%,-,-,-2.24,7.54,15 Sep 2024,-,-,-,2899233490.00,A-MF,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,422.00,-,21.10,-1.86,21.10,3.2110,"149,548",33.1986,-91.2281,24.0150,23.6400,20.2145,22.5987,22.9346,23.4604,-0.5258,-0.0354,26.9069,21.1231,1124.2800,-840528.9983,22.2756,22.7141,23.4543,0.9831,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,21.50,-0.40,228,3.2110,98.00%,23.98%,74.01%,2.00%,0.00%,0.01%,-,-,-0.53,8.60,01 Feb 2026,-,-,8.88,200000000.00,A-MF,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1813.11,8.01,19.50,-1.02,19.50,2.6430,"134,900",39.6101,-93.5484,20.7800,20.6060,17.9540,20.4438,20.5373,20.6191,-0.0819,0.0847,21.8474,19.7126,102.5800,-410498.6487,20.4378,20.5103,20.6562,1.3642,0.0000,0.0000,0.0000,5.13,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,19.70,-0.20,344,2.6430,66.96%,21.95%,45.01%,33.04%,0.00%,0.00%,-,10.00,2.46,37.01,29 Oct 2024,31 Dec 2024,8.01,19.19,929799120.00,Z-EQ,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,1106.50,-,17.10,1.18,17.10,3.4900,"204,042",34.2461,-92.1053,20.8450,18.4500,13.7210,19.0511,19.4447,19.6120,-0.1673,0.6184,24.7478,16.9422,170.0400,-403599.0359,18.6311,19.2872,20.2638,1.5321,0.0000,0.0000,0.0000,0.58,1.988,-,1.236,-,-,-,0.200,-,-,-,-,16.90,0.20,221,3.4900,69.99%,32.06%,37.93%,30.01%,0.00%,0.00%,-,-,0.00,0.00,-,-,-,-,647074420.00,Z-EQ,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,836.82,-,3.50,-2.78,3.50,3.0430,"851,601",40.1556,-100.0000,3.8700,3.6600,3.1015,3.6611,3.7028,3.7557,-0.0529,0.0139,4.3517,3.3883,445.6000,-2910996.0377,3.6133,3.6551,3.7633,1.2543,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,3.60,-0.10,144,3.0430,84.49%,16.43%,68.06%,15.51%,0.00%,0.00%,-,-,-1.37,8.69,25 Sep 2024,-,-,-,2390903960.00,A-MF,239090396
ABBANK,AB Bank PLC,Bank,Z,4209.77,-,4.70,2.17,4.70,0.8550,"181,627",38.5577,-75.0000,4.8700,4.9100,4.9730,4.7584,4.7850,4.8456,-0.0606,-0.0306,5.1137,4.6263,16.4400,-687966.0092,4.7311,4.7603,4.8133,1.7257,0.0000,0.0000,0.0000,-,-,-,-,-,1.242,1.343,-,-,1.199,-,-,4.60,0.10,124,0.8550,80.48%,35.25%,44.69%,18.95%,0.57%,0.54%,-,-,-43.42,-36.24,03 May 2026,18 Jun 2026,-,-,8956947490.00,Z-EQ,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,6053.59,-,0.00,0.00,1060.00,0.0000,0,63.0051,-25.0000,1068.0000,1047.2000,0.0000,1048.3281,1041.8432,1008.2701,33.5732,35.1310,1136.8491,999.1509,11.5000,4204.2088,1067.1111,1069.8718,1070.6190,0.0020,0.0000,0.0000,0.0000,0.09,-,-,-,-,-,-,-,-,-,-,-,1060.00,0.00,0,0.0000,100.00%,94.73%,5.27%,0.00%,0.00%,0.00%,-,10.00,0.00,0.00,10 Dec 2025,-,-,-,57109360.00,A-CB,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,2359.50,111.43,23.40,0.00,23.40,1.3960,"59,694",51.5980,-33.3333,23.4250,23.6100,19.8240,23.1074,23.1342,23.2671,-0.1328,-0.1363,24.7813,22.0687,27.9700,-15129.7338,22.9822,22.9769,23.1576,1.1958,0.0000,0.0000,0.0000,4.27,2.961,-,1.970,-,-,-,-,-,-,-,-,23.40,0.00,97,1.3960,50.42%,11.65%,38.67%,49.58%,0.00%,0.10%,-,10.00,0.21,33.63,27 Oct 2025,29 Dec 2025,111.43,250.71,1008333330.00,A-EQ,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,16696.83,-,190.10,-0.05,190.10,2.0070,"10,532",31.5020,-70.4918,197.7300,198.5620,196.9285,193.1502,194.2247,196.8004,-2.5757,-1.4282,207.0837,188.3763,11.3400,-32593.0501,192.1089,193.1487,195.4376,1.1439,0.0000,0.0000,0.0000,1.32,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,190.20,-0.10,192,2.0070,52.73%,34.34%,18.39%,47.27%,0.00%,0.00%,-,25.00,-7.40,91.64,29 Oct 2025,28 Dec 2025,-,-,878318430.00,A-EQ,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,7498.57,20.48,158.70,-1.31,158.70,18.5260,"115,873",38.7520,-86.2745,170.3750,163.2880,143.0575,164.8369,166.1574,167.3254,-1.1680,1.1823,182.3862,158.3638,259.4200,-245253.8749,163.4422,165.3154,168.0943,1.2883,0.0000,0.0000,0.0000,1.58,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,160.80,-2.10,616,18.5260,33.98%,21.87%,12.11%,66.02%,0.00%,0.00%,-,25.00,7.85,75.51,29 Oct 2025,28 Dec 2025,20.48,14.60,472500000.00,A-EQ,47250000
ACMELAB,The ACME Laboratories Limited,Pharmaceuticals & Chemicals,A,16885.82,6.94,79.80,0.13,79.80,5.1360,"64,348",33.8941,-87.7551,82.0500,82.7120,77.0435,80.6862,81.0228,81.8469,-0.8241,-0.4725,84.8661,79.2339,26.6700,-276018.7516,80.3022,80.6872,81.3805,1.2050,0.0000,0.0000,0.0000,4.39,1.154,0.265,0.680,-,0.098,0.068,0.422,0.042,0.091,-,-,79.70,0.10,307,5.1360,59.61%,30.50%,29.09%,40.39%,0.00%,0.02%,-,35.00,11.48,126.37,28 Oct 2025,22 Dec 2025,6.94,6.36,2116017000.00,A-EQ,211601700
ACMEPL,Acme Pesticides Limited,Pharmaceuticals & Chemicals,B,3361.50,-,24.90,-1.19,24.90,58.3910,"2,307,472",53.9238,-40.0000,24.7150,23.7680,20.0390,24.6273,24.5758,24.2988,0.2770,0.2941,26.1341,23.2959,857.1700,-1472704.2074,24.5600,24.5731,24.6757,1.4147,0.0000,0.0000,0.0000,-,4.422,0.117,3.222,-,-,-,-,-,-,-,-,25.20,-0.30,"1,240",58.3910,68.20%,18.80%,49.40%,31.80%,0.00%,0.00%,-,0.01,-1.14,16.41,02 Nov 2025,29 Dec 2025,-,-,1350000000.00,B-EQ,135000000
ACTIVEFINE,Active Fine Chemicals Limited,Pharmaceuticals & Chemicals,Z,1511.60,56.36,6.30,1.61,6.30,1.2600,"201,490",34.2864,-80.0000,6.7350,6.8700,6.5340,6.4856,6.5453,6.6883,-0.1430,-0.0792,7.2303,6.2397,55.4800,-624614.5720,6.4356,6.5064,6.6243,1.3440,0.0000,0.0000,0.0000,0.40,-,-,-,-,-,-,-,-,-,-,-,6.20,0.10,287,1.2600,87.96%,21.05%,66.64%,12.04%,0.00%,0.27%,-,0.25,0.11,22.07,30 Oct 2022,29 Dec 2022,56.36,38.75,2399365800.00,Z-EQ,239936580
ADNTEL,ADN Telecom Limited,IT Sector,A,4053.66,24.24,62.70,1.46,62.70,2.9450,"46,995",36.0982,-83.0769,65.4850,67.2380,61.7170,63.4765,63.9567,65.3320,-1.3752,-0.9678,69.7322,61.2378,64.2600,-156599.2242,62.9133,63.4051,64.4352,1.2674,0.0000,0.0000,0.0000,1.59,1.943,-,1.935,0.122,0.152,0.091,0.354,0.049,0.077,-,-,61.80,0.90,203,2.9450,59.24%,17.51%,40.21%,40.76%,0.00%,1.52%,-,10.00,2.55,32.82,28 Oct 2025,15 Dec 2025,24.24,24.92,646516660.00,A-EQ,64651666
ADVENT,Advent Pharma Limited,Pharmaceuticals & Chemicals,Z,1331.80,19.72,14.30,0.70,14.30,2.0990,"145,651",27.8879,-92.3077,15.6450,15.7020,14.2480,14.9136,15.0795,15.4137,-0.3342,-0.1271,17.0879,14.2021,116.0400,-427170.9275,14.7444,14.9397,15.3190,1.4729,0.0000,0.0000,0.0000,0.35,1.507,0.005,1.157,-,0.200,0.134,0.352,0.035,0.044,-,-,14.20,0.10,178,2.0990,69.98%,12.79%,56.19%,30.02%,0.00%,1.00%,-,0.50,0.72,16.43,27 Oct 2025,31 Dec 2025,19.72,32.27,931327320.00,Z-EQ,93132732
AFCAGRO,AFC Agro Biotech Limited,Pharmaceuticals & Chemicals,Z,771.95,30.45,6.70,0.00,6.70,0.5610,"83,278",36.1435,-87.5000,7.0700,7.3940,6.4715,6.8669,6.9197,7.0818,-0.1620,-0.1223,7.4960,6.6440,30.4100,-225461.9586,6.8222,6.8795,6.9795,1.6475,0.0000,0.0000,0.0000,0.75,5.609,-,4.057,-,0.066,0.036,0.232,0.010,0.012,-,-,6.70,0.00,49,0.5610,72.16%,34.11%,38.05%,27.84%,0.00%,0.00%,-,0.50,0.22,18.19,30 Oct 2022,29 Dec 2022,30.45,29.56,1152162000.00,Z-EQ,115216200
