Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],VWMA [20],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),YCP,Change,Trade,Value (Turnover)(mn),Free Float,Institute Share %,Public Share %,Sponsor Director Share %,Govt. Share %,Foreign Share %,Stock Dividend,Cash Dividend,EPS,NAV(Year End),Last Dividend Date,Last AGM Date,Audited PE,Forward PE,PaidUp Capital,Quote Bases,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,985.74,-,3.4,-2.86,3.4,7.695,2205225.0,65.0427,-33.3333,3.17,3.072,2.8555,3.2868,3.2539,3.1695,0.0844,0.0519,3.4383,2.9017,119.14,1757631.2091,3.3111,3.2718,3.2171,1.2701,0.0,-,-,-,-,-,-,-,-,-,-,-,-,3.50,-0.10,287,7.6950,75.00%,28.98%,46.02%,25.00%,0.00%,0.00%,-,-,-2.24,7.54,15 Sep 2024,-,-,-,2899233490.00,A-MF,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,496.0,-,24.8,-2.75,24.8,23.793,944064.0,64.9255,-22.449,22.97,20.536,19.8835,24.2614,23.9373,22.6044,1.3329,1.2485,26.3242,19.6158,1502.93,-181303.4823,24.5489,24.4231,23.8019,0.9722,0.0,-,-,-,-,-,-,-,-,-,-,-,-,25.50,-0.70,596,23.7930,98.00%,15.83%,82.16%,2.00%,0.00%,0.01%,-,-,-0.53,8.60,01 Feb 2026,-,-,13.01,200000000.00,A-MF,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1999.07,8.82,21.6,-0.92,21.5,8.674,399285.0,70.4572,-35.7143,20.205,18.12,17.95,21.0754,20.8463,19.877,0.9693,0.9225,22.216,18.194,118.64,-111865.9755,21.2733,21.1385,20.7181,1.3691,0.0,4.65,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,21.70,-0.20,470,8.6740,66.96%,21.13%,45.83%,33.04%,0.00%,0.00%,-,10.00,2.46,37.01,29 Oct 2024,31 Dec 2024,8.82,21.14,929799120.00,Z-EQ,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,1151.79,-,17.8,3.49,17.8,7.12,399201.0,66.63,-22.7273,16.205,14.394,12.728,17.3696,17.1142,16.0945,1.0197,0.9387,19.0597,13.3503,106.57,-237596.049,17.6978,17.5538,16.9019,1.5413,0.0,0.56,1.988,-,1.236,-,-,-,0.200,-,-,-,-,17.20,0.60,346,7.1200,69.99%,32.64%,37.35%,30.01%,0.00%,0.00%,-,-,0.00,0.00,-,-,-,-,647074420.00,Z-EQ,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,860.73,-,3.7,-5.26,3.6,42.747,11559523.0,60.7303,-37.5,3.32,3.236,2.9875,3.4853,3.4414,3.3402,0.1012,0.0524,3.6848,2.9552,505.42,2559270.5357,3.5222,3.4667,3.3852,1.2237,0.0,-,-,-,-,-,-,-,-,-,-,-,-,3.80,-0.20,834,42.7470,84.49%,10.55%,73.94%,15.51%,0.00%,0.00%,-,-,-1.37,8.69,25 Sep 2024,-,-,-,2390903960.00,A-MF,239090396
ABBANK,AB Bank PLC,Bank,Z,4388.9,-,4.9,2.08,4.9,3.32,677348.0,53.0546,-66.6667,4.925,4.684,5.07,4.8835,4.8785,4.842,0.0365,0.0428,5.0683,4.7817,24.54,-277117.4541,4.88,4.8885,4.9033,1.7468,0.0,-,-,-,-,-,1.242,1.343,-,-,1.199,-,-,4.80,0.10,162,3.3200,80.48%,35.15%,44.79%,18.95%,0.57%,0.54%,-,-,-43.42,-36.24,03 May 2026,18 Jun 2026,-,-,8956947490.00,Z-EQ,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,6053.59,-,0.0,0.0,1060.0,0.0,0.0,63.0051,-25.0,1068.0,1047.2,0.0,1048.3281,1041.8432,1008.2701,33.5732,35.131,1136.8491,999.1509,11.5,4204.2088,1067.1111,1069.8718,1070.619,0.002,0.0,0.09,-,-,-,-,-,-,-,-,-,-,-,1060.00,0.00,0,0.0000,100.00%,94.73%,5.27%,0.00%,0.00%,0.00%,-,10.00,0.00,0.00,10 Dec 2025,-,-,-,57109360.00,A-CB,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,2379.67,112.86,23.6,-0.42,23.6,2.1,89196.0,54.249,-58.3333,23.915,21.96,19.089,23.7922,23.7926,23.3879,0.4047,0.596,24.6835,23.1465,40.77,-123072.1132,23.7778,23.8128,23.8538,1.1851,0.0,4.24,2.961,-,1.970,-,-,-,-,-,-,-,-,23.70,-0.10,114,2.1000,50.42%,11.59%,38.73%,49.58%,0.00%,0.10%,-,10.00,0.21,33.63,27 Oct 2025,29 Dec 2025,112.86,253.93,1008333330.00,A-EQ,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,17891.35,-,203.7,0.2,203.7,14.409,70857.0,63.9972,-17.4157,196.525,193.192,193.4965,200.9992,200.0328,197.1795,2.8533,2.0738,207.2017,185.8483,16.16,16948.7669,201.9822,201.4872,199.16,1.1404,0.0,1.23,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,203.30,0.40,357,14.4090,52.73%,34.15%,18.58%,47.27%,0.00%,0.00%,-,25.00,-7.40,91.64,29 Oct 2025,28 Dec 2025,-,-,878318430.00,A-EQ,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,7271.77,19.85,153.9,-1.22,153.9,10.9,70784.0,61.6966,-26.8293,149.065,144.35,137.943,152.7088,151.9296,148.8975,3.0322,2.748,158.945,139.185,46.88,9149.8902,153.4956,153.3,151.3933,1.2756,0.0,1.62,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,155.80,-1.90,360,10.9000,33.98%,23.59%,10.39%,66.02%,0.00%,0.00%,-,25.00,7.85,75.51,29 Oct 2025,28 Dec 2025,19.85,14.15,472500000.00,A-EQ,47250000
