Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),EPS,NAV(Year End),Audited PE,Forward PE,PaidUp Capital,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,956.75,-,3.3,-5.71,3.3,12.393,3630861.0,65.6755,-27.2727,2.87,2.658,2.9715,3.1105,3.0442,2.8797,0.1645,0.0963,3.3895,2.3505,152.85,6131580.9735,3.1689,3.0808,2.9562,1.2289,-,-,-,-,-,-,-,-,-,-,-,-,-2.24,7.54,-,-,2899233490.00,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,368.0,-,18.4,-2.13,18.4,6.779,364401.0,46.9123,-41.3793,18.44,19.174,20.125,18.4877,18.4763,18.6628,-0.1865,-0.2992,19.7659,17.1141,456.28,-368708.07,18.5489,18.4013,18.3362,1.0332,-,-,-,-,-,-,-,-,-,-,-,-,-0.53,8.6,-,-,200000000.00,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1580.66,6.79,17.0,1.8,17.0,1.675,99167.0,53.1296,-39.3939,16.63,16.618,18.138,16.867,16.8073,16.7105,0.0968,0.0114,17.96,15.3,54.74,-110002.3331,17.0311,16.8679,16.6805,1.3253,5.88,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,2.46,37.01,6.79,16.27,929799120.00,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,918.85,-,14.2,-3.4,14.2,2.52,176496.0,61.8394,-34.6939,12.84,12.052,12.197,13.9992,13.7222,12.9431,0.7792,0.5377,15.5361,10.1439,68.78,318538.1501,14.4222,14.0244,13.3729,1.5152,0.70,1.988,-,1.236,-,-,-,0.200,-,-,-,-,-0.12,21.73,-,-,647074420.00,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,860.73,-,3.6,-5.26,3.6,46.876,12798575.0,68.0248,-23.0769,3.005,2.784,3.17,3.3061,3.2225,3.0236,0.1989,0.109,3.639,2.371,496.99,14134240.2109,3.3711,3.2628,3.1148,1.2098,-,-,-,-,-,-,-,-,-,-,-,-,-1.37,8.69,-,-,2390903960.00,239090396
ABBANK,AB Bank PLC,Bank,B,5463.74,-,6.1,-1.61,6.1,13.099,2136146.0,48.2853,-94.1176,6.54,5.498,5.5565,6.3599,6.3798,6.2001,0.1796,0.3078,7.0485,6.0315,133.13,-2811180.0754,6.3422,6.3731,6.4629,1.8006,-,-,-,-,-,1.575,1.647,-,-,-,-,-,-21.28,7.19,-,-,8956947490.00,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,5710.94,-,0.0,0.0,1000.0,0.0,0.0,63.0012,0.0,993.75,997.5,0.0,981.0657,970.4499,939.7658,30.6841,21.8105,1139.3865,848.1135,20.98,-402.3103,1000.0,995.9936,993.75,0.0186,0.10,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,57109360.00,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,1815.0,85.71,17.9,0.0,18.0,0.43,23914.0,55.1546,-22.2222,17.61,17.514,17.779,17.7049,17.6688,17.6294,0.0394,-0.0213,18.3775,16.8425,6.31,-8046.4936,17.7489,17.6564,17.5843,1.253,5.56,2.961,-,1.970,-,-,-,-,-,-,-,-,0.21,33.63,85.71,100.00,1008333330.00,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,17592.72,-,200.3,-1.38,200.3,22.628,112684.0,40.4497,-81.1321,211.18,209.002,190.4795,205.9832,206.9458,208.5768,-1.6309,-0.2844,227.4462,194.9138,64.89,-28022.7529,205.7222,205.85,207.941,1.0985,1.25,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,-7.4,91.64,-,139.11,878318430.00,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,6496.88,17.66,137.5,-0.79,137.5,3.114,22493.0,44.0257,-56.5574,142.215,138.43,135.397,139.7441,140.1111,140.3341,-0.2231,0.4778,150.9878,133.4422,32.01,-19439.6864,139.6689,139.6128,140.4414,1.2357,1.82,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,7.85,75.51,17.66,10.66,472500000.00,47250000
ACMELAB,The ACME Laboratories Limited,Pharmaceuticals & Chemicals,A,16145.21,6.66,76.3,-0.26,76.3,15.541,203012.0,43.8998,-86.9565,78.35,76.364,75.6725,77.3288,77.5216,77.5515,-0.0299,0.3796,81.2854,75.4146,48.25,-302893.1435,77.2711,77.3615,77.7362,1.1721,4.59,1.154,0.265,0.680,-,0.098,0.068,0.422,0.042,0.091,-,-,11.48,126.37,6.66,6.26,2116017000.00,211601700
ACMEPL,Acme Pesticides Limited,Pharmaceuticals & Chemicals,B,2659.5,-,19.7,-2.96,19.7,196.238,9735691.0,70.7075,-23.913,17.265,16.51,15.4545,18.4554,18.1404,17.3833,0.7571,0.4217,19.6192,14.9108,730.01,6847380.0779,18.6756,18.309,17.7443,1.4916,0.01,4.422,0.117,3.222,-,-,-,-,-,-,-,-,-1.14,16.41,-,-,1350000000.00,135000000
ACTIVEFINE,Active Fine Chemicals Limited,Pharmaceuticals & Chemicals,Z,1727.54,67.27,7.3,-2.7,7.2,7.01,953794.0,57.2971,-50.0,6.945,6.306,7.4155,7.2186,7.1406,6.8544,0.2862,0.2496,7.6833,6.2067,73.51,-12366.443,7.3156,7.2077,7.0614,1.3962,0.35,-,-,-,-,-,-,-,-,-,-,-,0.11,22.07,67.27,46.25,2399365800.00,239936580
ADNTEL,ADN Telecom Limited,IT Sector,A,3827.38,23.02,59.2,0.85,59.2,10.342,174211.0,48.1085,-43.617,59.835,60.01,65.9615,58.7898,58.9421,59.6523,-0.7102,-0.71,66.1487,53.5213,129.4,32260.0819,58.7956,58.4987,58.7652,1.307,1.69,2.057,-,2.048,0.146,0.164,0.100,0.385,0.047,0.074,-,-,2.55,32.82,23.02,23.29,646516660.00,64651666
ADVENT,Advent Pharma Limited,Pharmaceuticals & Chemicals,Z,1331.8,19.72,14.3,0.7,14.3,5.959,415186.0,58.3265,-28.5714,13.76,13.662,14.269,13.9913,13.9214,13.8155,0.1059,0.0022,14.7556,12.7644,60.24,129031.1721,14.0733,13.9115,13.7776,1.4291,0.35,1.507,0.005,1.157,-,0.200,0.134,0.352,0.035,0.044,-,-,0.72,16.43,19.72,29.58,931327320.00,93132732
AFCAGRO,AFC Agro Biotech Limited,Pharmaceuticals & Chemicals,Z,841.08,34.55,7.3,-3.95,7.3,1.781,240071.0,56.1582,-47.3684,7.125,6.152,6.763,7.3375,7.2559,6.9014,0.3545,0.342,7.9247,6.3253,48.45,111887.2355,7.4267,7.309,7.1914,1.6999,0.68,5.609,-,4.057,-,0.066,0.036,0.232,0.010,0.012,-,-,0.22,18.19,34.55,33.53,1152162000.00,115216200
AFTABAUTO,Aftab Automobiles Limited,Engineering,Z,3071.36,-,29.1,0.0,29.1,7.7,263074.0,47.7944,-34.1463,28.775,30.318,33.3135,29.0451,29.0162,29.3627,-0.3465,-0.573,30.7269,26.8231,55.65,-30473.4815,29.2356,29.0167,28.7795,1.2754,3.44,1.931,2.289,1.802,-,-,-,0.254,-,-,-,-,-1.37,47.57,-,-,1055449950.00,105544995
