Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),EPS,NAV(Year End),Audited PE,Forward PE,PaidUp Capital,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,927.75,-,3.2,-5.88,3.2,7.668,2351081.0,58.1396,-36.3636,2.935,2.704,2.9675,3.1862,3.1317,2.9594,0.1722,0.1335,3.5307,2.3393,193.37,3839459.155,3.2711,3.2103,3.0638,1.2576,-,-,-,-,-,-,-,-,-,-,-,-,-2.24,7.54,-,-,2899233490.00,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,362.0,-,18.1,-1.63,18.1,5.914,324210.0,44.2031,-51.7241,18.295,19.05,20.1105,18.3593,18.3781,18.5737,-0.1956,-0.2465,19.4123,17.1777,467.33,-398611.6166,18.4333,18.4141,18.2919,1.0055,-,-,-,-,-,-,-,-,-,-,-,-,-0.53,8.6,-,-,200000000.00,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1571.36,6.91,17.1,-0.59,16.9,3.769,222627.0,51.8321,-42.4242,16.615,16.61,18.149,16.8863,16.8458,16.7501,0.0958,0.052,17.9261,15.3039,56.67,-177233.6736,16.9756,16.9769,16.7595,1.3262,5.92,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,2.46,37.01,6.91,16.56,929799120.00,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,854.14,-,13.4,-3.65,13.2,0.928,68282.0,51.6432,-55.102,13.04,12.166,12.2265,13.7276,13.6145,13.0494,0.5651,0.5828,15.696,10.384,76.73,86434.9067,14.02,14.0141,13.5324,1.5226,0.76,1.988,-,1.236,-,-,-,0.200,-,-,-,-,-0.12,21.73,-,-,647074420.00,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,836.82,-,3.5,-7.89,3.5,30.268,8251275.0,59.6125,-30.7692,3.115,2.846,3.159,3.4487,3.371,3.1424,0.2286,0.1653,3.8725,2.3575,639.87,11622609.8579,3.56,3.4679,3.2748,1.2215,-,-,-,-,-,-,-,-,-,-,-,-,-1.37,8.69,-,-,2390903960.00,239090396
ABBANK,AB Bank PLC,Bank,B,5284.6,-,5.9,-3.28,5.9,7.655,1274310.0,45.0376,-90.0,6.44,5.596,5.5465,6.1675,6.2167,6.152,0.0647,0.2033,7.0837,5.7963,122.64,-2598238.914,6.1133,6.1833,6.31,1.7894,-,-,-,-,-,1.575,1.647,-,-,-,-,-,-21.28,7.19,-,-,8956947490.00,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,5710.94,-,0.0,0.0,1000.0,0.0,0.0,63.0012,0.0,993.75,997.5,0.0,984.8526,974.9961,944.2276,30.7685,23.6021,1131.0466,856.4534,25.18,-329.24,1000.0,1000.0,998.5119,0.0186,0.10,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,57109360.00,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,1804.92,85.71,17.9,-0.56,17.9,0.434,24225.0,53.2719,-31.25,17.59,17.546,17.831,17.8033,17.7619,17.6857,0.0762,0.0213,18.3181,16.8619,6.33,4305.5703,17.8667,17.8141,17.67,1.2228,5.59,2.961,-,1.970,-,-,-,-,-,-,-,-,0.21,33.63,85.71,100.00,1008333330.00,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,17417.05,-,198.3,-1.78,198.3,16.644,82981.0,40.62,-83.871,208.16,208.826,191.0355,202.6562,203.8743,206.6287,-2.7544,-1.3755,224.871,191.449,55.05,-64608.7954,201.5644,202.9359,204.781,1.0913,1.26,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,-7.4,91.64,-,138.29,878318430.00,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,6515.78,17.64,137.9,-0.43,137.9,3.078,22324.0,45.7155,-44.6602,140.5,138.882,135.612,138.761,139.1634,139.7845,-0.6211,-0.0296,147.4364,133.5636,28.0,-12968.8977,138.4067,138.8256,139.3067,1.2243,1.81,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,7.85,75.51,17.64,10.65,472500000.00,47250000
ACMELAB,The ACME Laboratories Limited,Pharmaceuticals & Chemicals,A,15975.93,6.65,75.5,-1.05,75.5,16.317,215090.0,41.715,-97.9592,77.67,76.574,75.778,76.5644,76.8289,77.1834,-0.3545,0.0596,80.5756,74.7644,42.36,-249146.8581,76.2956,76.6346,77.0681,1.175,4.64,1.154,0.265,0.680,-,0.098,0.068,0.422,0.042,0.091,-,-,11.48,126.37,6.65,6.24,2116017000.00,211601700
ACMEPL,Acme Pesticides Limited,Pharmaceuticals & Chemicals,B,2835.0,-,21.0,-0.47,21.0,170.24,8049330.0,74.5091,-19.2982,17.93,16.83,15.598,19.7388,19.3026,18.1485,1.1542,0.7395,21.4978,14.3622,914.96,3204281.8419,20.2067,19.6987,18.7776,1.467,-,4.422,0.117,3.222,-,-,-,-,-,-,-,-,-1.14,16.41,-,-,1350000000.00,135000000
ACTIVEFINE,Active Fine Chemicals Limited,Pharmaceuticals & Chemicals,Z,1679.56,66.36,7.0,-4.11,7.0,2.917,410523.0,52.0747,-61.1111,7.01,6.396,7.4005,7.1855,7.1463,6.9177,0.2286,0.2499,7.7438,6.2762,81.42,-430849.7851,7.2844,7.25,7.1171,1.3892,0.36,-,-,-,-,-,-,-,-,-,-,-,0.11,22.07,66.36,45.63,2399365800.00,239936580
ADNTEL,ADN Telecom Limited,IT Sector,A,3859.7,22.82,59.7,2.58,59.7,37.44,622864.0,50.8962,-20.5479,58.915,60.09,65.916,58.7508,58.8363,59.4386,-0.6023,-0.698,63.6764,54.1536,127.6,-31443.5978,58.7289,58.7231,58.4948,1.2757,1.68,2.057,-,2.048,0.146,0.164,0.100,0.385,0.047,0.074,-,-,2.55,32.82,22.82,23.10,646516660.00,64651666
ADVENT,Advent Pharma Limited,Pharmaceuticals & Chemicals,Z,1322.48,20.28,14.2,-2.74,14.2,3.723,258953.0,54.2682,-33.3333,13.785,13.734,14.2835,14.1316,14.0613,13.9095,0.1518,0.0688,14.8419,12.7281,78.3,-139106.0095,14.2622,14.1577,13.921,1.4611,0.35,1.507,0.005,1.157,-,0.200,0.134,0.352,0.035,0.044,-,-,0.72,16.43,20.28,30.42,931327320.00,93132732
AFCAGRO,AFC Agro Biotech Limited,Pharmaceuticals & Chemicals,Z,829.56,33.18,7.2,-1.37,7.2,2.079,286919.0,54.3194,-52.6316,7.145,6.274,6.7565,7.2992,7.2579,6.9761,0.2817,0.3235,7.9462,6.3438,55.01,-110830.0504,7.4044,7.3577,7.2281,1.6894,0.69,5.609,-,4.057,-,0.066,0.036,0.232,0.010,0.012,-,-,0.22,18.19,33.18,32.21,1152162000.00,115216200
AFTABAUTO,Aftab Automobiles Limited,Engineering,Z,3060.8,-,29.0,-1.02,29.0,4.96,170163.0,47.196,-36.5854,28.715,30.092,33.369,29.0711,29.0489,29.3085,-0.2596,-0.4306,30.5734,26.8566,54.06,-170755.1383,29.1644,29.1782,28.8824,1.2886,3.45,1.931,2.289,1.802,-,-,-,0.254,-,-,-,-,-1.37,47.57,-,-,1055449950.00,105544995
AGNISYSL,Agni Systems PLC.,IT Sector,B,1552.7,26.05,21.4,1.42,21.4,37.451,1742392.0,54.1864,-17.2414,20.94,21.078,23.6865,21.0916,21.0634,21.0575,0.0059,-0.0532,22.3125,19.5675,241.76,-84492.2801,21.1556,21.1218,20.9424,1.2389,1.17,4.147,-,4.091,0.135,0.140,0.123,0.318,0.059,0.069,-,-,0.81,16.95,26.05,18.51,725561920.00,72556192
