Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI[14],Willams %R[14],SMA[20],SMA[50],SMA[200],EMA[9],EMA[12],EMA[26],"MACD[12,26]",MACD Signal[9],"BB Upper[20,2]","BB Lower[20,2]",TV[22],"CO[3,10]",WMA[9],WMA[12],WMA[20],Beta[5],VWMA[20],VWMA[50],VWMA[200],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),YCP,Change,Trade,Value (Turnover)(mn),Free Float,Institute Share %,Public Share %,Sponsor Director Share %,Govt. Share %,Foreign Share %,Stock Dividend,Cash Dividend,EPS,NAV(Year End),Last Dividend Date,Last AGM Date,Audited PE,Forward PE,PaidUp Capital,Quote Bases,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,1014.73,-,3.50,2.94,3.50,4.1430,"1,178,453",48.5735,-50.0000,3.4850,3.6360,3.0220,3.4581,3.4701,3.5257,-0.0556,-0.0556,3.6717,3.2983,102.4600,-1332184.8436,3.4489,3.4487,3.4648,1.3063,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,3.40,0.10,257,4.1430,75.00%,30.20%,44.80%,25.00%,0.00%,0.00%,-,-,-2.24,7.54,15 Sep 2024,-,-,-,2899233490.00,A-MF,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,472.00,-,23.60,2.61,23.60,29.2600,"1,233,738",55.3456,-30.2326,22.1450,23.4820,20.4265,22.8924,22.7741,22.7857,-0.0117,-0.2770,24.1318,20.1582,670.6700,344217.7852,23.0689,22.8423,22.4152,0.9605,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,23.00,0.60,840,29.2600,98.00%,23.98%,74.01%,2.00%,0.00%,0.01%,-,-,-0.53,8.60,01 Feb 2026,-,-,9.50,200000000.00,A-MF,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1720.13,7.48,18.50,0.54,18.50,2.6240,"141,248",44.7717,-57.1429,19.0150,20.1660,17.9265,18.2370,18.3809,19.0398,-0.6589,-0.6530,21.6835,16.3465,86.8700,-49606.6077,18.0133,18.0218,18.4195,1.3962,0.0000,0.0000,0.0000,0.05,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,18.40,0.10,264,2.6240,66.96%,21.74%,45.22%,33.04%,0.00%,0.00%,-,0.10,0.13,36.14,06 Sep 2026,-,7.48,-,929799120.00,Z-EQ,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,1048.26,-,16.30,-0.61,16.20,0.5110,"31,591",39.3013,-74.1935,17.1700,18.7340,14.1225,16.5653,16.7881,17.6144,-0.8263,-0.7259,19.4170,14.9230,84.8500,-118684.1550,16.3733,16.5346,16.7729,1.5687,0.0000,0.0000,0.0000,0.15,1.988,-,1.236,-,-,-,0.200,-,-,-,-,16.30,-0.10,92,0.5110,69.99%,29.97%,40.02%,30.01%,0.00%,0.00%,-,0.25,-3.17,18.46,13 Jul 2026,-,-,-,647074420.00,Z-EQ,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,860.73,-,3.60,5.88,3.60,22.3330,"6,113,420",49.4085,-50.0000,3.5600,3.7500,3.1600,3.5426,3.5545,3.6118,-0.0573,-0.0580,3.7791,3.3409,187.8800,-1518467.8749,3.5378,3.5423,3.5481,1.2703,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,3.40,0.20,502,22.3330,84.49%,16.43%,68.06%,15.51%,0.00%,0.00%,-,-,-1.37,8.69,25 Sep 2024,-,-,-,2390903960.00,A-MF,239090396
ABBANK,AB Bank PLC,Bank,Z,4209.77,-,4.80,-2.08,4.70,1.0570,"224,183",52.8655,-20.0000,4.5950,4.7980,4.9605,4.5748,4.5780,4.6446,-0.0667,-0.0911,4.8584,4.3316,10.0600,366724.0295,4.5533,4.5436,4.5590,1.7200,0.0000,0.0000,0.0000,-,-,-,-,-,1.242,1.343,-,-,1.199,-,-,4.80,-0.10,147,1.0570,80.48%,35.00%,44.94%,18.95%,0.57%,0.54%,-,-,-43.42,-36.24,03 May 2026,18 Jun 2026,-,-,8956947490.00,Z-EQ,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,6053.59,-,0.00,0.00,1060.00,0.0000,0,63.0051,-25.0000,1068.0000,1047.2000,0.0000,1048.3281,1041.8432,1008.2701,33.5732,35.1310,1136.8491,999.1509,11.5000,4204.2088,1067.1111,1069.8718,1070.6190,0.0020,0.0000,0.0000,0.0000,0.09,-,-,-,-,-,-,-,-,-,-,-,1060.00,0.00,0,0.0000,100.00%,94.73%,5.27%,0.00%,0.00%,0.00%,-,10.00,0.00,0.00,10 Dec 2025,-,-,-,57109360.00,A-CB,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,2258.67,106.19,22.40,0.45,22.40,2.2120,"99,526",46.3325,-41.0256,22.7200,23.2020,20.1300,22.3179,22.3943,22.7032,-0.3089,-0.2864,24.0913,21.3487,18.9600,-32595.8447,22.1778,22.2038,22.4819,1.2100,0.0000,0.0000,0.0000,4.46,2.961,-,1.970,-,-,-,-,-,-,-,-,22.30,0.10,137,2.2120,50.42%,11.68%,38.64%,49.58%,0.00%,0.10%,-,10.00,0.21,33.63,27 Oct 2025,29 Dec 2025,106.19,238.93,1008333330.00,A-EQ,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,16187.41,-,186.30,-0.43,184.30,2.7350,"14,812",39.3769,-45.2703,187.6300,195.8600,197.6330,184.3994,185.3027,189.0285,-3.7258,-3.4955,196.0783,179.1817,3.5600,-8385.2784,183.2267,184.0846,185.7929,1.1397,0.0000,0.0000,0.0000,1.36,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,185.10,-0.80,189,2.7350,52.73%,34.30%,18.43%,47.27%,0.00%,0.00%,-,25.00,-7.40,91.64,29 Oct 2025,28 Dec 2025,-,-,878318430.00,A-EQ,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,7328.48,19.81,155.10,-0.26,155.10,11.3260,"73,231",46.1240,-32.2148,155.4900,164.7640,144.6045,153.5086,154.0774,157.5086,-3.4312,-3.7968,165.7442,145.2358,87.6500,-31889.9493,152.8356,152.6359,153.4967,1.2772,0.0000,0.0000,0.0000,1.61,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,155.50,-0.40,580,11.3260,33.98%,19.98%,14.00%,66.02%,0.00%,0.00%,-,25.00,7.85,75.51,29 Oct 2025,28 Dec 2025,19.81,14.12,472500000.00,A-EQ,47250000
