Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI[14],Willams %R[14],SMA[20],SMA[50],SMA[200],EMA[9],EMA[12],EMA[26],"MACD[12,26]",MACD Signal[9],"BB Upper[20,2]","BB Lower[20,2]",TV[22],"CO[3,10]",WMA[9],WMA[12],WMA[20],Beta[5],VWMA[20],VWMA[50],VWMA[200],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),YCP,Change,Trade,Value (Turnover)(mn),Free Float,Institute Share %,Public Share %,Sponsor Director Share %,Govt. Share %,Foreign Share %,Stock Dividend,Cash Dividend,EPS,NAV(Year End),Last Dividend Date,Last AGM Date,Audited PE,Forward PE,PaidUp Capital,Quote Bases,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,1043.72,-,3.60,0.00,3.60,2.6900,"743,851",45.4070,-100.0000,3.8800,3.4960,2.9500,3.7262,3.7521,3.7193,0.0328,0.1051,4.2561,3.5039,386.4700,-1751446.3551,3.6889,3.7333,3.8233,1.2908,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,3.60,0.00,107,2.6900,75.00%,28.78%,46.22%,25.00%,0.00%,0.00%,-,-,-2.24,7.54,15 Sep 2024,-,-,-,2899233490.00,A-MF,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,468.00,-,23.40,0.86,23.40,5.1940,"221,845",44.5633,-88.8889,24.4100,23.4960,20.1810,24.1652,24.2616,24.1367,0.1250,0.3956,26.0832,22.7368,1067.1900,-1156399.1177,24.1133,24.3154,24.4652,0.9731,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,23.20,0.20,224,5.1940,98.00%,23.98%,74.01%,2.00%,0.00%,0.01%,-,-,-0.53,8.60,01 Feb 2026,-,-,9.59,200000000.00,A-MF,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1989.77,8.29,21.40,4.90,21.40,10.8010,"510,355",57.4274,-25.0000,20.8900,20.4840,17.9405,20.8262,20.8330,20.7322,0.1007,0.1631,21.5578,20.2222,84.5100,-77119.9976,20.7733,20.7987,20.8600,1.3644,0.0000,0.0000,0.0000,4.67,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,20.40,1.00,520,10.8010,66.96%,21.95%,45.01%,33.04%,0.00%,0.00%,-,10.00,2.46,37.01,29 Oct 2024,31 Dec 2024,8.29,19.87,929799120.00,Z-EQ,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,1313.56,-,20.30,2.01,20.30,2.7850,"137,721",50.4304,-82.6087,21.0850,18.2480,13.6105,21.2416,21.2206,20.3176,0.9030,1.2819,24.1802,17.9898,149.7600,-183852.3791,21.3356,21.5949,21.5414,1.5147,0.0000,0.0000,0.0000,0.49,1.988,-,1.236,-,-,-,0.200,-,-,-,-,19.90,0.40,234,2.7850,69.99%,32.06%,37.93%,30.01%,0.00%,0.00%,-,-,0.00,0.00,-,-,-,-,647074420.00,Z-EQ,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,908.54,-,3.80,2.70,3.80,4.2730,"1,129,024",48.9368,-75.0000,3.9600,3.6340,3.0900,3.8292,3.8521,3.8305,0.0216,0.0818,4.3178,3.6022,606.2000,-4275172.7910,3.7933,3.8282,3.9076,1.2492,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,3.70,0.10,104,4.2730,84.49%,13.20%,71.29%,15.51%,0.00%,0.00%,-,-,-1.37,8.69,25 Sep 2024,-,-,-,2390903960.00,A-MF,239090396
ABBANK,AB Bank PLC,Bank,Z,4299.33,-,4.80,0.00,4.80,2.5890,"537,229",40.3885,-100.0000,4.9350,4.9080,4.9845,4.8565,4.8730,4.8994,-0.0264,-0.0027,5.1217,4.7483,18.4300,-778157.0776,4.8444,4.8603,4.8952,1.7274,0.0000,0.0000,0.0000,-,-,-,-,-,1.242,1.343,-,-,1.199,-,-,4.80,0.00,173,2.5890,80.48%,35.25%,44.69%,18.95%,0.57%,0.54%,-,-,-43.42,-36.24,03 May 2026,18 Jun 2026,-,-,8956947490.00,Z-EQ,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,6053.59,-,0.00,0.00,1060.00,0.0000,0,63.0051,-25.0000,1068.0000,1047.2000,0.0000,1048.3281,1041.8432,1008.2701,33.5732,35.1310,1136.8491,999.1509,11.5000,4204.2088,1067.1111,1069.8718,1070.6190,0.0020,0.0000,0.0000,0.0000,0.09,-,-,-,-,-,-,-,-,-,-,-,1060.00,0.00,0,0.0000,100.00%,94.73%,5.27%,0.00%,0.00%,0.00%,-,10.00,0.00,0.00,10 Dec 2025,-,-,-,57109360.00,A-CB,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,2278.83,105.24,22.60,2.26,22.60,0.4090,"18,179",42.3555,-71.4286,23.3950,23.6620,19.7230,22.8856,23.0221,23.2777,-0.2556,-0.0762,24.8040,21.9860,27.8100,-80875.9045,22.7422,22.9205,23.2267,1.2031,0.0000,0.0000,0.0000,4.42,2.961,-,1.970,-,-,-,-,-,-,-,-,22.10,0.50,48,0.4090,50.42%,11.65%,38.67%,49.58%,0.00%,0.10%,-,10.00,0.21,33.63,27 Oct 2025,29 Dec 2025,105.24,236.79,1008333330.00,A-EQ,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,17215.04,-,196.00,-0.05,196.00,0.6420,"3,272",40.0631,-90.1639,199.7000,198.6100,196.5385,197.5703,198.1540,199.2129,-1.0590,-0.2754,204.9057,194.4943,15.1300,-52887.8974,196.8933,197.5000,198.8200,1.1403,0.0000,0.0000,0.0000,1.28,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,196.10,-0.10,73,0.6420,52.73%,34.34%,18.39%,47.27%,0.00%,0.00%,-,25.00,-7.40,91.64,29 Oct 2025,28 Dec 2025,-,-,878318430.00,A-EQ,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,7961.63,21.36,169.40,0.48,168.50,34.9970,"207,857",48.8145,-84.0659,172.4750,161.9160,142.5095,170.9374,171.3292,169.6392,1.6900,3.3457,179.6062,165.3438,275.4200,-289286.5215,170.8444,171.3487,172.1743,1.2826,0.0000,0.0000,0.0000,1.48,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,167.70,0.80,906,34.9970,33.98%,21.87%,12.11%,66.02%,0.00%,0.00%,-,25.00,7.85,75.51,29 Oct 2025,28 Dec 2025,21.36,15.23,472500000.00,A-EQ,47250000
