Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),EPS,NAV(Year End),Audited PE,Forward PE,PaidUp Capital,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,695.82,-,2.5,0.0,2.4,1.638,681821.0,41.659,-66.6667,2.5,2.55,3.135,2.4182,2.437,2.5033,-0.0663,-0.0565,2.7152,2.2848,39.36,-587845.8453,2.3933,2.4103,2.4495,1.1732,-,-,-,-,-,-,-,-,-,-,-,-,-2.24,7.54,-,-,2899233490.00,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,398.0,-,19.9,-1.0,19.9,7.596,378412.0,52.0696,-64.7059,19.87,19.172,20.317,19.8416,19.8391,19.7354,0.1037,0.147,20.665,19.075,563.86,34258.0863,19.7756,19.8538,19.8776,1.1154,-,-,-,-,-,-,-,-,-,-,-,-,-3.45,9.13,-,32.07,200000000.00,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1562.06,6.75,16.8,1.2,16.8,1.325,78923.0,42.0007,-62.963,17.26,17.342,18.752,16.8682,16.9493,17.2276,-0.2784,-0.2313,18.2299,16.2901,25.14,-65225.0173,16.7556,16.8167,17.0519,1.303,5.95,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,2.46,37.01,6.75,16.17,929799120.00,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,744.14,-,11.5,1.77,11.5,0.471,41158.0,52.4983,-66.6667,11.445,11.034,12.4185,11.4267,11.4261,11.3657,0.0604,0.0875,12.2567,10.6333,16.3,-10061.3225,11.3867,11.4179,11.4857,1.4816,0.87,1.988,-,1.236,-,-,-,0.200,-,-,-,-,-0.12,21.73,-,-,647074420.00,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,621.64,-,2.7,0.0,2.6,1.649,628972.0,48.1305,-50.0,2.595,2.648,3.542,2.5706,2.5757,2.6135,-0.0378,-0.0442,2.7323,2.4577,54.58,-778586.8789,2.5556,2.5564,2.5738,1.1522,-,-,-,-,-,-,-,-,-,-,-,-,-1.37,8.69,-,-,2390903960.00,239090396
ABBANK,AB Bank PLC,Bank,B,3851.49,-,4.3,0.0,4.3,1.445,335538.0,49.7621,-66.6667,4.26,4.29,5.7775,4.2815,4.2797,4.3018,-0.0221,-0.0363,4.4693,4.0507,25.83,-1043136.6631,4.2778,4.2821,4.2767,1.7545,-,-,-,-,-,1.575,1.647,-,-,-,-,-,-21.28,7.19,-,-,8956947490.00,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,5710.94,-,0.0,0.0,1000.0,0.0,0.0,69.847,0.0,951.55,872.98,0.0,934.1283,920.7205,902.6012,18.1193,-2.7986,1082.6367,820.4633,0.02,-1609.0983,960.0,957.6923,955.0405,0.041,0.10,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,57109360.00,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,1784.75,82.86,17.7,1.72,17.7,0.162,9163.0,50.5994,-37.5,17.57,18.186,17.514,17.365,17.4038,17.6565,-0.2526,-0.2862,18.3543,16.7857,5.19,-12591.9757,17.26,17.2756,17.4162,1.3063,5.65,2.447,-,1.271,-,-,-,-,-,-,-,-,0.21,33.63,82.86,39.55,1008333330.00,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,18189.97,-,207.1,-0.91,207.1,40.008,192709.0,63.4145,-41.5888,200.73,190.382,184.688,206.4476,205.0553,199.5892,5.4661,4.9808,213.8156,187.6444,45.53,126162.8836,208.0533,206.8487,203.7457,1.0556,1.21,0.689,0.811,0.402,-,0.053,-,0.239,-,-,-,-,-7.4,91.64,-,133.97,878318430.00,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,6388.2,17.27,135.2,-0.29,135.2,3.59,26537.0,62.5595,-33.945,130.965,128.83,133.4815,133.4701,132.8208,131.3086,1.5122,0.7979,136.6018,125.3282,12.09,-7483.7451,134.0956,133.3051,131.9995,1.2349,1.85,1.224,-,0.908,-,0.118,0.066,0.289,0.043,0.100,-,-,7.85,75.51,17.27,18.32,472500000.00,47250000
