Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),EPS,NAV(Year End),Audited PE,Forward PE,PaidUp Capital,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,840.78,-,2.9,-3.33,2.9,2.859,955077.0,43.3584,-100.0,3.035,2.968,2.9205,2.9952,3.0066,3.0138,-0.0072,0.0144,3.1524,2.9176,98.59,-1407955.8648,2.9889,2.9987,3.0171,1.2504,-,-,-,-,-,-,-,-,-,-,-,-,-2.24,7.54,-,-,2899233490.00,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,378.0,-,18.9,-1.05,18.9,5.247,276283.0,49.206,-95.8333,19.115,18.698,20.126,19.0996,19.0995,18.9792,0.1204,0.1769,20.4594,17.7706,788.44,-421631.9512,19.0689,19.1256,19.2124,0.9429,-,-,-,-,-,-,-,-,-,-,-,-,-0.53,8.6,-,9.74,200000000.00,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1487.68,6.46,16.0,0.63,16.0,0.765,47782.0,44.0432,-85.7143,16.3,16.51,18.0845,16.125,16.178,16.328,-0.15,-0.1042,16.9018,15.6982,58.93,-267865.2494,16.0444,16.1295,16.2419,1.34,6.25,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,2.46,37.01,6.46,15.49,929799120.00,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,770.02,-,11.9,-2.46,11.9,2.095,174294.0,36.4349,-96.5517,12.915,12.874,12.3925,12.501,12.6124,12.8263,-0.2139,-0.0701,13.7982,12.0318,38.7,-174165.0627,12.3956,12.5269,12.7419,1.5341,0.84,1.988,-,1.236,-,-,-,0.200,-,-,-,-,-0.12,21.73,-,-,647074420.00,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,717.27,-,3.0,-3.23,3.0,5.169,1709425.0,38.9644,-100.0,3.235,3.148,3.053,3.1292,3.1542,3.1922,-0.038,-0.0009,3.4714,2.9986,392.09,-2814761.5925,3.1089,3.1256,3.179,1.223,-,-,-,-,-,-,-,-,-,-,-,-,-1.37,8.69,-,-,2390903960.00,239090396
ABBANK,AB Bank PLC,Bank,Z,4120.2,-,4.6,0.0,4.6,2.842,623111.0,26.0667,-87.5,5.495,6.022,5.465,4.9393,5.0714,5.4359,-0.3646,-0.2462,6.6123,4.3777,56.16,-1729559.0446,4.7978,4.9423,5.2186,1.793,-,-,-,-,-,1.575,1.647,-,-,-,-,-,-43.42,-36.24,-,-,8956947490.00,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,5996.48,-,1050.0,0.0,1050.0,21.0,20000.0,70.3099,0.0,1050.0,1017.5,0.0,1036.9729,1027.9014,990.6934,37.2081,34.796,1122.3546,977.6454,28.21,-66.1406,1050.0,1050.0,1050.0,0.0354,0.10,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,57109360.00,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,1875.5,88.57,18.6,0.0,18.6,1.632,87896.0,61.2336,-26.3158,18.21,17.902,18.174,18.3942,18.3426,18.1655,0.1771,0.1473,18.6638,17.7562,15.66,4223.7386,18.4222,18.3782,18.3048,1.179,5.38,2.961,-,1.970,-,-,-,-,-,-,-,-,0.21,33.63,88.57,199.29,1008333330.00,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,16688.05,-,190.0,-0.47,190.0,4.385,22980.0,36.4073,-86.0262,201.09,206.026,193.923,193.7659,195.349,199.5983,-4.2493,-2.7723,216.6447,185.5353,26.09,-93331.6924,191.7867,193.7641,197.5076,1.1032,1.32,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,-7.4,91.64,-,-,878318430.00,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,6591.38,17.89,139.5,-0.64,139.5,4.838,34581.0,46.3541,-94.9153,141.945,141.614,137.5975,141.3228,141.4737,141.3082,0.1655,0.5748,148.1501,135.7399,25.3,-38459.7793,141.0244,141.6013,142.019,1.2333,1.79,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,7.85,75.51,17.89,12.75,472500000.00,47250000
ACMELAB,The ACME Laboratories Limited,Pharmaceuticals & Chemicals,A,16166.37,6.66,76.4,-0.13,76.4,12.68,165677.0,52.4645,-38.4615,75.81,77.002,76.311,76.0577,76.0012,76.0528,-0.0516,-0.1998,76.7523,74.8677,27.63,-242566.0543,76.06,75.9987,75.911,1.1859,4.58,1.154,0.265,0.680,-,0.098,0.068,0.422,0.042,0.091,-,-,11.48,126.37,6.66,6.10,2116017000.00,211601700
ACMEPL,Acme Pesticides Limited,Pharmaceuticals & Chemicals,B,3186.0,-,23.6,2.61,23.6,109.879,4712284.0,51.9764,-70.0,24.85,20.868,17.0955,23.739,23.8221,23.2552,0.5669,1.0164,27.8395,21.8605,1536.14,-3499703.7,23.4933,23.6128,24.221,1.4367,-,4.422,0.117,3.222,-,-,-,-,-,-,-,-,-1.14,16.41,-,-,1350000000.00,135000000
ACTIVEFINE,Active Fine Chemicals Limited,Pharmaceuticals & Chemicals,Z,1583.58,60.91,6.6,-1.49,6.6,1.032,155650.0,44.2977,-75.0,6.72,6.852,7.2055,6.6394,6.6607,6.7341,-0.0734,-0.0613,6.9922,6.4478,31.72,-287312.0578,6.6111,6.6244,6.6605,1.3554,0.38,-,-,-,-,-,-,-,-,-,-,-,0.11,22.07,60.91,41.88,2399365800.00,239936580
ADNTEL,ADN Telecom Limited,IT Sector,A,3879.1,23.41,60.0,0.5,60.0,17.113,285354.0,50.2167,-52.381,60.29,60.096,65.219,60.078,60.0504,59.9573,0.0931,0.0764,62.4055,58.1745,174.76,-463367.2374,60.1089,60.0154,60.0767,1.2491,1.67,1.943,-,1.935,0.122,0.152,0.091,0.354,0.049,0.077,-,-,2.55,32.82,23.41,24.07,646516660.00,64651666
ADVENT,Advent Pharma Limited,Pharmaceuticals & Chemicals,Z,1266.61,18.89,13.6,0.0,13.6,3.113,228236.0,44.9979,-70.0,13.795,13.844,14.311,13.6546,13.685,13.7765,-0.0915,-0.068,14.2228,13.3672,63.6,-183967.0193,13.6044,13.6256,13.7067,1.4777,0.37,1.507,0.005,1.157,-,0.200,0.134,0.352,0.035,0.044,-,-,0.72,16.43,18.89,30.91,931327320.00,93132732
AFCAGRO,AFC Agro Biotech Limited,Pharmaceuticals & Chemicals,Z,806.51,32.73,7.0,-2.78,7.0,1.204,170396.0,53.2852,-44.4444,6.84,7.016,6.6465,6.891,6.8771,6.8915,-0.0144,-0.0517,7.3052,6.3748,35.25,-69227.58,6.8978,6.8449,6.8076,1.6767,0.71,5.609,-,4.057,-,0.066,0.036,0.232,0.010,0.012,-,-,0.22,18.19,32.73,31.76,1152162000.00,115216200
