Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),EPS,NAV(Year End),Audited PE,Forward PE,PaidUp Capital,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,753.8,-,2.6,4.0,2.6,0.488,189378,48.9314,-66.6667,2.53,2.742,3.2155,2.5703,2.5739,2.6157,-0.0419,-0.0537,2.8281,2.2319,40.28,52680.0942,2.5622,2.5833,2.5724,1.1409,-,-,-,-,-,-,-,-,-,-,-,-,-2.24,7.54,-,-,2899233490.00,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,378.0,-,18.9,2.72,18.9,7.265,387819,50.2258,-47.8261,18.36,19.648,20.408,18.5759,18.5917,18.851,-0.2593,-0.3466,19.9043,16.8157,424.44,-117819.842,18.5178,18.6231,18.5786,1.0695,-,-,-,-,-,-,-,-,-,-,-,-,-3.45,9.13,-,29.36,200000000.00,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1701.53,7.24,18.4,2.81,18.3,3.028,166409,53.3636,-41.9355,17.345,18.926,19.6095,17.787,17.7515,17.9523,-0.2008,-0.3734,18.8633,15.8267,26.53,-42270.3894,17.8089,17.8103,17.629,1.2459,5.46,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,2.46,37.01,7.24,17.34,929799120.00,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,737.66,-,11.4,9.62,11.4,1.554,137478,54.79,-38.0952,10.715,11.704,12.9485,10.8434,10.8486,11.0563,-0.2077,-0.2941,11.6054,9.8246,14.76,27518.4111,10.8,10.841,10.8324,1.4093,0.88,1.988,-,1.236,-,-,-,0.200,-,-,-,-,-0.12,21.73,-,-,647074420.00,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,669.45,-,2.8,7.69,2.8,6.973,2525430,52.9685,-57.1429,2.67,2.834,3.6165,2.7069,2.708,2.7383,-0.0303,-0.0421,2.9819,2.3581,186.99,393957.4592,2.6933,2.7167,2.7105,1.1009,-,-,-,-,-,-,-,-,-,-,-,-,-1.37,8.69,-,-,2390903960.00,239090396
ABBANK,AB Bank PLC,Bank,B,3941.06,-,4.4,4.76,4.4,4.586,1056255,46.9404,-72.7273,4.33,4.872,6.2045,4.3367,4.3612,4.5035,-0.1423,-0.1554,5.125,3.535,47.7,-294388.3748,4.28,4.3423,4.3919,1.7307,-,-,-,-,-,1.575,1.647,-,-,-,-,-,-21.28,7.19,-,-,8956947490.00,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,5710.94,-,0.0,0.0,1000.0,0.0,0,69.847,0.0,951.55,872.98,0.0,934.1283,920.7205,902.6012,18.1193,-2.7986,1082.6367,820.4633,0.02,-1609.0983,960.0,957.6923,955.0405,0.041,0.10,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,57109360.00,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,1845.25,-,18.3,2.23,18.3,0.905,49628,45.2402,-73.3333,18.825,18.564,17.5425,18.4775,18.5693,18.6651,-0.0958,0.0608,20.2781,17.3719,25.69,-59484.1112,18.3667,18.6154,18.8052,1.1943,5.46,2.447,-,1.271,-,-,-,-,-,-,-,-,0.21,33.63,-,40.68,1008333330.00,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,16310.37,-,185.7,0.32,185.7,5.602,30099,61.8676,-13.2911,180.0,177.502,179.3025,182.4772,181.7268,179.9024,1.8244,1.0352,186.5555,173.4445,12.57,4148.9373,183.2044,182.2603,180.7424,1.0044,1.35,0.689,0.811,0.402,-,0.053,-,0.239,-,-,-,-,-7.4,91.64,-,118.65,878318430.00,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,6099.97,18.37,129.1,2.14,129.1,3.342,26355,50.0618,-55.3299,126.565,131.556,132.883,127.8867,127.9153,128.9606,-1.0453,-1.4743,133.3487,119.7813,11.25,-12846.6466,127.9244,128.2705,127.6657,1.1948,1.94,1.224,-,0.908,-,0.118,0.066,0.289,0.043,0.100,-,-,7.85,75.51,18.37,17.08,472500000.00,47250000
