Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),EPS,NAV(Year End),Audited PE,Forward PE,PaidUp Capital,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,782.79,-,2.7,-3.57,2.7,1.476,542284.0,54.336,-55.5556,2.55,2.556,3.044,2.7439,2.7061,2.6097,0.0964,0.0589,3.0246,2.0754,106.56,-676060.3222,2.8067,2.7718,2.6586,1.2027,-,-,-,-,-,-,-,-,-,-,-,-,-2.24,7.54,-,-,2899233490.00,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,390.0,-,19.5,-0.51,19.5,3.892,198424.0,48.0438,-41.3793,19.56,19.614,20.265,19.6511,19.637,19.6174,0.0195,-0.0023,20.1309,18.9891,534.76,-491261.5236,19.7067,19.6667,19.5829,1.0615,-,-,-,-,-,-,-,-,-,-,-,-,-0.53,8.6,-,-,200000000.00,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1580.66,6.99,17.0,-1.16,17.0,1.269,74065.0,53.1232,-42.3077,16.505,17.04,18.228,16.8877,16.8062,16.7669,0.0393,-0.1211,17.697,15.313,41.56,-203810.5339,17.0444,16.8731,16.6286,1.3326,5.88,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,2.46,37.01,6.99,16.75,929799120.00,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,782.96,-,12.1,0.0,12.1,0.083,6845.0,60.9045,-56.5217,11.565,11.378,12.1615,11.952,11.8638,11.6384,0.2254,0.1377,12.4718,10.6582,28.15,-212802.3383,12.08,11.9615,11.7381,1.4957,0.83,1.988,-,1.236,-,-,-,0.200,-,-,-,-,-0.12,21.73,-,-,647074420.00,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,669.45,-,2.8,-3.45,2.8,10.095,3585256.0,54.2483,-55.5556,2.675,2.654,3.3525,2.8451,2.8091,2.7185,0.0905,0.0541,3.0899,2.2601,248.16,2462474.5005,2.9044,2.859,2.7624,1.1909,-,-,-,-,-,-,-,-,-,-,-,-,-1.37,8.69,-,-,2390903960.00,239090396
ABBANK,AB Bank PLC,Bank,B,5642.88,-,6.3,-4.55,6.3,35.664,5575221.0,71.0649,-34.375,4.945,4.538,5.5815,5.852,5.6312,5.0837,0.5475,0.3202,6.7566,3.1334,80.92,2819447.0343,6.0867,5.8231,5.3586,1.8119,-,-,-,-,-,1.575,1.647,-,-,-,-,-,-21.28,7.19,-,-,8956947490.00,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,5710.94,-,0.0,0.0,1000.0,0.0,0.0,69.847,0.0,951.55,872.98,0.0,934.1283,920.7205,902.6012,18.1193,-2.7986,1082.6367,820.4633,0.02,-1609.0983,960.0,957.6923,955.0405,0.041,0.10,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,57109360.00,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,1804.92,84.76,17.9,0.56,17.9,0.455,25409.0,53.42,-50.0,17.535,17.648,17.52,17.8691,17.7924,17.6623,0.1301,0.0229,18.5758,16.4942,6.95,-28149.534,18.0044,17.8769,17.6819,1.3203,5.59,2.447,-,1.271,-,-,-,-,-,-,-,-,0.21,33.63,84.76,98.89,1008333330.00,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,18954.11,-,215.8,-3.53,215.8,88.635,404812.0,59.4098,-41.6438,207.76,201.372,186.2215,212.562,211.074,206.9825,4.0915,2.7491,222.2713,193.2487,78.19,351505.3927,213.3444,211.1397,209.0952,1.082,1.16,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,-7.4,91.64,-,153.22,878318430.00,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,6837.07,18.54,144.7,-0.55,144.7,10.62,72726.0,61.7847,-48.7903,137.115,132.854,133.974,142.5243,141.2068,137.475,3.7318,2.5949,148.5555,125.6745,29.9,14448.0298,143.9733,142.4821,139.6195,1.2638,1.73,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,7.85,75.51,18.54,11.19,472500000.00,47250000
ACMELAB,The ACME Laboratories Limited,Pharmaceuticals & Chemicals,A,16737.69,7.03,79.1,-1.98,79.1,43.527,545278.0,63.0947,-45.9184,76.005,73.154,74.942,78.7992,78.1023,76.0236,2.0787,1.5263,82.1897,69.8203,68.8,586733.3411,79.5956,78.8038,77.3638,1.2147,4.42,1.154,0.265,0.680,-,0.098,0.068,0.422,0.042,0.091,-,-,11.48,126.37,7.03,6.60,2116017000.00,211601700
ACMEPL,Acme Pesticides Limited,Pharmaceuticals & Chemicals,B,2214.0,-,16.4,-2.38,16.4,21.382,1292785.0,52.1348,-55.1724,16.155,16.136,14.9335,16.5921,16.4997,16.237,0.2627,0.1833,17.404,14.906,462.32,-2284234.2965,16.7689,16.6667,16.3938,1.6281,0.01,4.414,0.100,2.581,-,-,-,0.016,-,-,-,-,-1.14,16.41,-,-,1350000000.00,135000000
ACTIVEFINE,Active Fine Chemicals Limited,Pharmaceuticals & Chemicals,Z,1583.58,60.91,6.6,-1.49,6.6,0.44,66602.0,63.7572,-47.619,5.99,5.896,7.5435,6.5133,6.3975,6.1164,0.2811,0.159,7.1396,4.8404,40.04,634414.9151,6.6844,6.5397,6.2519,1.4373,0.38,-,-,-,-,-,-,-,-,-,-,-,0.11,22.07,60.91,41.88,2399365800.00,239936580
ADNTEL,ADN Telecom Limited,IT Sector,A,4118.31,25.61,63.7,-2.45,63.7,26.269,405661.0,57.9797,-52.6316,61.64,58.854,66.619,63.3619,62.9378,61.3463,1.5915,1.4092,67.453,55.827,292.98,-543303.6376,63.6178,63.4538,62.8195,1.3356,1.57,2.057,-,2.048,0.146,0.164,0.100,0.385,0.047,0.074,-,-,2.55,32.82,25.61,25.91,646516660.00,64651666
ADVENT,Advent Pharma Limited,Pharmaceuticals & Chemicals,Z,1303.86,19.58,14.0,-0.71,14.0,1.37,97701.0,53.5405,-55.5556,13.845,13.532,14.2545,14.154,14.0934,13.8438,0.2496,0.2339,14.8554,12.8346,59.86,-249304.5996,14.2467,14.2282,14.0738,1.4841,0.36,1.282,0.005,0.926,-,0.265,0.147,0.399,0.045,0.057,-,-,0.72,16.43,19.58,29.38,931327320.00,93132732
AFCAGRO,AFC Agro Biotech Limited,Pharmaceuticals & Chemicals,Z,760.43,30.45,6.6,-1.49,6.6,0.325,48649.0,67.8171,-36.0,5.655,5.398,6.9005,6.3507,6.1893,5.7749,0.4144,0.2547,7.1196,4.1904,24.07,105486.5543,6.56,6.3679,5.9938,1.6773,0.76,5.609,-,4.057,-,0.066,0.036,0.232,0.010,0.012,-,-,0.22,18.19,30.45,29.56,1152162000.00,115216200
AFTABAUTO,Aftab Automobiles Limited,Engineering,Z,3198.01,-,30.3,-1.3,30.3,4.503,147610.0,37.4694,-54.0,31.12,32.462,33.168,30.8662,30.9482,31.4417,-0.4934,-0.5455,32.2223,30.0177,104.14,-87616.7595,30.8756,30.8962,30.949,1.262,3.30,1.931,2.289,1.802,-,-,-,0.254,-,-,-,-,-1.37,47.57,-,-,1055449950.00,105544995
AGNISYSL,Agni Systems PLC.,IT Sector,B,1559.96,26.91,21.5,-1.38,21.5,5.756,266225.0,53.5302,-50.0,21.27,21.012,24.099,21.4638,21.3932,21.2175,0.1756,0.1033,22.1993,20.3407,248.37,-957781.8224,21.5533,21.4359,21.3267,1.2834,1.16,4.147,-,4.091,0.135,0.140,0.123,0.318,0.059,0.069,-,-,0.81,16.95,26.91,19.12,725561920.00,72556192
AGRANINS,Agrani Insurance PLC.,Insurance,A,853.64,15.71,23.7,-2.07,23.7,1.071,44896.0,48.6125,-73.0769,24.31,23.008,24.2105,24.154,24.1372,23.8434,0.2938,0.3953,25.3839,23.2361,90.67,-79044.0735,24.1844,24.1372,24.2205,1.3988,2.53,-,-,-,-,-,-,-,-,-,-,-,1.54,19.81,15.71,121.00,360186980.00,36018698
AIBL1STIMF,AIBL 1st Islamic Mutual Fund,Mutual Funds,A,380.0,78.00,3.8,-2.56,3.8,0.771,202890.0,60.3651,-44.4444,3.55,3.448,4.654,3.7615,3.7132,3.5812,0.1321,0.0883,4.029,3.071,109.96,116735.3544,3.8311,3.7744,3.6586,0.8035,-,-,-,-,-,-,-,-,-,-,-,-,0.05,10.27,78.00,44.32,1000000000.00,100000000
AIBLPBOND,AIBL Mudaraba Perpetual Bond,Corporate Bond,A,344.9,-,3449.0,5.25,3449.0,0.003,1.0,29.1311,-88.9533,3400.45,3446.18,4224.2175,3705.6046,3818.3736,4127.9665,-309.5929,-207.6342,4404.7118,2396.1882,0.05,-0.778,3328.8,3341.9615,3372.119,0.0345,0.03,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,1000000.00,100000
AIL,Alif Industries Limited,Textile,Z,1353.22,11.95,27.8,-1.42,27.8,3.057,109006.0,38.0491,-66.6667,27.795,33.838,45.163,28.1899,28.2012,29.5218,-1.3206,-1.9171,29.6762,25.9138,175.4,-292243.9407,28.4111,28.1872,27.8995,1.1544,3.60,4.992,-,4.235,-,-,-,-,-,-,-,-,2.36,24.56,11.95,9.36,486768350.00,48676835
AL-HAJTEX,Al-Haj Textile Mills Limited,Textile,B,3054.9,13.72,137.0,-0.87,137.0,23.051,166800.0,52.5848,-42.4929,132.465,134.9,136.1575,138.2682,137.2701,135.0845,2.1856,1.0221,147.6804,117.2496,280.21,-21686.4656,140.2889,139.2897,135.6776,1.1203,0.36,1.616,-,1.134,-,-,-,-,-,-,-,-,10.07,18.52,13.72,13.72,222985490.00,22298549
ALARABANK,Al-Arafah Islami Bank PLC.,Bank,A,18427.07,23.94,16.0,1.27,16.0,6.893,427676.0,54.3711,-44.6429,15.035,15.006,16.9065,16.1816,16.0061,15.4006,0.6054,0.5047,18.9667,11.1033,22.51,-136257.3944,16.4689,16.5372,15.8857,0.6048,-,-,-,-,-,0.425,0.038,-,0.001,0.030,0.001,-,0.66,20.85,23.94,34.85,11516917130.00,1151691713
ALIF,Alif Manufacturing Company Ltd,Textile,Z,1117.69,13.64,4.4,-4.44,4.3,0.606,138405.0,56.0997,-53.8462,4.03,4.042,5.087,4.3272,4.2597,4.1142,0.1455,0.0658,4.7322,3.3278,30.04,26879.0213,4.4289,4.3308,4.1657,1.6421,2.33,15.328,-,13.723,-,-,-,-,-,-,-,-,0.33,15.15,13.64,21.09,2599270220.00,259927022
ALLTEX,Alltex Industries Limited,Textile,Z,811.54,-,14.5,-2.68,14.5,2.667,182443.0,56.2343,-59.375,14.07,13.708,12.3035,14.6063,14.4991,14.1348,0.3643,0.3005,15.4482,12.6918,144.57,-190401.6047,14.7911,14.6974,14.3905,1.4656,-,0.214,-,0.212,-,-,-,-,-,-,-,-,-0.18,24.77,-,186.25,559680000.00,55968000
