Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],VWMA [20],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),YCP,Change,Trade,Value (Turnover)(mn),Free Float,Institute Share %,Public Share %,Sponsor Director Share %,Govt. Share %,Foreign Share %,Stock Dividend,Cash Dividend,EPS,NAV(Year End),Last Dividend Date,Last AGM Date,Audited PE,Forward PE,PaidUp Capital,Quote Bases,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,985.74,-,3.4,0.0,3.4,4.288,1259046.0,65.0427,-33.3333,3.205,3.086,2.8575,3.3275,3.2954,3.2024,0.093,0.0662,3.4914,2.9186,128.27,690600.3032,3.3667,3.3269,3.2595,1.2675,0.0,-,-,-,-,-,-,-,-,-,-,-,-,3.40,0.00,194,4.2880,75.00%,28.78%,46.22%,25.00%,0.00%,0.00%,-,-,-2.24,7.54,15 Sep 2024,-,-,-,2899233490.00,A-MF,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,476.0,-,23.8,-3.64,23.8,32.53,1344601.0,56.9246,-52.5,23.365,20.736,19.894,24.2393,24.0155,22.8367,1.1788,1.242,26.2511,20.4789,1575.88,-591794.986,24.4778,24.4333,24.0233,0.9689,0.0,-,-,-,-,-,-,-,-,-,-,-,-,24.70,-0.90,"1,013",32.5300,98.00%,31.36%,66.63%,2.00%,0.00%,0.01%,-,-,-0.53,8.60,01 Feb 2026,-,-,12.60,200000000.00,A-MF,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1952.58,8.62,21.0,-0.94,21.0,10.256,486920.0,62.6063,-57.1429,20.46,18.316,17.942,21.0802,20.916,20.0509,0.8651,0.9115,22.1773,18.7427,120.81,-302862.2225,21.26,21.1897,20.8767,1.3653,0.0,4.76,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,21.20,-0.20,419,10.2560,66.96%,22.33%,44.63%,33.04%,0.00%,0.00%,-,10.00,2.46,37.01,29 Oct 2024,31 Dec 2024,8.62,20.65,929799120.00,Z-EQ,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,1119.44,-,17.2,-1.14,17.3,3.246,185441.0,60.7282,-36.5854,16.465,14.572,12.756,17.3765,17.193,16.2802,0.9128,0.9393,19.2289,13.7011,111.23,-274537.9777,17.6044,17.5821,17.1167,1.5364,0.0,0.58,1.988,-,1.236,-,-,-,0.200,-,-,-,-,17.50,-0.20,191,3.2460,69.99%,33.68%,36.31%,30.01%,0.00%,0.00%,-,-,0.00,0.00,-,-,-,-,647074420.00,Z-EQ,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,884.63,-,3.7,2.78,3.7,18.705,5054251.0,63.8918,-25.0,3.365,3.256,2.991,3.5466,3.5018,3.3847,0.1172,0.074,3.7717,2.9583,516.41,586730.782,3.6022,3.5462,3.4462,1.2211,0.0,-,-,-,-,-,-,-,-,-,-,-,-,3.60,0.10,480,18.7050,84.49%,13.20%,71.29%,15.51%,0.00%,0.00%,-,-,-1.37,8.69,25 Sep 2024,-,-,-,2390903960.00,A-MF,239090396
ABBANK,AB Bank PLC,Bank,Z,4388.9,-,4.9,0.0,4.9,4.054,814593.0,53.0546,-66.6667,4.91,4.658,5.0615,4.8894,4.8846,4.8503,0.0343,0.0399,5.0205,4.7995,23.32,-865239.8207,4.8867,4.8885,4.8995,1.7464,0.0,-,-,-,-,-,1.242,1.343,-,-,1.199,-,-,4.90,0.00,238,4.0540,80.48%,35.15%,44.79%,18.95%,0.57%,0.54%,-,-,-43.42,-36.24,03 May 2026,18 Jun 2026,-,-,8956947490.00,Z-EQ,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,6053.59,-,0.0,0.0,1060.0,0.0,0.0,63.0051,-25.0,1068.0,1047.2,0.0,1048.3281,1041.8432,1008.2701,33.5732,35.131,1136.8491,999.1509,11.5,4204.2088,1067.1111,1069.8718,1070.619,0.002,0.0,0.09,-,-,-,-,-,-,-,-,-,-,-,1060.00,0.00,0,0.0000,100.00%,94.73%,5.27%,0.00%,0.00%,0.00%,-,10.00,0.00,0.00,10 Dec 2025,-,-,-,57109360.00,A-CB,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,2399.83,115.24,23.8,-1.65,23.8,2.563,107267.0,55.2572,-52.7778,23.915,22.196,19.132,23.859,23.8468,23.4741,0.3727,0.5211,24.6917,23.1383,40.71,-107746.4789,23.8444,23.8487,23.8686,1.1875,0.0,4.20,2.961,-,1.970,-,-,-,-,-,-,-,-,24.20,-0.40,128,2.5630,50.42%,11.67%,38.65%,49.58%,0.00%,0.10%,-,10.00,0.21,33.63,27 Oct 2025,29 Dec 2025,115.24,259.29,1008333330.00,A-EQ,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,18260.24,-,207.9,2.31,207.9,72.924,349937.0,69.1375,-16.6667,198.01,193.274,193.7035,202.7315,201.6554,198.3865,3.2689,2.4441,209.2795,186.7405,20.21,20231.3685,203.5333,202.9718,200.821,1.1402,0.0,1.20,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,203.20,4.70,"1,803",72.9240,52.73%,34.59%,18.14%,47.27%,0.00%,0.00%,-,25.00,-7.40,91.64,29 Oct 2025,28 Dec 2025,-,-,878318430.00,A-EQ,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,8188.43,20.08,173.3,9.96,173.3,289.232,1685815.0,80.1812,0.0,151.235,145.244,138.138,157.6096,155.9555,151.3019,4.6536,3.211,165.5353,136.9347,86.39,602327.9514,158.1867,157.1013,154.4529,1.2819,0.0,1.44,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,157.60,15.70,"2,395",289.2320,33.98%,24.23%,9.75%,66.02%,0.00%,0.00%,-,25.00,7.85,75.51,29 Oct 2025,28 Dec 2025,20.08,14.31,472500000.00,A-EQ,47250000
