Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),EPS,NAV(Year End),Audited PE,Forward PE,PaidUp Capital,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,811.79,-,2.8,-3.45,2.8,4.767,1661940.0,56.8452,-44.4444,2.615,2.572,3.034,2.7745,2.7451,2.6494,0.0957,0.0763,3.093,2.137,106.35,-1111008.9668,2.8133,2.8051,2.7243,1.2184,-,-,-,-,-,-,-,-,-,-,-,-,-2.24,7.54,-,-,2899233490.00,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,386.0,-,0.0,0.0,19.3,0.0,0.0,44.8049,-60.8696,19.52,19.664,20.2755,19.5567,19.5673,19.5859,-0.0186,-0.004,20.0729,18.9671,547.15,-480288.8541,19.6022,19.609,19.5543,1.0487,-,-,-,-,-,-,-,-,-,-,-,-,-0.53,8.6,-,-,200000000.00,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1599.25,6.87,17.2,1.78,17.2,2.759,160487.0,55.3048,-34.6154,16.52,16.996,18.2015,16.9153,16.8563,16.7975,0.0588,-0.0431,17.7436,15.2964,44.48,-83411.5814,17.0378,16.991,16.7433,1.3376,5.81,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,2.46,37.01,6.87,16.46,929799120.00,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,789.43,-,12.2,0.0,12.2,0.823,66671.0,59.836,-52.1739,11.645,11.468,12.15,12.009,11.9412,11.7224,0.2188,0.1729,12.628,10.662,31.49,-206773.4453,12.1133,12.0667,11.8667,1.509,0.82,1.988,-,1.236,-,-,-,0.200,-,-,-,-,-0.12,21.73,-,-,647074420.00,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,693.36,-,2.9,0.0,2.9,9.105,3080204.0,57.6315,-44.4444,2.72,2.666,3.3235,2.8463,2.8229,2.7432,0.0796,0.0658,3.1335,2.3065,272.75,783434.2072,2.8867,2.8769,2.8048,1.2023,-,-,-,-,-,-,-,-,-,-,-,-,-1.37,8.69,-,-,2390903960.00,239090396
ABBANK,AB Bank PLC,Bank,B,5911.59,-,6.6,-2.94,6.6,32.3,4826789.0,70.6387,-25.8065,5.3,4.686,5.5805,6.249,6.0391,5.4101,0.629,0.4641,7.3896,3.2104,95.68,1507355.5614,6.5378,6.3321,5.8167,1.8182,-,-,-,-,-,1.575,1.647,-,-,-,-,-,-21.28,7.19,-,-,8956947490.00,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,5710.94,-,1000.0,0.0,1000.0,19.844,19844.0,69.847,0.0,1000.0,1000.0,0.0,947.3027,932.9173,909.8159,23.1014,2.3814,1143.3705,856.6295,4.17,-1326.4034,1000.0,1000.0,1000.0,0.0348,0.10,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,57109360.00,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,1815.0,86.19,18.0,-0.55,18.0,0.155,8600.0,54.3361,-45.4545,17.63,17.658,17.557,17.949,17.8873,17.7388,0.1485,0.0828,18.7082,16.5518,7.29,-29529.1688,18.0689,18.0167,17.8176,1.3301,5.56,2.447,-,1.271,-,-,-,-,-,-,-,-,0.21,33.63,86.19,100.56,1008333330.00,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,19120.99,-,217.7,-0.96,217.7,51.116,232479.0,59.8011,-36.4384,209.53,203.466,186.7395,215.5206,214.0583,209.3933,4.665,3.6491,226.0471,193.0129,77.54,181339.843,217.9867,215.5987,212.0467,1.0834,1.15,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,-7.4,91.64,-,150.55,878318430.00,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,6988.28,19.12,147.9,-1.47,147.9,12.268,82763.0,63.3492,-37.0833,139.165,134.114,134.1755,145.0772,143.768,139.5656,4.2024,3.3048,152.4969,125.8331,32.45,-11921.2836,146.74,145.5218,142.4267,1.2735,1.69,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,7.85,75.51,19.12,11.55,472500000.00,47250000
