Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),EPS,NAV(Year End),Audited PE,Forward PE,PaidUp Capital,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,782.79,-,2.7,0.0,2.7,4.322,1598806.0,61.5732,-20.0,2.43,2.53,3.057,2.5632,2.5324,2.4966,0.0358,-0.0149,2.7209,2.1391,68.7,199427.3873,2.5933,2.5449,2.4795,1.1735,-,-,-,-,-,-,-,-,-,-,-,-,-2.24,7.54,-,-,2899233490.00,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,390.0,-,19.5,0.0,19.5,6.234,317974.0,49.3968,-34.6154,19.52,19.51,20.241,19.4498,19.4676,19.5339,-0.0663,-0.0583,20.0334,19.0066,449.63,-319569.7004,19.4178,19.4026,19.461,1.0783,-,-,-,-,-,-,-,-,-,-,-,-,-0.53,8.6,-,-,200000000.00,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1580.66,6.63,17.0,4.29,17.0,5.971,356041.0,57.1531,-16.6667,16.37,17.086,18.3135,16.266,16.2834,16.5474,-0.2641,-0.3501,17.2138,15.5262,30.22,5914.3163,16.1778,16.1462,16.2367,1.3286,5.88,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,2.46,37.01,6.63,15.88,929799120.00,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,776.49,-,12.0,5.26,12.0,0.787,66462.0,64.6984,0.0,11.35,11.242,12.1925,11.4469,11.4144,11.3631,0.0512,0.0039,11.7578,10.9422,13.97,-6021.9919,11.4511,11.3923,11.3586,1.4953,0.83,1.988,-,1.236,-,-,-,0.200,-,-,-,-,-0.12,21.73,-,-,647074420.00,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,669.45,-,2.8,3.7,2.8,15.063,5472041.0,68.6069,-20.0,2.565,2.63,3.4045,2.6356,2.6178,2.601,0.0168,-0.0143,2.7275,2.4025,116.54,870533.2547,2.6444,2.6218,2.5905,1.1715,-,-,-,-,-,-,-,-,-,-,-,-,-1.37,8.69,-,-,2390903960.00,239090396
ABBANK,AB Bank PLC,Bank,B,4747.18,-,5.3,8.16,5.3,19.583,3701195.0,74.0007,0.0,4.415,4.338,5.5925,4.6769,4.6066,4.4667,0.1399,0.0514,4.9512,3.8788,33.37,3349052.8541,4.7133,4.6372,4.5186,1.7994,-,-,-,-,-,1.575,1.647,-,-,-,-,-,-21.28,7.19,-,-,8956947490.00,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,5710.94,-,0.0,0.0,1000.0,0.0,0.0,69.847,0.0,951.55,872.98,0.0,934.1283,920.7205,902.6012,18.1193,-2.7986,1082.6367,820.4633,0.02,-1609.0983,960.0,957.6923,955.0405,0.041,0.10,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,57109360.00,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,1794.83,81.43,17.8,4.09,17.8,1.165,65816.0,57.6998,-33.3333,17.25,17.764,17.481,17.3,17.2951,17.401,-0.1059,-0.1665,17.7377,16.7623,3.76,-13720.1917,17.2667,17.2692,17.2733,1.3038,5.62,2.447,-,1.271,-,-,-,-,-,-,-,-,0.21,33.63,81.43,95.00,1008333330.00,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,17785.95,-,202.5,2.32,202.5,42.509,211819.0,50.5762,-51.8072,206.04,197.738,185.715,202.1985,202.8254,202.2898,0.5357,2.1645,215.1354,196.9446,58.95,-129384.174,201.4244,202.4859,204.3252,1.0733,1.23,0.689,0.811,0.402,-,0.053,-,0.239,-,-,-,-,-7.4,91.64,-,135.55,878318430.00,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,6629.18,17.40,140.3,2.71,140.3,10.222,73810.0,66.9718,-6.3636,134.25,131.252,133.669,135.6805,135.1421,133.5571,1.585,1.1484,139.0075,129.4925,17.0,3268.9418,135.9867,135.3859,134.7214,1.2728,1.78,1.224,-,0.908,-,0.118,0.066,0.289,0.043,0.100,-,-,7.85,75.51,17.40,10.51,472500000.00,47250000
ACMELAB,The ACME Laboratories Limited,Pharmaceuticals & Chemicals,A,16124.05,6.55,76.2,1.33,76.2,20.96,275619.0,68.084,-2.8571,73.91,72.31,74.749,74.8369,74.594,73.7462,0.8479,0.7136,76.1884,71.6316,19.2,-116593.7436,75.0556,74.8808,74.4486,1.2002,4.59,1.108,0.270,0.711,-,0.111,0.077,0.415,0.044,0.098,-,-,11.48,126.37,6.55,6.15,2116017000.00,211601700
ACMEPL,Acme Pesticides Limited,Pharmaceuticals & Chemicals,B,2254.5,-,16.7,-1.18,16.7,50.398,3005340.0,59.5628,-30.4348,15.8,16.184,14.851,16.1658,16.0759,15.9424,0.1335,-0.0011,16.7015,14.8985,389.22,-157053.694,16.2156,16.0897,15.9471,1.6409,0.01,4.414,0.100,2.581,-,-,-,0.016,-,-,-,-,-1.14,16.41,-,-,1350000000.00,135000000
ACTIVEFINE,Active Fine Chemicals Limited,Pharmaceuticals & Chemicals,Z,1535.59,57.27,6.5,1.59,6.4,3.343,518019.0,70.989,-18.1818,5.66,5.838,7.5775,5.9054,5.8429,5.7755,0.0674,-0.0382,6.1685,5.1515,30.2,1136094.843,5.9333,5.8551,5.7519,1.43,0.39,-,-,-,-,-,-,-,-,-,-,-,0.11,22.07,57.27,39.38,2399365800.00,239936580
ADNTEL,ADN Telecom Limited,IT Sector,A,4027.8,24.24,62.3,0.81,62.3,37.822,605425.0,57.6996,-35.6436,59.6,58.46,67.057,61.8462,61.4425,60.0768,1.3656,1.1216,66.3055,52.8945,240.37,-134607.124,62.5,62.3603,61.0995,1.3622,1.61,2.057,-,2.048,0.146,0.164,0.100,0.385,0.047,0.074,-,-,2.55,32.82,24.24,24.52,646516660.00,64651666
