Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),EPS,NAV(Year End),Audited PE,Forward PE,PaidUp Capital,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,666.82,-,2.3,0.0,2.3,0.314,136205.0,40.8172,-100.0,2.405,2.532,3.1025,2.3416,2.3585,2.4295,-0.071,-0.0672,2.5824,2.2276,40.89,-681077.2847,2.3289,2.3372,2.3652,1.163,-,-,-,-,-,-,-,-,-,-,-,-,-2.24,7.54,-,-,2899233490.00,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,384.0,-,19.2,-1.03,19.2,6.021,315028.0,43.8069,-46.1538,19.795,19.412,20.2665,19.5135,19.5667,19.6264,-0.0597,0.029,20.6811,18.9089,538.93,-258096.7532,19.4778,19.5308,19.6481,1.109,-,-,-,-,-,-,-,-,-,-,-,-,-3.45,9.13,-,30.96,200000000.00,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1487.68,6.59,16.2,-1.23,16.0,1.577,98980.0,34.7967,-81.25,16.79,17.274,18.5275,16.3783,16.483,16.8482,-0.3652,-0.3072,17.7674,15.8126,30.63,-78322.7519,16.2978,16.3782,16.551,1.305,6.25,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,2.46,37.01,6.59,15.78,929799120.00,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,731.19,-,11.2,1.8,11.3,0.413,36618.0,49.6531,-70.0,11.45,11.182,12.2965,11.2639,11.2892,11.3142,-0.0249,0.0189,12.0707,10.8293,18.46,-64370.021,11.2356,11.2654,11.3281,1.4695,0.88,1.988,-,1.236,-,-,-,0.200,-,-,-,-,-0.12,21.73,-,-,647074420.00,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,597.73,-,2.5,0.0,2.5,1.512,604822.0,42.2483,-66.6667,2.555,2.644,3.491,2.5276,2.5345,2.5726,-0.038,-0.0407,2.6923,2.4177,82.5,-648374.1615,2.5222,2.5282,2.5343,1.1533,-,-,-,-,-,-,-,-,-,-,-,-,-1.37,8.69,-,-,2390903960.00,239090396
ABBANK,AB Bank PLC,Bank,B,3851.49,-,4.3,-2.27,4.3,2.419,560301.0,49.7725,-50.0,4.305,4.336,5.6755,4.3039,4.2988,4.3025,-0.0036,-0.0165,4.4568,4.1532,28.32,41074.85,4.3067,4.3013,4.2952,1.7524,-,-,-,-,-,1.575,1.647,-,-,-,-,-,-21.28,7.19,-,-,8956947490.00,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,5710.94,-,0.0,0.0,1000.0,0.0,0.0,69.847,0.0,951.55,872.98,0.0,934.1283,920.7205,902.6012,18.1193,-2.7986,1082.6367,820.4633,0.02,-1609.0983,960.0,957.6923,955.0405,0.041,0.10,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,57109360.00,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,1734.33,83.33,17.4,-1.71,17.2,0.252,14596.0,42.9221,-68.75,17.355,18.046,17.486,17.3391,17.3521,17.517,-0.1649,-0.2139,17.9514,16.7586,4.54,-14878.5651,17.3489,17.3372,17.3071,1.3012,5.81,2.447,-,1.271,-,-,-,-,-,-,-,-,0.21,33.63,83.33,97.22,1008333330.00,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,18260.24,-,207.9,0.24,207.9,27.413,131977.0,61.4217,-42.4084,205.06,194.19,185.7625,207.1616,206.627,202.8046,3.8224,4.4471,215.3135,194.8065,51.35,-51845.7066,207.3644,207.7513,206.9219,1.0555,1.20,0.689,0.811,0.402,-,0.053,-,0.239,-,-,-,-,-7.4,91.64,-,132.95,878318430.00,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,6293.7,16.93,133.0,0.23,133.2,3.819,28639.0,54.5087,-53.7736,132.075,129.958,133.661,132.9037,132.7583,131.8884,0.8698,0.9598,137.2814,126.8686,12.75,-14417.123,132.8822,133.2359,132.8619,1.2523,1.88,1.224,-,0.908,-,0.118,0.066,0.289,0.043,0.100,-,-,7.85,75.51,16.93,17.96,472500000.00,47250000
