Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI[14],Willams %R[14],SMA[20],SMA[50],SMA[200],EMA[9],EMA[12],EMA[26],"MACD[12,26]",MACD Signal[9],"BB Upper[20,2]","BB Lower[20,2]",TV[22],"CO[3,10]",WMA[9],WMA[12],WMA[20],Beta[5],VWMA[20],VWMA[50],VWMA[200],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),YCP,Change,Trade,Value (Turnover)(mn),Free Float,Institute Share %,Public Share %,Sponsor Director Share %,Govt. Share %,Foreign Share %,Stock Dividend,Cash Dividend,EPS,NAV(Year End),Last Dividend Date,Last AGM Date,Audited PE,Forward PE,PaidUp Capital,Quote Bases,Total Shares
APSCLBOND,APSCL Non-Convertible and Fully Redeemable Coupon Bearing Bond,Corporate Bond,A,222.40,-,0.00,0.00,1112.00,0.0000,0,32.6942,-52.0000,1108.4250,1136.2100,1798.9025,1114.4962,1126.3890,1263.1182,-136.7292,-174.9550,1200.2832,1016.5668,0.0500,364.1449,1102.4778,1102.3718,1105.1667,0.2505,0.0000,0.0000,0.0000,0.05,-,-,-,-,-,-,-,-,-,-,-,1112.00,0.00,0,0.0000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-,5.25,0.00,0.00,11 Jun 2026,-,-,-,2000000.00,A-CB,200000
ARAMIT,Aramit Limited,Miscellaneous,A,1332.60,101.91,222.10,4.27,222.10,22.0390,"99,900",63.7677,-36.3380,207.9550,201.6800,184.2805,211.7288,210.5296,207.0386,3.4910,2.5004,218.3682,197.5418,95.3400,37680.1297,212.0911,210.6333,209.0386,1.0090,0.0000,0.0000,0.0000,0.45,3.153,-,2.395,0.057,0.063,0.046,0.073,0.009,0.014,-,-,213.00,9.10,789,22.0390,39.27%,13.57%,25.70%,60.73%,0.00%,0.00%,-,10.00,1.75,128.67,01 Jan 2026,04 Mar 2026,101.91,-,60000000.00,A-EQ,6000000
ARAMITCEM,Aramit Cement Limited,Cement,Z,430.28,-,12.80,-1.55,12.70,0.2280,"17,895",51.5765,-62.5000,12.6400,12.3460,10.9360,12.8500,12.8047,12.6004,0.2044,0.2011,13.3753,11.9047,39.4300,18866.2252,12.9378,12.9026,12.7700,1.3824,0.0000,0.0000,0.0000,-,2.410,-,2.363,-,-,-,-,-,0.766,-,-,12.90,-0.20,60,0.2280,54.08%,9.99%,44.09%,45.92%,0.00%,0.00%,-,-,-14.47,-18.90,17 Nov 2024,30 Dec 2024,-,-,338800000.00,Z-EQ,33880000
ARGONDENIM,Argon Denims Limited,Textile,A,3194.44,13.51,23.00,1.32,23.00,75.1320,"3,227,588",52.2777,-87.8788,23.2350,21.3120,18.4910,23.3713,23.3532,22.7592,0.5941,0.8339,26.2257,20.2443,776.1800,-1701428.9875,23.3333,23.4782,23.5695,1.2090,0.0000,0.0000,0.0000,4.35,1.703,-,0.950,-,-,-,-,-,-,-,-,22.70,0.30,"1,187",75.1320,64.13%,34.56%,29.57%,35.87%,0.00%,0.00%,-,10.00,1.68,24.57,23 Oct 2025,18 Dec 2025,13.51,18.92,1388886060.00,A-EQ,138888606
ASIAINS,Asia Insurance PLC.,Insurance,A,2042.83,21.77,43.40,-4.62,43.40,35.7950,"796,150",47.6196,-76.9231,43.7700,43.5380,36.3950,44.8373,44.6769,44.0511,0.6258,0.5681,46.9871,40.5529,347.1900,-288495.8325,45.1289,45.0256,44.4767,1.6057,0.0000,0.0000,0.0000,2.30,-,-,-,-,-,-,-,-,-,-,-,45.50,-2.10,"1,112",35.7950,62.12%,10.77%,51.35%,37.88%,0.00%,0.00%,-,10.00,2.09,30.55,23 Apr 2026,29 Jun 2026,21.77,27.08,470698580.00,A-EQ,47069858
ASIAPACINS,Asia Pacific General Insurance PLC,Insurance,A,2147.15,21.24,50.70,-4.88,50.70,37.9700,"721,266",53.7784,-43.8596,49.3700,47.4560,38.5480,52.1947,51.7374,49.8055,1.9319,1.8368,58.1045,40.6355,425.7900,-952569.7272,52.8489,52.8333,51.4286,1.4081,0.0000,0.0000,0.0000,2.76,-,-,-,-,-,-,-,-,-,-,-,53.30,-2.60,"1,065",37.9700,66.39%,32.27%,34.12%,33.61%,0.00%,0.00%,-,14.00,2.51,25.29,03 May 2026,09 Jul 2026,21.24,12.17,423500000.00,A-EQ,42350000
ASIATICLAB,Asiatic Laboratories Limited,Pharmaceuticals & Chemicals,A,14307.79,96.61,116.90,-2.42,116.90,85.5510,"707,444",41.2840,-62.1622,120.8800,126.6640,85.0045,118.6147,119.2634,122.2347,-2.9713,-2.9448,130.2443,111.5157,175.0900,11522.2324,117.8911,117.7397,119.0110,0.9386,0.0000,0.0000,0.0000,0.86,4.084,0.157,2.848,-,0.308,0.145,0.434,0.029,0.039,-,-,119.80,-2.90,"1,534",85.5510,59.29%,15.81%,43.48%,40.71%,0.00%,0.00%,-,10.00,2.09,54.08,02 Nov 2025,24 Dec 2025,96.61,22.63,1223934550.00,A-EQ,122393455
ATLASBANG,Atlas Bangladesh Limited,Engineering,Z,2905.25,-,87.70,0.34,87.70,1.1980,"13,485",45.0305,-79.8507,92.5200,83.8080,65.8715,90.2089,90.6888,89.8193,0.8696,2.3327,97.6955,87.3445,17.2400,-16039.8921,89.7267,90.5551,91.6157,0.9906,0.0000,0.0000,0.0000,-,1.732,0.001,1.667,-,-,-,-,-,-,-,-,87.40,0.30,244,1.1980,49.00%,16.99%,32.01%,0.00%,51.00%,0.00%,-,-,-1.23,121.00,06 Nov 2025,24 Dec 2025,-,-,331271080.00,Z-EQ,33127108
AZIZPIPES,Aziz Pipes Limited,Engineering,Z,437.39,-,81.70,1.36,81.80,3.1760,"38,990",60.3374,-21.1538,78.5700,76.8120,55.5360,80.8333,80.4475,78.7196,1.7280,1.6938,85.7566,71.3834,163.8400,-6576.0829,81.3089,81.3692,80.1229,1.3912,0.0000,0.0000,0.0000,-,0.259,-,0.182,-,-,-,-,-,0.214,-,-,80.70,1.10,267,3.1760,88.84%,15.54%,73.30%,11.16%,0.00%,0.00%,-,-,-10.12,-47.37,28 Oct 2025,30 Dec 2025,-,-,53471250.00,Z-EQ,5347125
BANGAS,Bangas Limited,Food & Allied,B,1020.18,482.50,133.80,-0.96,133.80,15.8780,"117,988",41.5270,-91.5789,136.8450,136.5440,125.3690,136.6112,136.7794,136.9179,-0.1385,0.1658,140.0637,133.6263,289.5400,-144030.5985,136.8667,136.8731,136.8514,1.1970,0.0000,0.0000,0.0000,0.22,2.236,-,1.692,0.020,0.021,0.011,0.200,0.009,0.013,-,-,135.10,-1.30,679,15.8780,76.96%,5.28%,71.59%,23.04%,0.00%,0.09%,-,3.00,0.28,21.02,29 Sep 2025,12 Nov 2025,482.50,675.50,76246430.00,B-EQ,7624643
