Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],VWMA [20],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),YCP,Change,Trade,Value (Turnover)(mn),Free Float,Institute Share %,Public Share %,Sponsor Director Share %,Govt. Share %,Foreign Share %,Stock Dividend,Cash Dividend,EPS,NAV(Year End),Last Dividend Date,Last AGM Date,Audited PE,Forward PE,PaidUp Capital,Quote Bases,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,985.74,-,3.4,0.0,3.4,9.256,2718802.0,65.0427,-33.3333,3.185,3.08,2.8565,3.3094,3.2764,3.1866,0.0898,0.0595,3.4699,2.9001,128.53,1373283.088,3.3422,3.3013,3.239,1.269,0.0,-,-,-,-,-,-,-,-,-,-,-,-,3.40,0.00,244,9.2560,75.00%,28.78%,46.22%,25.00%,0.00%,0.00%,-,-,-2.24,7.54,15 Sep 2024,-,-,-,2899233490.00,A-MF,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,494.0,-,24.7,-0.4,24.7,19.398,781006.0,64.0831,-28.5714,23.205,20.648,19.889,24.3491,24.0546,22.7596,1.295,1.2578,26.3341,20.0759,1533.08,-280519.9215,24.6067,24.5128,23.9667,0.9709,0.0,-,-,-,-,-,-,-,-,-,-,-,-,24.80,-0.10,644,19.3980,98.00%,31.36%,66.63%,2.00%,0.00%,0.01%,-,-,-0.53,8.60,01 Feb 2026,-,-,12.65,200000000.00,A-MF,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1971.17,8.74,21.2,-1.4,21.2,11.006,518235.0,65.6641,-48.6486,20.33,18.218,17.9455,21.1003,20.9007,19.975,0.9257,0.9232,22.2561,18.4039,120.18,-193955.1267,21.2933,21.1897,20.8129,1.3666,0.0,4.72,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,21.50,-0.30,603,11.0060,66.96%,22.33%,44.63%,33.04%,0.00%,0.00%,-,10.00,2.46,37.01,29 Oct 2024,31 Dec 2024,8.74,20.94,929799120.00,Z-EQ,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,1132.38,-,17.5,-1.69,17.5,4.175,238093.0,63.0625,-29.5455,16.34,14.484,12.74,17.3956,17.1735,16.1986,0.975,0.946,19.1702,13.5098,110.57,-250034.3086,17.6778,17.5974,17.0252,1.5383,0.0,0.57,1.988,-,1.236,-,-,-,0.200,-,-,-,-,17.80,-0.30,263,4.1750,69.99%,33.68%,36.31%,30.01%,0.00%,0.00%,-,-,0.00,0.00,-,-,-,-,647074420.00,Z-EQ,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,860.73,-,3.6,0.0,3.6,16.819,4660966.0,60.7303,-37.5,3.34,3.246,2.989,3.5082,3.4658,3.3594,0.1064,0.0632,3.7206,2.9594,517.49,1239362.4836,3.5556,3.5013,3.4119,1.2228,0.0,-,-,-,-,-,-,-,-,-,-,-,-,3.60,0.00,346,16.8190,84.49%,13.20%,71.29%,15.51%,0.00%,0.00%,-,-,-1.37,8.69,25 Sep 2024,-,-,-,2390903960.00,A-MF,239090396
ABBANK,AB Bank PLC,Bank,Z,4388.9,-,5.0,0.0,4.9,4.36,877325.0,53.0546,-66.6667,4.915,4.67,5.0655,4.8868,4.8818,4.8463,0.0355,0.0413,5.0324,4.7976,24.22,-545764.9014,4.8822,4.8885,4.901,1.7459,0.0,-,-,-,-,-,1.242,1.343,-,-,1.199,-,-,4.90,0.00,206,4.3600,80.48%,35.15%,44.79%,18.95%,0.57%,0.54%,-,-,-43.42,-36.24,03 May 2026,18 Jun 2026,-,-,8956947490.00,Z-EQ,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,6053.59,-,0.0,0.0,1060.0,0.0,0.0,63.0051,-25.0,1068.0,1047.2,0.0,1048.3281,1041.8432,1008.2701,33.5732,35.131,1136.8491,999.1509,11.5,4204.2088,1067.1111,1069.8718,1070.619,0.002,0.0,0.09,-,-,-,-,-,-,-,-,-,-,-,1060.00,0.00,0,0.0000,100.00%,94.73%,5.27%,0.00%,0.00%,0.00%,-,10.00,0.00,0.00,10 Dec 2025,-,-,-,57109360.00,A-CB,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,2440.17,112.38,24.2,2.54,24.2,4.97,205719.0,61.8364,-41.6667,23.93,22.084,19.111,23.8738,23.8553,23.448,0.4073,0.5583,24.7089,23.1511,40.47,-104398.2812,23.8533,23.8615,23.881,1.187,0.0,4.13,2.961,-,1.970,-,-,-,-,-,-,-,-,23.60,0.60,204,4.9700,50.42%,11.67%,38.65%,49.58%,0.00%,0.10%,-,10.00,0.21,33.63,27 Oct 2025,29 Dec 2025,112.38,252.86,1008333330.00,A-EQ,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,17847.43,-,203.2,-0.25,203.2,11.778,57904.0,62.673,-21.4286,197.135,193.18,193.582,201.4393,200.5201,197.6255,2.8946,2.238,207.8764,186.3936,16.62,28526.7299,202.3022,201.9333,199.7957,1.1392,0.0,1.23,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,203.70,-0.50,393,11.7780,52.73%,34.59%,18.14%,47.27%,0.00%,0.00%,-,25.00,-7.40,91.64,29 Oct 2025,28 Dec 2025,-,-,878318430.00,A-EQ,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,7446.6,19.61,157.6,2.4,157.6,29.163,186855.0,67.1907,-4.8276,149.71,144.624,137.995,153.687,152.802,149.5421,3.2599,2.8504,160.0631,139.3569,49.5,52857.2049,154.3067,154.0474,152.2062,1.2774,0.0,1.59,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,153.90,3.70,760,29.1630,33.98%,24.23%,9.75%,66.02%,0.00%,0.00%,-,25.00,7.85,75.51,29 Oct 2025,28 Dec 2025,19.61,13.97,472500000.00,A-EQ,47250000
