Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),EPS,NAV(Year End),Audited PE,Forward PE,PaidUp Capital,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,869.77,-,3.0,-3.23,3.0,2.318,755016.0,48.7121,-100.0,3.065,2.954,2.9325,3.0465,3.0507,3.0312,0.0195,0.0381,3.1992,2.9308,140.86,-636339.0301,3.0422,3.0436,3.0533,1.2576,-,-,-,-,-,-,-,-,-,-,-,-,-2.24,7.54,-,-,2899233490.00,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,384.0,-,19.2,-1.03,19.2,8.291,427662.0,52.1238,-55.5556,18.79,18.776,20.1535,19.2848,19.2134,18.9615,0.2519,0.2136,20.6604,16.9196,761.07,-490818.5624,19.3889,19.4179,19.1662,0.9559,-,-,-,-,-,-,-,-,-,-,-,-,-0.53,8.6,-,-,200000000.00,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1478.38,6.54,16.0,-1.24,15.9,2.557,159887.0,40.6398,-100.0,16.405,16.614,18.119,16.3365,16.3759,16.466,-0.0902,-0.0461,16.9943,15.8157,64.09,-304595.946,16.3644,16.3987,16.3943,1.3387,6.29,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,2.46,37.01,6.54,15.68,929799120.00,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,821.78,-,12.7,-1.55,12.7,1.599,125393.0,44.3975,-95.2381,13.115,12.852,12.3815,13.0346,13.0768,13.0823,-0.0055,0.0845,13.6146,12.6154,39.26,-108324.1726,13.0378,13.0705,13.0995,1.5297,0.79,1.988,-,1.236,-,-,-,0.200,-,-,-,-,-0.12,21.73,-,-,647074420.00,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,765.09,-,3.2,0.0,3.2,2.831,893074.0,48.2782,-80.0,3.305,3.132,3.0755,3.2251,3.2423,3.2384,0.0039,0.0436,3.5248,3.0852,583.76,-2679069.2332,3.1978,3.2218,3.2662,1.2348,-,-,-,-,-,-,-,-,-,-,-,-,-1.37,8.69,-,-,2390903960.00,239090396
ABBANK,AB Bank PLC,Bank,B,4747.18,-,5.3,-3.64,5.3,7.347,1368438.0,35.9536,-100.0,5.785,6.144,5.519,5.6106,5.6685,5.8202,-0.1517,-0.096,6.2451,5.3249,55.34,-2139107.6172,5.5689,5.6205,5.721,1.7934,-,-,-,-,-,1.575,1.647,-,-,-,-,-,-21.28,7.19,-,-,8956947490.00,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,5996.48,-,0.0,0.0,1050.0,0.0,0.0,70.3099,0.0,1032.5,1010.5,0.0,1029.6452,1019.1351,980.8248,38.3103,33.2576,1116.4231,948.5769,27.81,-98.8014,1050.0,1050.0,1043.3333,0.0353,0.10,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,57109360.00,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,1845.25,86.67,18.4,0.55,18.3,3.396,186332.0,55.7171,-42.1053,18.055,17.866,18.1025,18.1797,18.151,18.0208,0.1302,0.1286,18.5114,17.5986,13.34,-69235.2467,18.2133,18.2026,18.139,1.1799,5.46,2.961,-,1.970,-,-,-,-,-,-,-,-,0.21,33.63,86.67,195.00,1008333330.00,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,17021.81,-,193.8,-4.63,193.8,31.024,158307.0,36.7256,-94.2857,203.67,207.958,193.872,202.2484,202.8736,204.3343,-1.4607,-0.7752,213.0228,194.3172,27.69,-99904.2614,202.0444,202.8013,203.8624,1.1031,1.29,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,-7.4,91.64,-,139.18,878318430.00,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,6657.53,18.13,141.8,-0.98,140.9,6.02,42656.0,48.9842,-84.153,141.12,141.842,137.2875,142.6591,142.4602,141.5527,0.9075,0.8978,148.8053,133.4347,24.67,-22015.3248,143.4067,143.2013,142.3567,1.2332,1.77,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,7.85,75.51,18.13,10.95,472500000.00,47250000
