Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),EPS,NAV(Year End),Audited PE,Forward PE,PaidUp Capital,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,811.79,-,2.8,7.69,2.8,4.775,1761898,58.4342,-33.3333,2.57,2.726,3.211,2.621,2.6121,2.6283,-0.0162,-0.0435,2.8383,2.3017,45.05,611002.6061,2.6133,2.609,2.6038,1.1483,-,-,-,-,-,-,-,-,-,-,-,-,-2.24,7.54,-,-,2899233490.00,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,380.0,-,19.0,2.15,19.0,4.853,256963,51.3341,-50.0,18.52,19.522,20.379,18.6646,18.6556,18.8448,-0.1892,-0.298,19.8252,17.2148,430.08,-45315.5423,18.6133,18.6295,18.6581,1.0763,-,-,-,-,-,-,-,-,-,-,-,-,-3.45,9.13,-,29.68,200000000.00,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1673.64,7.32,18.0,0.0,18.0,1.078,59555,50.2243,-64.0,17.47,18.792,19.555,17.8637,17.822,17.9591,-0.137,-0.2929,18.8962,16.0438,27.13,-70148.2564,17.9022,17.8603,17.7514,1.251,5.56,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,2.46,37.01,7.32,17.53,929799120.00,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,744.14,-,11.5,-1.71,11.5,0.233,20329,55.244,-33.3333,10.865,11.614,12.913,11.1118,11.0596,11.1333,-0.0737,-0.2228,11.7969,9.9331,14.92,40865.6013,11.0978,11.0423,10.9938,1.4106,0.87,1.988,-,1.236,-,-,-,0.200,-,-,-,-,-0.12,21.73,-,-,647074420.00,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,669.45,-,2.8,0.0,2.8,1.925,687265,52.9685,-66.6667,2.705,2.822,3.6135,2.7404,2.7341,2.7471,-0.013,-0.0329,2.9839,2.4261,192.31,365192.33,2.7311,2.7295,2.7338,1.1025,-,-,-,-,-,-,-,-,-,-,-,-,-1.37,8.69,-,-,2390903960.00,239090396
ABBANK,AB Bank PLC,Bank,B,4030.63,-,4.5,2.27,4.5,9.81,2251703,49.8013,-63.6364,4.39,4.832,6.1755,4.3795,4.3876,4.4962,-0.1086,-0.1418,5.1094,3.6706,45.96,-95401.495,4.3378,4.3423,4.4129,1.7299,-,-,-,-,-,1.575,1.647,-,-,-,-,-,-21.28,7.19,-,-,8956947490.00,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,5710.94,-,0.0,0.0,1000.0,0.0,0,69.847,0.0,951.55,872.98,0.0,934.1283,920.7205,902.6012,18.1193,-2.7986,1082.6367,820.4633,0.02,-1609.0983,960.0,957.6923,955.0405,0.041,0.10,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,57109360.00,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,1835.17,-,18.2,0.0,18.2,0.151,8306,44.0918,-76.6667,18.815,18.538,17.552,18.3776,18.4644,18.5988,-0.1343,-0.0068,20.2977,17.3323,24.34,-37040.9783,18.18,18.3872,18.6871,1.1944,5.49,2.447,-,1.271,-,-,-,-,-,-,-,-,0.21,33.63,-,41.36,1008333330.00,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,17408.27,-,198.2,4.59,198.2,38.254,195475,75.134,-4.0293,181.235,177.888,179.7345,186.7454,185.2731,181.916,3.357,1.7034,192.2701,170.1999,14.35,67354.0322,187.6867,186.1731,183.3462,1.0064,1.26,0.689,0.811,0.402,-,0.053,-,0.239,-,-,-,-,-7.4,91.64,-,121.47,878318430.00,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,6227.55,18.72,131.8,2.33,131.8,4.431,33905,55.7525,-41.6244,127.3,131.108,132.924,128.8155,128.6281,129.1599,-0.5318,-1.1935,134.4982,120.1018,12.11,4430.3429,128.6622,128.7462,128.3671,1.1963,1.90,1.224,-,0.908,-,0.118,0.066,0.289,0.043,0.100,-,-,7.85,75.51,18.72,17.41,472500000.00,47250000
