Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),EPS,NAV(Year End),Audited PE,Forward PE,PaidUp Capital,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,753.8,-,2.6,-3.7,2.6,3.667,1360512.0,57.3826,-40.0,2.405,2.534,3.066,2.4863,2.466,2.4628,0.0032,-0.0398,2.6342,2.1758,63.78,-373323.9327,2.4933,2.4603,2.4243,1.1725,-,-,-,-,-,-,-,-,-,-,-,-,-2.24,7.54,-,-,2899233490.00,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,386.0,-,19.3,-1.53,19.3,4.479,230358.0,46.2919,-42.3077,19.55,19.514,20.242,19.4215,19.4548,19.5396,-0.0848,-0.0516,20.1063,18.9937,482.96,-304355.6566,19.36,19.3795,19.47,1.0963,-,-,-,-,-,-,-,-,-,-,-,-,-0.53,8.6,-,-,200000000.00,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1478.38,6.46,15.9,0.0,15.9,0.681,42844.0,36.0956,-77.7778,16.395,17.146,18.3675,16.0281,16.1263,16.5281,-0.4018,-0.375,17.257,15.533,29.99,-132199.0882,15.9111,15.9821,16.1852,1.3206,6.29,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,2.46,37.01,6.46,15.49,929799120.00,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,731.19,-,11.3,-0.88,11.3,0.621,54992.0,49.8413,-57.1429,11.3,11.224,12.218,11.2857,11.2911,11.3052,-0.014,-0.0088,11.5753,11.0247,13.49,-35516.8865,11.2667,11.2577,11.2833,1.4854,0.88,1.988,-,1.236,-,-,-,0.200,-,-,-,-,-0.12,21.73,-,-,647074420.00,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,621.64,-,2.6,0.0,2.6,3.105,1187357.0,52.7141,-33.3333,2.54,2.638,3.43,2.5681,2.5637,2.5759,-0.0122,-0.0275,2.6405,2.4395,100.27,162255.994,2.5711,2.5603,2.5514,1.155,-,-,-,-,-,-,-,-,-,-,-,-,-1.37,8.69,-,-,2390903960.00,239090396
ABBANK,AB Bank PLC,Bank,B,4030.63,-,4.5,2.27,4.5,4.699,1050644.0,55.8822,-50.0,4.335,4.328,5.6115,4.4264,4.4043,4.36,0.0442,0.0165,4.5623,4.1077,27.94,-62365.5419,4.4511,4.4218,4.3757,1.7746,-,-,-,-,-,1.575,1.647,-,-,-,-,-,-21.28,7.19,-,-,8956947490.00,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,5710.94,-,0.0,0.0,1000.0,0.0,0.0,69.847,0.0,951.55,872.98,0.0,934.1283,920.7205,902.6012,18.1193,-2.7986,1082.6367,820.4633,0.02,-1609.0983,960.0,957.6923,955.0405,0.041,0.10,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,57109360.00,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,1724.25,81.43,17.1,0.0,17.1,0.14,8169.0,42.993,-80.0,17.21,17.858,17.4785,17.1937,17.222,17.3906,-0.1686,-0.1856,17.635,16.785,3.84,-20496.465,17.1778,17.2,17.2281,1.3043,5.85,2.447,-,1.271,-,-,-,-,-,-,-,-,0.21,33.63,81.43,95.00,1008333330.00,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,17109.64,-,194.8,-2.36,194.8,26.884,136908.0,36.4461,-98.4615,205.895,196.782,185.749,203.179,203.7909,202.6228,1.1681,3.0617,215.308,196.482,61.65,-190061.5441,203.0178,203.9795,205.4029,1.0647,1.28,0.689,0.811,0.402,-,0.053,-,0.239,-,-,-,-,-7.4,91.64,-,136.64,878318430.00,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,6312.6,17.20,133.6,-1.04,133.6,3.615,27017.0,52.8368,-58.6207,133.31,130.896,133.632,134.007,133.7687,132.7311,1.0376,1.0025,137.9584,128.6616,16.17,-25167.4871,134.2,133.8872,133.7752,1.2674,1.87,1.224,-,0.908,-,0.118,0.066,0.289,0.043,0.100,-,-,7.85,75.51,17.20,10.38,472500000.00,47250000
ACMELAB,The ACME Laboratories Limited,Pharmaceuticals & Chemicals,A,15658.53,6.47,74.0,-0.4,74.0,20.689,279158.0,55.3717,-61.2903,73.52,72.248,74.737,74.3201,74.1388,73.4178,0.7209,0.662,75.7505,71.2895,18.3,-227418.8182,74.5822,74.4333,74.049,1.2021,4.73,1.108,0.270,0.711,-,0.111,0.077,0.415,0.044,0.098,-,-,11.48,126.37,6.47,6.08,2116017000.00,211601700
