Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),EPS,NAV(Year End),Audited PE,Forward PE,PaidUp Capital,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,695.82,-,2.4,-4.0,2.4,1.219,507386.0,38.4305,-100.0,2.605,2.596,3.156,2.5087,2.5261,2.5733,-0.0472,-0.0311,2.8432,2.3668,49.75,-1004279.5363,2.4933,2.5051,2.5481,1.1587,-,-,-,-,-,-,-,-,-,-,-,-,-2.24,7.54,-,-,2899233490.00,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,400.0,-,20.0,2.04,20.0,6.079,307608.0,52.8935,-55.5556,19.95,19.218,20.2845,20.0481,19.9906,19.7424,0.2482,0.2388,20.95,18.95,750.84,67766.9978,20.1422,20.0692,19.9914,1.1011,-,-,-,-,-,-,-,-,-,-,-,-,-3.45,9.13,-,31.28,200000000.00,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1571.36,6.87,16.9,0.0,16.9,0.386,22993.0,40.111,-59.2593,17.455,17.632,18.9515,17.2602,17.3284,17.519,-0.1906,-0.1305,18.2322,16.6778,27.62,-69064.8663,17.2289,17.3346,17.4019,1.293,5.92,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,2.46,37.01,6.87,16.46,929799120.00,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,724.72,-,11.2,0.0,11.2,0.047,4180.0,47.7456,-68.4211,11.3,11.106,12.528,11.4943,11.4686,11.3455,0.1231,0.1245,12.3073,10.2927,17.86,9373.8792,11.6044,11.6038,11.451,1.4653,0.89,1.988,-,1.236,-,-,-,0.200,-,-,-,-,-0.12,21.73,-,-,647074420.00,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,597.73,-,2.5,0.0,2.5,1.948,779033.0,36.5295,-100.0,2.65,2.684,3.5615,2.5832,2.599,2.6474,-0.0484,-0.0365,2.8277,2.4723,82.57,-1531203.2834,2.5778,2.5872,2.6124,1.1357,-,-,-,-,-,-,-,-,-,-,-,-,-1.37,8.69,-,-,2390903960.00,239090396
ABBANK,AB Bank PLC,Bank,B,3851.49,-,4.3,0.0,4.3,2.306,540107.0,49.0818,-57.1429,4.265,4.376,5.87,4.2933,4.2883,4.3202,-0.0318,-0.0578,4.5014,4.0286,30.08,-696802.2621,4.3111,4.2936,4.2686,1.7576,-,-,-,-,-,1.575,1.647,-,-,-,-,-,-21.28,7.19,-,-,8956947490.00,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,5710.94,-,0.0,0.0,1000.0,0.0,0.0,69.847,0.0,951.55,872.98,0.0,934.1283,920.7205,902.6012,18.1193,-2.7986,1082.6367,820.4633,0.02,-1609.0983,960.0,957.6923,955.0405,0.041,0.10,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,57109360.00,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,1724.25,80.95,17.1,0.59,17.1,0.17,9951.0,31.9775,-87.5,17.8,18.378,17.533,17.5068,17.6004,17.895,-0.2946,-0.2278,18.419,17.181,7.77,-26236.3711,17.4533,17.5487,17.679,1.2867,5.85,2.447,-,1.271,-,-,-,-,-,-,-,-,0.21,33.63,80.95,38.64,1008333330.00,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,17399.49,-,198.1,-0.65,198.1,13.793,69714.0,59.8972,-64.2857,196.915,186.698,183.4115,198.516,197.7437,193.8887,3.8551,3.9733,202.3561,191.4739,28.98,-13710.6505,199.3511,198.5667,197.5224,1.0453,1.26,0.689,0.811,0.402,-,0.053,-,0.239,-,-,-,-,-7.4,91.64,-,127.82,878318430.00,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,6066.9,16.52,128.3,-1.0,128.4,0.804,6229.0,46.7106,-74.0,129.565,128.82,133.2205,129.3586,129.3479,129.347,0.0009,-0.0221,132.0429,127.0871,9.55,-11732.1067,129.4333,129.3628,129.3862,1.2343,1.95,1.224,-,0.908,-,0.118,0.066,0.289,0.043,0.100,-,-,7.85,75.51,16.52,17.53,472500000.00,47250000
ACMELAB,The ACME Laboratories Limited,Pharmaceuticals & Chemicals,A,15171.84,6.26,71.7,-0.28,71.7,5.232,72964.0,50.3078,-30.7692,71.09,72.334,74.7675,71.7152,71.6,71.6279,-0.028,-0.2942,73.1419,69.0381,14.41,-4354.4674,71.94,71.7872,71.3543,1.1886,4.88,1.108,0.270,0.711,-,0.111,0.077,0.415,0.044,0.098,-,-,11.48,126.37,6.26,5.97,2116017000.00,211601700
ACMEPL,Acme Pesticides Limited,Pharmaceuticals & Chemicals,B,2146.5,-,15.9,-0.62,15.9,23.778,1486998.0,48.6252,-69.2308,16.0,15.812,14.733,15.854,15.8905,15.9932,-0.1028,-0.071,16.9245,15.0755,520.45,-1029207.4609,15.8022,15.8141,15.8648,1.6688,0.01,4.414,0.100,2.581,-,-,-,0.016,-,-,-,-,-1.14,16.41,-,-,1350000000.00,135000000
ACTIVEFINE,Active Fine Chemicals Limited,Pharmaceuticals & Chemicals,Z,1295.66,50.91,5.4,-3.57,5.4,0.941,171297.0,35.7499,-100.0,5.845,6.046,7.9705,5.6886,5.7296,5.896,-0.1664,-0.1546,6.3496,5.3404,16.36,-46171.3597,5.6867,5.6962,5.7505,1.4784,0.46,-,-,-,-,-,-,-,-,-,-,-,0.11,22.07,50.91,35.00,2399365800.00,239936580
