Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI[14],Willams %R[14],SMA[20],SMA[50],SMA[200],EMA[9],EMA[12],EMA[26],"MACD[12,26]",MACD Signal[9],"BB Upper[20,2]","BB Lower[20,2]",TV[22],"CO[3,10]",WMA[9],WMA[12],WMA[20],Beta[5],VWMA[20],VWMA[50],VWMA[200],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),YCP,Change,Trade,Value (Turnover)(mn),Free Float,Institute Share %,Public Share %,Sponsor Director Share %,Govt. Share %,Foreign Share %,Stock Dividend,Cash Dividend,EPS,NAV(Year End),Last Dividend Date,Last AGM Date,Audited PE,Forward PE,PaidUp Capital,Quote Bases,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,1159.69,-,4.00,2.56,4.00,7.3220,"1,846,247",60.0528,-50.0000,3.8150,3.3980,2.9250,3.9639,3.9313,3.7430,0.1883,0.2053,4.3927,3.2373,364.8100,3608824.7831,4.0022,4.0026,3.9367,1.2879,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,3.90,0.10,259,7.3220,75.00%,28.78%,46.22%,25.00%,0.00%,0.00%,-,-,-2.24,7.54,15 Sep 2024,-,-,-,2899233490.00,A-MF,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,498.00,-,24.90,0.81,24.90,15.0830,"603,796",56.0509,-50.0000,24.3100,22.7380,20.0710,24.8360,24.7153,24.1107,0.6046,0.6241,25.8427,22.7773,1072.1300,-777480.9531,25.0533,24.8705,24.5571,0.9677,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,24.70,0.20,443,15.0830,98.00%,23.98%,74.01%,2.00%,0.00%,0.01%,-,-,-0.53,8.60,01 Feb 2026,-,-,10.21,200000000.00,A-MF,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1952.58,8.54,20.90,0.00,21.00,6.0840,"290,036",54.5616,-52.9412,20.9150,20.0200,17.9120,21.0055,20.9866,20.7245,0.2621,0.3438,21.4666,20.3634,98.2700,-523285.5478,21.0267,21.0256,20.9662,1.3616,0.0000,0.0000,0.0000,4.76,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,21.00,0.00,309,6.0840,66.96%,21.95%,45.01%,33.04%,0.00%,0.00%,-,10.00,2.46,37.01,29 Oct 2024,31 Dec 2024,8.54,20.45,929799120.00,Z-EQ,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,1430.03,-,22.10,-3.91,22.10,8.3890,"375,647",72.3854,-29.4118,19.5500,17.1640,13.2935,21.5898,21.1307,19.5094,1.6213,1.3758,23.9411,15.1589,126.9100,233392.1055,22.1222,21.7449,20.6752,1.5051,0.0000,0.0000,0.0000,0.45,1.988,-,1.236,-,-,-,0.200,-,-,-,-,23.00,-0.90,377,8.3890,69.99%,32.06%,37.93%,30.01%,0.00%,0.00%,-,-,0.00,0.00,-,-,-,-,647074420.00,Z-EQ,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,956.36,-,4.00,0.00,4.00,13.3870,"3,292,691",55.0808,-66.6667,3.9500,3.5500,3.0630,4.0303,4.0100,3.8590,0.1509,0.1774,4.3730,3.5270,720.3400,-2266272.0388,4.0622,4.0603,4.0252,1.2391,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,4.00,0.00,284,13.3870,84.49%,13.20%,71.29%,15.51%,0.00%,0.00%,-,-,-1.37,8.69,25 Sep 2024,-,-,-,2390903960.00,A-MF,239090396
ABBANK,AB Bank PLC,Bank,Z,4478.47,-,5.00,2.04,5.00,2.5990,"528,930",55.0834,-50.0000,4.9650,4.8320,5.0055,4.9492,4.9518,4.9364,0.0154,0.0284,5.1140,4.8160,19.2700,-698839.9713,4.9356,4.9513,4.9652,1.7440,0.0000,0.0000,0.0000,-,-,-,-,-,1.242,1.343,-,-,1.199,-,-,4.90,0.10,213,2.5990,80.48%,35.25%,44.69%,18.95%,0.57%,0.54%,-,-,-43.42,-36.24,03 May 2026,18 Jun 2026,-,-,8956947490.00,Z-EQ,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,6053.59,-,0.00,0.00,1060.00,0.0000,0,63.0051,-25.0000,1068.0000,1047.2000,0.0000,1048.3281,1041.8432,1008.2701,33.5732,35.1310,1136.8491,999.1509,11.5000,4204.2088,1067.1111,1069.8718,1070.6190,0.0020,0.0000,0.0000,0.0000,0.09,-,-,-,-,-,-,-,-,-,-,-,1060.00,0.00,0,0.0000,100.00%,94.73%,5.27%,0.00%,0.00%,0.00%,-,10.00,0.00,0.00,10 Dec 2025,-,-,-,57109360.00,A-CB,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,2409.92,112.86,23.90,0.84,23.90,2.8140,"117,979",53.7892,-41.9355,23.6750,23.7400,19.5555,23.8022,23.7829,23.6558,0.1271,0.1445,24.6128,22.7372,27.3500,-43234.0322,23.8667,23.8564,23.7352,1.1987,0.0000,0.0000,0.0000,4.18,2.961,-,1.970,-,-,-,-,-,-,-,-,23.70,0.20,141,2.8140,50.42%,11.65%,38.67%,49.58%,0.00%,0.10%,-,10.00,0.21,33.63,27 Oct 2025,29 Dec 2025,112.86,253.93,1008333330.00,A-EQ,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,17583.93,-,200.20,0.50,200.20,8.1420,"40,442",48.6505,-75.5556,202.4300,197.9600,195.6440,201.1847,201.3531,200.8660,0.4871,1.0860,207.6337,197.2263,27.6300,-48602.3028,201.2556,201.3154,201.6652,1.1367,0.0000,0.0000,0.0000,1.25,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,199.20,1.00,302,8.1420,52.73%,34.34%,18.39%,47.27%,0.00%,0.00%,-,25.00,-7.40,91.64,29 Oct 2025,28 Dec 2025,-,-,878318430.00,A-EQ,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,8377.42,21.81,177.30,3.56,177.30,111.0210,"626,443",60.7290,-39.5722,174.1150,157.9140,141.1260,173.5110,173.0220,168.5890,4.4330,5.4452,186.5451,161.6849,325.8500,-218609.8481,173.7444,173.4987,174.0190,1.2813,0.0000,0.0000,0.0000,1.41,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,171.20,6.10,"2,729",111.0210,33.98%,21.87%,12.11%,66.02%,0.00%,0.00%,-,25.00,7.85,75.51,29 Oct 2025,28 Dec 2025,21.81,15.54,472500000.00,A-EQ,47250000
