Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI[14],Willams %R[14],SMA[20],SMA[50],SMA[200],EMA[9],EMA[12],EMA[26],"MACD[12,26]",MACD Signal[9],"BB Upper[20,2]","BB Lower[20,2]",TV[22],"CO[3,10]",WMA[9],WMA[12],WMA[20],Beta[5],VWMA[20],VWMA[50],VWMA[200],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),YCP,Change,Trade,Value (Turnover)(mn),Free Float,Institute Share %,Public Share %,Sponsor Director Share %,Govt. Share %,Foreign Share %,Stock Dividend,Cash Dividend,EPS,NAV(Year End),Last Dividend Date,Last AGM Date,Audited PE,Forward PE,PaidUp Capital,Quote Bases,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,985.74,-,3.40,-2.86,3.40,2.1760,"638,274",37.9370,-100.0000,3.7800,3.5400,2.9665,3.5623,3.6018,3.6473,-0.0454,0.0200,4.2682,3.2918,258.1500,-1088243.8135,3.5178,3.5500,3.6576,1.2941,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,3.50,-0.10,89,2.1760,75.00%,30.20%,44.80%,25.00%,0.00%,0.00%,-,-,-2.24,7.54,15 Sep 2024,-,-,-,2899233490.00,A-MF,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,416.00,-,20.80,-1.42,20.80,2.8970,"138,948",31.8396,-96.4286,23.8750,23.6440,20.2180,22.2390,22.6062,23.2633,-0.6571,-0.1598,27.1031,20.6469,1124.9600,-747541.4587,21.8378,22.3077,23.1481,0.9850,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,21.10,-0.30,231,2.8970,98.00%,23.98%,74.01%,2.00%,0.00%,0.01%,-,-,-0.53,8.60,01 Feb 2026,-,-,8.72,200000000.00,A-MF,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1859.60,7.93,20.00,2.56,20.00,2.8360,"142,718",44.7761,-77.4194,20.7400,20.6380,17.9535,20.3551,20.4546,20.5733,-0.1187,0.0441,21.8628,19.6172,97.4400,-375238.9368,20.3156,20.4128,20.5819,1.3603,0.0000,0.0000,0.0000,5.00,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,19.50,0.50,301,2.8360,66.96%,21.95%,45.01%,33.04%,0.00%,0.00%,-,10.00,2.46,37.01,29 Oct 2024,31 Dec 2024,7.93,18.99,929799120.00,Z-EQ,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,1074.14,-,16.60,-2.92,16.60,4.4700,"268,595",32.1999,-98.5714,20.6850,18.4860,13.7435,18.5609,19.0071,19.3889,-0.3818,0.4184,25.0079,16.3621,171.3200,-450570.5290,18.0244,18.7090,19.8595,1.5352,0.0000,0.0000,0.0000,0.60,1.988,-,1.236,-,-,-,0.200,-,-,-,-,17.10,-0.50,190,4.4700,69.99%,32.06%,37.93%,30.01%,0.00%,0.00%,-,-,0.00,0.00,-,-,-,-,647074420.00,Z-EQ,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,812.91,-,3.40,-2.86,3.40,3.7870,"1,091,107",37.2687,-100.0000,3.8500,3.6640,3.1040,3.6089,3.6562,3.7293,-0.0731,-0.0035,4.3752,3.3248,436.6800,-2863345.0594,3.5600,3.6038,3.7186,1.2583,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,3.50,-0.10,151,3.7870,84.49%,16.43%,68.06%,15.51%,0.00%,0.00%,-,-,-1.37,8.69,25 Sep 2024,-,-,-,2390903960.00,A-MF,239090396
ABBANK,AB Bank PLC,Bank,Z,4120.20,-,4.60,-2.13,4.60,0.4500,"96,663",33.3821,-100.0000,4.8450,4.9020,4.9700,4.7267,4.7565,4.8274,-0.0709,-0.0387,5.0919,4.5981,15.9700,-618781.9764,4.6978,4.7269,4.7876,1.7244,0.0000,0.0000,0.0000,-,-,-,-,-,1.242,1.343,-,-,1.199,-,-,4.70,-0.10,73,0.4500,80.48%,35.25%,44.69%,18.95%,0.57%,0.54%,-,-,-43.42,-36.24,03 May 2026,18 Jun 2026,-,-,8956947490.00,Z-EQ,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,6053.59,-,0.00,0.00,1060.00,0.0000,0,63.0051,-25.0000,1068.0000,1047.2000,0.0000,1048.3281,1041.8432,1008.2701,33.5732,35.1310,1136.8491,999.1509,11.5000,4204.2088,1067.1111,1069.8718,1070.6190,0.0020,0.0000,0.0000,0.0000,0.09,-,-,-,-,-,-,-,-,-,-,-,1060.00,0.00,0,0.0000,100.00%,94.73%,5.27%,0.00%,0.00%,0.00%,-,10.00,0.00,0.00,10 Dec 2025,-,-,-,57109360.00,A-CB,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,2359.50,111.43,23.10,0.00,23.40,2.2970,"98,086",51.5980,-33.3333,23.3650,23.5960,19.8515,23.1659,23.1751,23.2769,-0.1018,-0.1294,24.6035,22.1265,28.7600,-16506.0518,23.1000,23.0321,23.1552,1.1929,0.0000,0.0000,0.0000,4.27,2.961,-,1.970,-,-,-,-,-,-,-,-,23.40,0.00,149,2.2970,50.42%,11.65%,38.67%,49.58%,0.00%,0.10%,-,10.00,0.21,33.63,27 Oct 2025,29 Dec 2025,111.43,250.71,1008333330.00,A-EQ,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,16609.00,-,189.10,-0.53,189.10,1.5100,"7,999",29.8728,-75.9563,197.0950,198.5360,197.0150,192.3402,193.4363,196.2300,-2.7937,-1.7013,206.9937,187.1963,10.7800,-27233.7311,191.2111,192.2385,194.6157,1.1412,0.0000,0.0000,0.0000,1.32,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,190.10,-1.00,181,1.5100,52.73%,34.34%,18.39%,47.27%,0.00%,0.00%,-,25.00,-7.40,91.64,29 Oct 2025,28 Dec 2025,-,-,878318430.00,A-EQ,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,7281.23,20.22,154.10,-2.90,154.10,21.8230,"140,366",34.5593,-95.3405,169.6500,163.5140,143.1320,162.6895,164.3024,166.3458,-2.0433,0.5371,183.6912,155.6088,263.1900,-234958.6617,161.0800,163.0897,166.5443,1.2861,0.0000,0.0000,0.0000,1.62,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,158.70,-4.60,580,21.8230,33.98%,21.87%,12.11%,66.02%,0.00%,0.00%,-,25.00,7.85,75.51,29 Oct 2025,28 Dec 2025,20.22,14.41,472500000.00,A-EQ,47250000
