Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),EPS,NAV(Year End),Audited PE,Forward PE,PaidUp Capital,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,782.79,-,2.7,3.85,2.7,0.078,29278,52.2566,-50.0,2.64,2.69,3.1995,2.6765,2.666,2.6557,0.0104,-0.0078,2.8775,2.4025,51.92,289064.7429,2.7,2.6808,2.6576,1.1529,-,-,-,-,-,-,-,-,-,-,-,-,-2.24,7.54,-,-,2899233490.00,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,394.0,-,19.7,-0.51,19.7,7.762,396085,53.9236,-65.3061,19.095,19.344,20.3385,19.58,19.4495,19.2494,0.2001,0.0078,20.71,17.48,631.89,-67750.5801,19.7867,19.5756,19.2986,1.071,-,-,-,-,-,-,-,-,-,-,-,-,-3.45,9.13,-,31.60,200000000.00,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1562.06,6.99,16.8,-2.33,16.8,2.181,129534,38.1288,-87.5,17.665,18.316,19.393,17.4056,17.4709,17.7273,-0.2564,-0.2336,18.4813,16.8487,26.91,-146821.0582,17.3956,17.4808,17.59,1.2491,5.95,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,2.46,37.01,6.99,16.75,929799120.00,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,692.37,-,10.7,0.0,10.7,0.038,3506,44.162,-68.4211,10.955,11.334,12.7985,10.88,10.8983,11.023,-0.1247,-0.1432,11.6523,10.2577,14.6,4755.3453,10.9222,10.9282,10.9286,1.41,0.93,1.988,-,1.236,-,-,-,0.200,-,-,-,-,-0.12,21.73,-,-,647074420.00,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,621.64,-,2.6,-3.7,2.6,2.35,904101,40.8183,-80.0,2.745,2.784,3.6035,2.7117,2.7166,2.736,-0.0194,-0.0176,2.9648,2.5252,191.69,-420285.6901,2.7222,2.7218,2.729,1.1037,-,-,-,-,-,-,-,-,-,-,-,-,-1.37,8.69,-,-,2390903960.00,239090396
ABBANK,AB Bank PLC,Bank,B,3761.92,-,4.2,0.0,4.2,1.182,286732,42.0805,-80.0,4.435,4.67,6.096,4.2772,4.2986,4.4129,-0.1143,-0.1212,5.0164,3.8536,40.69,-190111.6248,4.2733,4.2782,4.3224,1.7319,-,-,-,-,-,1.575,1.647,-,-,-,-,-,-21.28,7.19,-,-,8956947490.00,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,5710.94,-,0.0,0.0,1000.0,0.0,0,69.847,0.0,951.55,872.98,0.0,934.1283,920.7205,902.6012,18.1193,-2.7986,1082.6367,820.4633,0.02,-1609.0983,960.0,957.6923,955.0405,0.041,0.10,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,57109360.00,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,1825.08,-,18.1,1.69,18.1,1.021,56663,44.9284,-80.0,18.645,18.488,17.56,18.0841,18.1673,18.3881,-0.2207,-0.1418,20.2496,17.0404,25.33,-43178.3484,17.9933,18.0038,18.291,1.1993,5.52,2.447,-,1.271,-,-,-,-,-,-,-,-,0.21,33.63,-,40.45,1008333330.00,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,17215.04,-,196.0,0.62,196.0,10.095,51616,68.5529,-28.7449,185.505,179.358,180.809,192.9557,191.3669,186.4562,4.9108,3.7328,202.0978,168.9122,19.8,23018.361,195.0978,193.5615,189.7014,1.0055,1.28,0.689,0.811,0.402,-,0.053,-,0.239,-,-,-,-,-7.4,91.64,-,124.87,878318430.00,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,6052.72,18.68,128.8,-0.31,128.1,0.444,3485,46.9701,-45.0704,128.765,130.092,133.0395,128.9529,128.8999,129.192,-0.2921,-0.5461,133.0547,124.4753,11.08,-2760.2052,129.2867,129.0885,128.9986,1.1946,1.95,1.224,-,0.908,-,0.118,0.066,0.289,0.043,0.100,-,-,7.85,75.51,18.68,17.36,472500000.00,47250000
