Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],VWMA [20],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),YCP,Change,Trade,Value (Turnover)(mn),Free Float,Institute Share %,Public Share %,Sponsor Director Share %,Govt. Share %,Foreign Share %,Stock Dividend,Cash Dividend,EPS,NAV(Year End),Last Dividend Date,Last AGM Date,Audited PE,Forward PE,PaidUp Capital,Quote Bases,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,985.74,-,3.4,0.0,3.4,3.715,1083924.0,61.9278,-33.3333,3.235,3.108,2.86,3.3501,3.3256,3.2368,0.0889,0.0769,3.5272,2.9428,134.58,-579216.9503,3.3844,3.3679,3.3024,1.2596,0.0,-,-,-,-,-,-,-,-,-,-,-,-,3.40,0.00,169,3.7150,75.00%,28.78%,46.22%,25.00%,0.00%,0.00%,-,-,-2.24,7.54,15 Sep 2024,-,-,-,2899233490.00,A-MF,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,480.0,-,24.0,2.56,24.0,11.014,461220.0,57.5581,-65.5172,23.73,21.014,19.8975,24.0009,23.9092,23.0227,0.8865,1.1024,25.8783,21.5817,1458.17,-681932.3386,24.0911,24.1654,24.0838,0.9668,0.0,-,-,-,-,-,-,-,-,-,-,-,-,23.40,0.60,456,11.0140,98.00%,31.36%,66.63%,2.00%,0.00%,0.01%,-,-,-0.53,8.60,01 Feb 2026,-,-,11.94,200000000.00,A-MF,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1924.68,8.25,20.7,1.97,20.7,5.02,246259.0,57.2108,-74.1935,20.635,18.584,17.9285,20.8179,20.7678,20.151,0.6168,0.7971,22.0422,19.2278,120.64,-339542.9654,20.9022,20.9538,20.8767,1.369,0.0,4.83,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,20.30,0.40,268,5.0200,66.96%,22.33%,44.63%,33.04%,0.00%,0.00%,-,10.00,2.46,37.01,29 Oct 2024,31 Dec 2024,8.25,19.77,929799120.00,Z-EQ,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,1106.5,-,17.4,0.59,17.1,1.417,81744.0,57.979,-48.5714,16.805,14.84,12.796,17.2,17.1213,16.4296,0.6917,0.8443,19.1378,14.4722,115.75,-304684.3416,17.2578,17.3513,17.2376,1.5377,0.0,0.58,1.988,-,1.236,-,-,-,0.200,-,-,-,-,17.00,0.10,173,1.4170,69.99%,33.68%,36.31%,30.01%,0.00%,0.00%,-,-,0.00,0.00,-,-,-,-,647074420.00,Z-EQ,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,884.63,-,3.7,0.0,3.7,22.427,6044657.0,62.0546,-28.5714,3.42,3.286,2.996,3.6087,3.5689,3.4433,0.1256,0.0975,3.8724,2.9676,551.57,1060785.3964,3.66,3.6308,3.5271,1.2167,0.0,-,-,-,-,-,-,-,-,-,-,-,-,3.70,0.00,374,22.4270,84.49%,13.20%,71.29%,15.51%,0.00%,0.00%,-,-,-1.37,8.69,25 Sep 2024,-,-,-,2390903960.00,A-MF,239090396
ABBANK,AB Bank PLC,Bank,Z,4388.9,-,4.9,0.0,4.9,3.439,694164.0,52.0616,-50.0,4.91,4.662,5.0495,4.9074,4.9017,4.8669,0.0348,0.0387,5.0205,4.7995,19.15,-882948.7312,4.9089,4.9051,4.9057,1.749,0.0,-,-,-,-,-,1.242,1.343,-,-,1.199,-,-,4.90,0.00,148,3.4390,80.48%,35.15%,44.79%,18.95%,0.57%,0.54%,-,-,-43.42,-36.24,03 May 2026,18 Jun 2026,-,-,8956947490.00,Z-EQ,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,6053.59,-,0.0,0.0,1060.0,0.0,0.0,63.0051,-25.0,1068.0,1047.2,0.0,1048.3281,1041.8432,1008.2701,33.5732,35.131,1136.8491,999.1509,11.5,4204.2088,1067.1111,1069.8718,1070.619,0.002,0.0,0.09,-,-,-,-,-,-,-,-,-,-,-,1060.00,0.00,0,0.0000,100.00%,94.73%,5.27%,0.00%,0.00%,0.00%,-,10.00,0.00,0.00,10 Dec 2025,-,-,-,57109360.00,A-CB,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,2389.75,111.43,23.7,1.28,23.7,0.842,35722.0,53.6181,-55.5556,23.775,22.51,19.1955,23.7078,23.7278,23.4874,0.2404,0.3975,24.3763,23.1737,37.27,-73876.9258,23.6889,23.7154,23.7724,1.1975,0.0,4.22,2.961,-,1.970,-,-,-,-,-,-,-,-,23.40,0.30,67,0.8420,50.42%,11.67%,38.65%,49.58%,0.00%,0.10%,-,10.00,0.21,33.63,27 Oct 2025,29 Dec 2025,111.43,250.71,1008333330.00,A-EQ,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,18093.36,-,206.0,1.03,206.0,45.9,223357.0,62.6347,-37.5,200.15,194.132,194.076,203.8369,202.9624,199.7359,3.2265,2.8243,210.3146,189.9854,26.27,-41326.8626,204.6956,204.1269,202.5824,1.1429,0.0,1.21,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,203.90,2.10,"1,154",45.9000,52.73%,34.59%,18.14%,47.27%,0.00%,0.00%,-,25.00,-7.40,91.64,29 Oct 2025,28 Dec 2025,-,-,878318430.00,A-EQ,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,8901.9,22.93,188.4,4.67,188.4,234.0,1262236.0,86.3857,-2.0672,156.98,147.668,138.6755,169.6529,166.2409,157.5613,8.6795,5.2709,181.7381,132.2219,155.11,1266574.3712,171.8267,168.1436,162.5657,1.2806,0.0,1.33,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,180.00,8.40,"3,759",234.0000,33.98%,24.23%,9.75%,66.02%,0.00%,0.00%,-,25.00,7.85,75.51,29 Oct 2025,28 Dec 2025,22.93,16.34,472500000.00,A-EQ,47250000
