Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],VWMA [20],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),YCP,Change,Trade,Value (Turnover)(mn),Free Float,Institute Share %,Public Share %,Sponsor Director Share %,Govt. Share %,Foreign Share %,Stock Dividend,Cash Dividend,EPS,NAV(Year End),Last Dividend Date,Last AGM Date,Audited PE,Forward PE,PaidUp Capital,Quote Bases,Total Shares
ARAMIT,Aramit Limited,Miscellaneous,A,1208.4,95.74,207.0,0.65,201.4,4.127,20555.0,59.9483,-34.7619,194.25,181.498,186.517,202.1199,200.341,192.8205,7.5206,7.1531,217.8915,170.6085,140.86,29155.6441,205.5756,203.7192,199.189,1.0273,0.0,0.50,3.153,-,2.395,0.057,0.063,0.046,0.073,0.009,0.014,-,-,200.10,1.30,459,4.1270,39.27%,13.57%,25.70%,60.73%,0.00%,0.00%,-,10.00,1.75,128.67,01 Jan 2026,04 Mar 2026,95.74,-,60000000.00,A-EQ,6000000
ARAMITCEM,Aramit Cement Limited,Cement,Z,396.4,-,11.8,-0.85,11.7,0.684,58976.0,46.3593,-61.9048,12.12,11.702,10.906,11.8092,11.8609,11.9459,-0.085,-0.0115,13.2337,11.0063,45.5,-57669.1115,11.7711,11.7551,11.89,1.4,0.0,-,2.410,-,2.363,-,-,-,-,-,0.766,-,-,11.80,-0.10,64,0.6840,54.08%,9.99%,44.09%,45.92%,0.00%,0.00%,-,-,-14.47,-18.90,17 Nov 2024,30 Dec 2024,-,-,338800000.00,Z-EQ,33880000
ARGONDENIM,Argon Denims Limited,Textile,A,2930.55,12.26,21.1,2.43,21.1,48.561,2331148.0,72.5915,-7.1429,19.52,18.406,18.044,20.2158,20.0158,19.3705,0.6452,0.5096,20.9948,18.0452,249.6,1203427.2312,20.3756,20.1538,19.8429,1.1839,0.0,4.74,1.703,-,0.950,-,-,-,-,-,-,-,-,20.60,0.50,"1,119",48.5610,64.13%,33.88%,30.25%,35.87%,0.00%,0.00%,-,10.00,1.68,24.57,23 Oct 2025,18 Dec 2025,12.26,17.17,1388886060.00,A-EQ,138888606
ASIAINS,Asia Insurance PLC.,Insurance,A,2071.07,20.86,44.0,0.92,44.0,31.062,700836.0,59.3217,-22.2222,43.04,40.598,34.1125,43.2513,43.0285,42.175,0.8535,0.7658,46.1576,39.9224,497.97,-273395.2086,43.52,43.1718,42.8686,1.5986,0.0,2.27,-,-,-,-,-,-,-,-,-,-,-,43.60,0.40,856,31.0620,62.12%,9.91%,52.21%,37.88%,0.00%,0.00%,-,10.00,2.09,30.55,23 Apr 2026,29 Jun 2026,20.86,21.37,470698580.00,A-EQ,47069858
ASIAPACINS,Asia Pacific General Insurance PLC,Insurance,A,1977.75,24.97,46.7,-1.06,46.7,21.025,442430.0,59.9291,-34.8485,45.705,43.24,36.5505,46.2156,45.9608,44.9493,1.0114,0.9277,48.4918,42.9182,190.01,-150663.0771,46.4956,46.091,45.72,1.3846,0.0,3.00,-,-,-,-,-,-,-,-,-,-,-,47.20,-0.50,600,21.0250,66.39%,30.25%,36.14%,33.61%,0.00%,0.00%,-,14.00,2.51,25.29,03 May 2026,09 Jul 2026,24.97,10.17,423500000.00,A-EQ,42350000
ASIATICLAB,Asiatic Laboratories Limited,Pharmaceuticals & Chemicals,A,17710.33,112.66,144.7,3.58,144.7,168.317,1175653.0,70.8591,-7.3579,126.995,119.894,75.1575,132.5953,130.9921,126.3262,4.6658,3.3406,139.7194,114.2706,201.43,719623.5044,133.5156,131.3436,128.6443,0.9278,0.0,0.69,4.084,0.157,2.848,-,0.308,0.145,0.434,0.029,0.039,-,-,139.70,5.00,"2,545",168.3170,59.29%,18.14%,41.15%,40.71%,0.00%,0.00%,-,10.00,2.09,54.08,02 Nov 2025,24 Dec 2025,112.66,26.39,1223934550.00,A-EQ,122393455
ATLASBANG,Atlas Bangladesh Limited,Engineering,Z,2819.12,-,85.1,5.45,85.1,7.075,82397.0,81.4262,-14.7208,71.795,71.3,61.2155,75.98,74.8044,72.584,2.2205,0.6838,80.5163,63.0737,13.15,-6371.8811,76.4844,75.0782,73.2005,0.9783,0.0,-,1.732,0.001,1.667,-,-,-,-,-,-,-,-,80.70,4.40,442,7.0750,49.00%,16.95%,32.05%,0.00%,51.00%,0.00%,-,-,-1.23,121.00,06 Nov 2025,24 Dec 2025,-,-,331271080.00,Z-EQ,33127108
AZIZPIPES,Aziz Pipes Limited,Engineering,Z,404.24,-,75.6,-3.2,75.6,4.697,61394.0,53.7642,-61.3793,75.715,67.16,51.8095,77.3697,76.9951,73.7837,3.2113,3.8998,84.4348,66.9952,354.43,-30364.7768,77.9822,78.0731,77.2648,1.4234,0.0,-,0.259,-,0.182,-,-,-,-,-,0.214,-,-,78.10,-2.50,263,4.6970,88.84%,10.15%,78.69%,11.16%,0.00%,0.00%,-,-,-10.12,-47.37,28 Oct 2025,30 Dec 2025,-,-,53471250.00,Z-EQ,5347125
BANGAS,Bangas Limited,Food & Allied,B,1032.38,489.29,135.4,-1.17,135.4,10.141,74600.0,51.3361,-49.4845,134.96,135.034,123.0875,135.6722,135.4329,134.8146,0.6184,0.384,138.8746,131.0454,397.27,-60989.233,136.1089,135.5795,135.0876,1.2087,0.0,0.22,2.236,-,1.692,0.020,0.021,0.011,0.200,0.009,0.013,-,-,137.00,-1.60,577,10.1410,76.96%,5.32%,71.55%,23.04%,0.00%,0.09%,-,3.00,0.28,21.02,29 Sep 2025,12 Nov 2025,489.29,685.00,76246430.00,B-EQ,7624643
BANKASI1PB,Bank Asia 1st Perpetual Bond,Corporate Bond,N,588.63,-,0.0,0.0,8650.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.01,-,-,-,-,-,-,-,-,-,-,-,8650.00,0.00,0,0.0000,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-,10.00,0.00,0.00,21 Dec 2025,-,-,-,680500.00,N-CB,68050
BANKASIA,Bank Asia PLC.,Bank,A,25464.63,5.79,18.3,-0.54,18.3,6.073,331133.0,42.6655,-27.7778,18.415,18.964,19.217,18.3988,18.4061,18.5392,-0.1331,-0.1797,18.9103,17.9197,17.86,478827.7057,18.3956,18.4077,18.4338,0.7909,0.0,4.64,-,-,-,-,0.643,0.146,-,0.007,0.126,0.008,-,18.40,-0.10,168,6.0730,49.30%,38.70%,10.60%,50.70%,0.00%,0.00%,8.50,8.50,3.18,27.42,30 Apr 2026,11 Jun 2026,5.79,4.69,13915098370.00,A-EQ,1391509837
BARKAPOWER,Baraka Power Limited,Fuel & Power,Z,1954.36,23.33,8.3,-1.19,8.3,2.573,309003.0,50.6694,-66.6667,8.36,8.152,7.8865,8.3128,8.3161,8.2892,0.0269,0.0468,8.6228,8.0972,49.39,-156738.7396,8.3067,8.2962,8.3243,1.3922,0.0,-,1.375,-,1.111,-,-,0.011,0.040,0.002,0.003,-,-,8.40,-0.10,132,2.5730,70.01%,23.04%,46.97%,29.99%,0.00%,0.00%,-,-,0.36,22.63,29 Oct 2025,24 Dec 2025,23.33,7.24,2354656610.00,Z-EQ,235465661
BATASHOE,,,,,,,,,,,56.0683,-31.4031,869.915,851.652,842.073,875.5824,874.2045,866.9782,7.2264,7.601,888.5353,851.2947,1.81,-935.9827,877.0756,876.8795,873.6881,0.409,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
