Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI[14],Willams %R[14],SMA[20],SMA[50],SMA[200],EMA[9],EMA[12],EMA[26],"MACD[12,26]",MACD Signal[9],"BB Upper[20,2]","BB Lower[20,2]",TV[22],"CO[3,10]",WMA[9],WMA[12],WMA[20],Beta[5],VWMA[20],VWMA[50],VWMA[200],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),YCP,Change,Trade,Value (Turnover)(mn),Free Float,Institute Share %,Public Share %,Sponsor Director Share %,Govt. Share %,Foreign Share %,Stock Dividend,Cash Dividend,EPS,NAV(Year End),Last Dividend Date,Last AGM Date,Audited PE,Forward PE,PaidUp Capital,Quote Bases,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,1043.72,-,3.70,0.00,3.60,5.1320,"1,424,567",45.4070,-87.5000,3.8650,3.5060,2.9535,3.7009,3.7287,3.7105,0.0182,0.0877,4.2612,3.4688,360.5200,-1663521.3432,3.6578,3.7000,3.7967,1.2892,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,3.60,0.00,212,5.1320,75.00%,30.20%,44.80%,25.00%,0.00%,0.00%,-,-,-2.24,7.54,15 Sep 2024,-,-,-,2899233490.00,A-MF,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,452.00,-,22.60,-3.42,22.60,11.1380,"485,947",39.6947,-95.2381,24.3450,23.5640,20.1950,23.8521,24.0060,24.0228,-0.0169,0.3131,26.1934,22.4966,1113.3500,-1141646.2960,23.7556,24.0000,24.2929,0.9764,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,23.40,-0.80,410,11.1380,98.00%,23.98%,74.01%,2.00%,0.00%,0.01%,-,-,-0.53,8.60,01 Feb 2026,-,-,9.67,200000000.00,A-MF,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,2008.37,8.70,21.60,0.93,21.60,17.0590,"782,507",59.1974,-26.0870,20.9450,20.5440,17.9505,20.9809,20.9510,20.7965,0.1545,0.1614,21.6572,20.2328,91.4000,-83272.3913,20.9356,20.9141,20.9276,1.3608,0.0000,0.0000,0.0000,4.63,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,21.40,0.20,773,17.0590,66.96%,21.95%,45.01%,33.04%,0.00%,0.00%,-,10.00,2.46,37.01,29 Oct 2024,31 Dec 2024,8.70,20.84,929799120.00,Z-EQ,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,1255.32,-,19.80,-4.43,19.40,6.9300,"348,426",44.4518,-92.1569,21.1750,18.3280,13.6490,20.8733,20.9405,20.2496,0.6909,1.1637,23.9294,18.4206,162.2900,-233244.6481,20.8511,21.2038,21.3810,1.5189,0.0000,0.0000,0.0000,0.52,1.988,-,1.236,-,-,-,0.200,-,-,-,-,20.30,-0.90,442,6.9300,69.99%,32.06%,37.93%,30.01%,0.00%,0.00%,-,-,0.00,0.00,-,-,-,-,647074420.00,Z-EQ,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,860.73,-,3.60,-5.26,3.60,5.7930,"1,563,053",41.8844,-100.0000,3.9400,3.6400,3.0930,3.7834,3.8133,3.8134,-0.0002,0.0654,4.3315,3.5485,583.9200,-3999037.9221,3.7444,3.7821,3.8733,1.2552,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,3.80,-0.20,179,5.7930,84.49%,16.43%,68.06%,15.51%,0.00%,0.00%,-,-,-1.37,8.69,25 Sep 2024,-,-,-,2390903960.00,A-MF,239090396
ABBANK,AB Bank PLC,Bank,Z,4299.33,-,4.80,0.00,4.80,1.4010,"291,837",40.3885,-100.0000,4.9250,4.9160,4.9815,4.8452,4.8618,4.8920,-0.0303,-0.0082,5.1183,4.7317,17.9700,-870888.3836,4.8289,4.8474,4.8824,1.7256,0.0000,0.0000,0.0000,-,-,-,-,-,1.242,1.343,-,-,1.199,-,-,4.80,0.00,128,1.4010,80.48%,35.25%,44.69%,18.95%,0.57%,0.54%,-,-,-43.42,-36.24,03 May 2026,18 Jun 2026,-,-,8956947490.00,Z-EQ,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,6053.59,-,0.00,0.00,1060.00,0.0000,0,63.0051,-25.0000,1068.0000,1047.2000,0.0000,1048.3281,1041.8432,1008.2701,33.5732,35.1310,1136.8491,999.1509,11.5000,4204.2088,1067.1111,1069.8718,1070.6190,0.0020,0.0000,0.0000,0.0000,0.09,-,-,-,-,-,-,-,-,-,-,-,1060.00,0.00,0,0.0000,100.00%,94.73%,5.27%,0.00%,0.00%,0.00%,-,10.00,0.00,0.00,10 Dec 2025,-,-,-,57109360.00,A-CB,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,2329.25,107.62,23.10,2.21,23.10,2.6120,"113,426",48.1821,-53.5714,23.3900,23.6460,19.7480,22.9285,23.0341,23.2645,-0.2305,-0.1071,24.8026,21.9774,27.5300,-51268.9870,22.7556,22.9013,23.1986,1.1986,0.0000,0.0000,0.0000,4.33,2.961,-,1.970,-,-,-,-,-,-,-,-,22.60,0.50,217,2.6120,50.42%,11.65%,38.67%,49.58%,0.00%,0.10%,-,10.00,0.21,33.63,27 Oct 2025,29 Dec 2025,107.62,242.14,1008333330.00,A-EQ,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,16784.67,-,191.10,-2.50,191.10,5.4690,"28,409",30.7630,-71.3004,199.2500,198.6280,196.6345,196.2762,197.0687,198.6120,-1.5432,-0.5290,205.7140,192.7860,13.1000,-44004.6634,195.5822,196.3256,198.0010,1.1424,0.0000,0.0000,0.0000,1.31,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,196.00,-4.90,332,5.4690,52.73%,34.34%,18.39%,47.27%,0.00%,0.00%,-,25.00,-7.40,91.64,29 Oct 2025,28 Dec 2025,-,-,878318430.00,A-EQ,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,7791.52,21.46,164.90,-2.14,164.90,28.8980,"173,065",44.6253,-93.1034,172.0650,162.3280,142.6720,169.7299,170.3401,169.2881,1.0520,2.8870,179.9482,164.1818,272.5600,-279991.2878,169.3867,170.2372,171.4529,1.2847,0.0000,0.0000,0.0000,1.52,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,168.50,-3.60,822,28.8980,33.98%,21.87%,12.11%,66.02%,0.00%,0.00%,-,25.00,7.85,75.51,29 Oct 2025,28 Dec 2025,21.46,15.30,472500000.00,A-EQ,47250000
