Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),EPS,NAV(Year End),Audited PE,Forward PE,PaidUp Capital,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,811.79,-,2.8,0.0,2.8,3.723,1328020,58.4342,-40.0,2.595,2.72,3.209,2.6568,2.641,2.641,-0.0001,-0.0348,2.8503,2.3397,48.77,783083.3262,2.6556,2.6372,2.6257,1.1479,-,-,-,-,-,-,-,-,-,-,-,-,-2.24,7.54,-,-,2899233490.00,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,418.0,-,20.9,10.0,20.9,28.102,1354597,64.8162,0.0,18.72,19.494,20.373,19.1116,19.0009,18.997,0.0038,-0.2376,20.1948,17.2452,460.56,425669.8645,19.0844,18.9628,18.8848,1.067,-,-,-,-,-,-,-,-,-,-,-,-,-3.45,9.13,-,30.32,200000000.00,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1627.15,7.32,17.5,-2.78,17.5,1.28,72164,45.0963,-84.0,17.56,18.684,19.523,17.7909,17.7725,17.9251,-0.1526,-0.2649,18.7179,16.4021,28.03,-94173.4864,17.8378,17.8128,17.7543,1.2522,5.71,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,2.46,37.01,7.32,17.53,929799120.00,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,711.78,-,11.0,-4.35,11.0,0.143,12864,48.062,-57.1429,10.92,11.552,12.8905,11.0894,11.0505,11.1234,-0.073,-0.1929,11.7346,10.1054,15.77,33599.057,11.1111,11.0449,11.0067,1.4121,0.91,1.988,-,1.236,-,-,-,0.200,-,-,-,-,-0.12,21.73,-,-,647074420.00,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,669.45,-,2.8,0.0,2.8,2.378,846230,52.9685,-66.6667,2.725,2.816,3.612,2.7523,2.7443,2.7511,-0.0068,-0.0276,2.9667,2.4833,194.29,-19081.9295,2.7489,2.7385,2.7429,1.1021,-,-,-,-,-,-,-,-,-,-,-,-,-1.37,8.69,-,-,2390903960.00,239090396
ABBANK,AB Bank PLC,Bank,B,3851.49,-,4.3,-4.44,4.3,2.587,586549,44.6195,-81.8182,4.425,4.794,6.16,4.3636,4.3741,4.4816,-0.1075,-0.1349,5.0436,3.8064,47.31,-134229.6323,4.3378,4.3295,4.4043,1.733,-,-,-,-,-,1.575,1.647,-,-,-,-,-,-21.28,7.19,-,-,8956947490.00,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,5710.94,-,0.0,0.0,1000.0,0.0,0,69.847,0.0,951.55,872.98,0.0,934.1283,920.7205,902.6012,18.1193,-2.7986,1082.6367,820.4633,0.02,-1609.0983,960.0,957.6923,955.0405,0.041,0.10,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,57109360.00,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,1825.08,-,18.0,-0.55,18.1,0.326,17868,42.8309,-80.0,18.815,18.528,17.5555,18.3221,18.4084,18.5618,-0.1535,-0.0362,20.3058,17.3242,24.28,-32348.4514,18.1267,18.2808,18.619,1.1953,5.52,2.447,-,1.271,-,-,-,-,-,-,-,-,0.21,33.63,-,41.36,1008333330.00,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,17408.27,-,198.2,0.0,198.2,67.278,338804,75.134,-17.5,182.03,178.126,179.9585,189.0363,187.2618,183.1223,4.1396,2.1907,195.3859,168.6741,18.28,56567.3804,190.3067,188.4333,184.9619,1.0061,1.26,0.689,0.811,0.402,-,0.053,-,0.239,-,-,-,-,-7.4,91.64,-,127.05,878318430.00,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,6255.9,19.16,132.4,0.46,132.4,2.761,20803,56.9184,-38.5787,127.915,130.904,132.957,129.5324,129.2084,129.3999,-0.1915,-0.9931,134.5003,121.3297,12.34,8425.0977,129.4667,129.2718,128.8529,1.1949,1.89,1.224,-,0.908,-,0.118,0.066,0.289,0.043,0.100,-,-,7.85,75.51,19.16,17.81,472500000.00,47250000
ACMELAB,The ACME Laboratories Limited,Pharmaceuticals & Chemicals,A,15214.16,6.23,71.9,-0.55,71.9,7.9,109373,45.7972,-57.3529,72.265,74.104,75.087,71.6515,71.7741,72.6255,-0.8514,-0.9828,75.0457,69.4843,15.69,-20250.385,71.3467,71.3821,71.8252,1.181,4.87,1.108,0.270,0.711,-,0.111,0.077,0.415,0.044,0.098,-,-,11.48,126.37,6.23,6.00,2116017000.00,211601700
ACMEPL,Acme Pesticides Limited,Pharmaceuticals & Chemicals,B,2281.5,-,16.9,-3.43,16.9,88.212,5092194,54.1507,-42.4242,16.355,15.802,14.5845,17.0967,16.9587,16.4245,0.5343,0.4827,19.1845,13.5255,530.9,-2318233.473,17.2467,17.2795,16.9505,1.6807,0.01,4.414,0.100,2.581,-,-,-,0.016,-,-,-,-,-1.14,16.41,-,-,1350000000.00,135000000
ACTIVEFINE,Active Fine Chemicals Limited,Pharmaceuticals & Chemicals,Z,1511.6,57.27,6.3,0.0,6.3,0.396,62781,48.8783,-62.5,6.275,6.726,8.288,6.2176,6.2184,6.3329,-0.1146,-0.1669,7.0314,5.5186,15.7,-41563.6068,6.1822,6.1744,6.2614,1.5009,0.40,-,-,-,-,-,-,-,-,-,-,-,0.11,22.07,57.27,39.38,2399365800.00,239936580
ADNTEL,ADN Telecom Limited,IT Sector,A,3717.47,25.11,57.5,-0.86,57.5,9.536,164381,43.5385,-75.8621,58.795,61.546,72.3355,58.359,58.5302,59.6384,-1.1082,-1.2539,63.2871,54.3029,62.6,-90647.6293,58.0778,58.2782,58.8333,1.3229,1.74,2.057,-,2.048,0.146,0.164,0.100,0.385,0.047,0.074,-,-,2.55,32.82,25.11,21.97,646516660.00,64651666
ADVENT,Advent Pharma Limited,Pharmaceuticals & Chemicals,Z,1285.23,15.33,13.8,0.0,13.8,1.644,118541,51.0602,-63.6364,13.545,14.054,14.804,13.7341,13.7029,13.7377,-0.0349,-0.1199,14.4394,12.6506,46.28,-236240.1188,13.7644,13.7462,13.6829,1.3447,0.36,1.282,0.005,0.926,-,0.265,0.147,0.399,0.045,0.057,-,-,0.72,16.43,15.33,23.00,931327320.00,93132732
AFCAGRO,AFC Agro Biotech Limited,Pharmaceuticals & Chemicals,Z,679.78,26.82,5.9,0.0,5.9,0.568,95776,59.7995,-15.3846,5.465,5.756,7.871,5.5883,5.5376,5.5149,0.0226,-0.0782,5.9561,4.9739,13.15,25608.5753,5.5911,5.5449,5.5162,1.4515,0.85,5.609,-,4.057,-,0.066,0.036,0.232,0.010,0.012,-,-,0.22,18.19,26.82,26.03,1152162000.00,115216200
AFTABAUTO,Aftab Automobiles Limited,Engineering,A,3651.86,-,34.6,-1.42,34.6,25.376,726029,46.3515,-86.4407,35.98,35.37,33.4845,35.1003,35.2268,35.4116,-0.1848,0.0061,38.9784,32.9816,299.85,-693676.2638,34.8422,35.0141,35.6067,1.278,2.89,1.925,1.997,1.806,-,-,-,0.267,-,-,-,-,-1.37,47.57,-,-,1055449950.00,105544995
AGNISYSL,Agni Systems PLC.,IT Sector,B,1567.21,18.96,21.6,-0.92,21.6,8.455,389529,49.6328,-58.3333,21.27,22.292,25.469,21.5127,21.4654,21.6112,-0.1458,-0.3184,22.7791,19.7609,194.35,-461284.768,21.5222,21.4885,21.4595,1.2565,1.16,4.147,-,4.091,0.135,0.140,0.123,0.318,0.059,0.069,-,-,0.81,16.95,18.96,16.03,725561920.00,72556192
AGRANINS,Agrani Insurance PLC.,Insurance,A,810.42,14.68,22.5,-0.44,22.5,0.992,43737,55.2158,-21.7391,21.26,23.346,24.458,21.9519,21.8238,21.941,-0.1172,-0.4539,23.0969,19.4231,42.53,-18012.5582,22.0356,21.8974,21.6614,1.3034,2.67,-,-,-,-,-,-,-,-,-,-,-,1.54,19.81,14.68,113.00,360186980.00,36018698
AIBL1STIMF,AIBL 1st Islamic Mutual Fund,Mutual Funds,A,350.0,70.00,3.5,0.0,3.5,1.128,318452,50.8376,-60.0,3.405,3.662,5.4005,3.4345,3.4301,3.4767,-0.0466,-0.0782,3.7325,3.0775,109.12,-106446.0886,3.4244,3.4218,3.4305,0.7968,-,-,-,-,-,-,-,-,-,-,-,-,0.05,10.27,70.00,39.77,1000000000.00,100000000
