Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),EPS,NAV(Year End),Audited PE,Forward PE,PaidUp Capital,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,695.82,-,2.4,0.0,2.4,0.396,165481.0,38.4305,-75.0,2.565,2.58,3.149,2.4695,2.4903,2.5485,-0.0583,-0.0402,2.7923,2.3377,47.58,-1009504.8603,2.4533,2.4692,2.511,1.1721,-,-,-,-,-,-,-,-,-,-,-,-,-2.24,7.54,-,-,2899233490.00,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,390.0,-,19.7,-0.51,19.5,4.717,241875.0,47.6637,-83.3333,19.91,19.176,20.2905,19.8668,19.8643,19.7147,0.1496,0.2145,20.7356,19.0844,764.78,-63467.3605,19.9422,19.95,19.9124,1.1222,-,-,-,-,-,-,-,-,-,-,-,-,-3.45,9.13,-,31.28,200000000.00,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1562.06,6.83,16.8,0.0,16.8,0.596,35362.0,38.896,-62.963,17.36,17.518,18.8845,17.0945,17.1783,17.4165,-0.2381,-0.1661,18.1869,16.5331,25.26,-68131.3262,16.9911,17.1333,17.2829,1.3084,5.95,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,2.46,37.01,6.83,16.36,929799120.00,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,744.14,-,11.5,0.88,11.5,0.402,35039.0,52.3673,-58.8235,11.32,11.074,12.4905,11.4804,11.4645,11.3606,0.1038,0.1178,12.3181,10.3219,14.49,10552.8216,11.4956,11.5679,11.48,1.4837,0.87,1.988,-,1.236,-,-,-,0.200,-,-,-,-,-0.12,21.73,-,-,647074420.00,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,597.73,-,2.5,0.0,2.5,0.422,169854.0,36.5295,-75.0,2.62,2.668,3.5545,2.5532,2.5709,2.6264,-0.0555,-0.0429,2.7867,2.4533,63.14,-1321303.0269,2.54,2.5577,2.5852,1.1539,-,-,-,-,-,-,-,-,-,-,-,-,-1.37,8.69,-,-,2390903960.00,239090396
ABBANK,AB Bank PLC,Bank,B,3851.49,-,4.3,2.38,4.3,0.474,111798.0,49.4446,-57.1429,4.25,4.344,5.8385,4.2797,4.2786,4.3104,-0.0318,-0.0492,4.4603,4.0397,28.98,-1091704.7166,4.2933,4.2897,4.2671,1.7544,-,-,-,-,-,1.575,1.647,-,-,-,-,-,-21.28,7.19,-,-,8956947490.00,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,5710.94,-,0.0,0.0,1000.0,0.0,0.0,69.847,0.0,951.55,872.98,0.0,934.1283,920.7205,902.6012,18.1193,-2.7986,1082.6367,820.4633,0.02,-1609.0983,960.0,957.6923,955.0405,0.041,0.10,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,57109360.00,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,1714.17,80.95,16.9,0.0,17.0,0.061,3583.0,30.6156,-86.6667,17.685,18.3,17.526,17.3244,17.4299,17.7673,-0.3374,-0.2646,18.4228,16.9472,7.3,-22502.4853,17.2267,17.3462,17.5324,1.3011,5.88,2.447,-,1.271,-,-,-,-,-,-,-,-,0.21,33.63,80.95,38.64,1008333330.00,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,18629.13,-,212.1,4.17,212.1,138.775,661807.0,75.6961,-4.4118,197.88,187.79,183.8345,202.0462,200.7147,195.9037,4.811,4.151,206.9872,188.7728,39.83,259240.0214,202.9756,201.7231,199.5795,1.059,1.18,0.689,0.811,0.402,-,0.053,-,0.239,-,-,-,-,-7.4,91.64,-,130.51,878318430.00,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,6388.2,16.46,135.2,4.64,135.2,12.983,96772.0,64.3366,-8.9888,129.575,128.59,133.283,130.5015,130.229,129.7705,0.4585,0.0758,132.7545,126.3955,10.28,11782.7505,130.5378,130.259,129.9005,1.2398,1.85,1.224,-,0.908,-,0.118,0.066,0.289,0.043,0.100,-,-,7.85,75.51,16.46,17.46,472500000.00,47250000
ACMELAB,The ACME Laboratories Limited,Pharmaceuticals & Chemicals,A,15256.48,6.28,72.1,0.0,72.1,2.711,37642.0,52.8453,-20.5128,71.09,72.168,74.749,71.8538,71.742,71.6953,0.0467,-0.1767,73.1377,69.0423,13.43,10238.8378,72.0333,71.9513,71.5476,1.1957,4.85,1.108,0.270,0.711,-,0.111,0.077,0.415,0.044,0.098,-,-,11.48,126.37,6.28,5.99,2116017000.00,211601700
