Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],VWMA [20],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),YCP,Change,Trade,Value (Turnover)(mn),Free Float,Institute Share %,Public Share %,Sponsor Director Share %,Govt. Share %,Foreign Share %,Stock Dividend,Cash Dividend,EPS,NAV(Year End),Last Dividend Date,Last AGM Date,Audited PE,Forward PE,PaidUp Capital,Quote Bases,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,985.74,-,3.4,3.03,3.4,6.028,1776857.0,61.9278,-33.3333,3.225,3.1,2.859,3.3376,3.3121,3.2237,0.0884,0.0739,3.5069,2.9431,130.87,-145513.5579,3.3778,3.3526,3.2857,1.2594,0.0,-,-,-,-,-,-,-,-,-,-,-,-,3.30,0.10,182,6.0280,75.00%,28.78%,46.22%,25.00%,0.00%,0.00%,-,-,-2.24,7.54,15 Sep 2024,-,-,-,2899233490.00,A-MF,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,468.0,-,23.4,-1.68,23.4,10.236,435662.0,53.8254,-89.2857,23.66,20.916,19.895,24.0011,23.8927,22.9445,0.9482,1.1564,25.8618,21.4582,1520.75,-787972.5385,24.1422,24.2038,24.0514,0.9671,0.0,-,-,-,-,-,-,-,-,-,-,-,-,23.80,-0.40,427,10.2360,98.00%,31.36%,66.63%,2.00%,0.00%,0.01%,-,-,-0.53,8.60,01 Feb 2026,-,-,12.14,200000000.00,A-MF,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1887.49,8.37,20.3,-1.46,20.3,4.894,240205.0,52.9974,-90.0,20.595,18.496,17.9295,20.8473,20.7801,20.1071,0.6731,0.8421,22.0394,19.1506,124.44,-418713.1988,20.9822,21.0051,20.8667,1.3684,0.0,4.93,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,20.60,-0.30,251,4.8940,66.96%,22.33%,44.63%,33.04%,0.00%,0.00%,-,10.00,2.46,37.01,29 Oct 2024,31 Dec 2024,8.37,20.06,929799120.00,Z-EQ,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,1100.03,-,17.0,0.59,17.0,2.712,160383.0,57.0968,-51.4286,16.69,14.75,12.7805,17.225,17.1251,16.376,0.7492,0.8825,19.1829,14.1971,117.43,-322696.1622,17.3467,17.4154,17.1986,1.5369,0.0,0.59,1.988,-,1.236,-,-,-,0.200,-,-,-,-,16.90,0.10,127,2.7120,69.99%,33.68%,36.31%,30.01%,0.00%,0.00%,-,-,0.00,0.00,-,-,-,-,647074420.00,Z-EQ,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,884.63,-,3.7,2.78,3.7,20.354,5599026.0,62.0546,-28.5714,3.4,3.274,2.994,3.5858,3.5451,3.4228,0.1223,0.0904,3.8353,2.9647,530.34,577865.6893,3.6444,3.6026,3.4986,1.216,0.0,-,-,-,-,-,-,-,-,-,-,-,-,3.60,0.10,449,20.3540,84.49%,13.20%,71.29%,15.51%,0.00%,0.00%,-,-,-1.37,8.69,25 Sep 2024,-,-,-,2390903960.00,A-MF,239090396
ABBANK,AB Bank PLC,Bank,Z,4388.9,-,5.0,-2.0,4.9,1.477,298485.0,52.0616,-50.0,4.91,4.656,5.054,4.9092,4.902,4.8643,0.0378,0.0397,5.0205,4.7995,19.04,-736680.9782,4.9089,4.9038,4.9067,1.7488,0.0,-,-,-,-,-,1.242,1.343,-,-,1.199,-,-,5.00,-0.10,106,1.4770,80.48%,35.15%,44.79%,18.95%,0.57%,0.54%,-,-,-43.42,-36.24,03 May 2026,18 Jun 2026,-,-,8956947490.00,Z-EQ,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,6053.59,-,0.0,0.0,1060.0,0.0,0.0,63.0051,-25.0,1068.0,1047.2,0.0,1048.3281,1041.8432,1008.2701,33.5732,35.131,1136.8491,999.1509,11.5,4204.2088,1067.1111,1069.8718,1070.619,0.002,0.0,0.09,-,-,-,-,-,-,-,-,-,-,-,1060.00,0.00,0,0.0000,100.00%,94.73%,5.27%,0.00%,0.00%,0.00%,-,10.00,0.00,0.00,10 Dec 2025,-,-,-,57109360.00,A-CB,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,2359.5,111.90,23.3,-0.43,23.4,1.372,59102.0,49.4788,-63.8889,23.81,22.402,19.172,23.7098,23.7329,23.4704,0.2625,0.4368,24.4714,23.1486,40.41,-92514.349,23.7,23.7269,23.7829,1.1956,0.0,4.27,2.961,-,1.970,-,-,-,-,-,-,-,-,23.50,-0.10,129,1.3720,50.42%,11.67%,38.65%,49.58%,0.00%,0.10%,-,10.00,0.21,33.63,27 Oct 2025,29 Dec 2025,111.90,251.79,1008333330.00,A-EQ,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,17908.91,-,203.9,-0.44,203.9,24.181,118473.0,59.5255,-49.3421,199.415,193.802,193.9345,203.2961,202.4101,199.2348,3.1753,2.7237,209.9188,188.9112,24.28,-56611.3194,204.1422,203.6179,201.9552,1.1428,0.0,1.23,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,204.80,-0.90,633,24.1810,52.73%,34.59%,18.14%,47.27%,0.00%,0.00%,-,25.00,-7.40,91.64,29 Oct 2025,28 Dec 2025,-,-,878318430.00,A-EQ,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,8505.0,22.37,180.0,2.51,180.0,178.406,1001043.0,83.3617,-5.4054,154.705,146.724,138.458,164.9662,162.212,155.0943,7.1177,4.4188,175.3223,134.0877,130.12,935813.0891,166.3956,163.6974,159.3567,1.2799,0.0,1.39,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,175.60,4.40,"3,358",178.4060,33.98%,24.23%,9.75%,66.02%,0.00%,0.00%,-,25.00,7.85,75.51,29 Oct 2025,28 Dec 2025,22.37,15.94,472500000.00,A-EQ,47250000
