Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],VWMA [20],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),YCP,Change,Trade,Value (Turnover)(mn),Free Float,Institute Share %,Public Share %,Sponsor Director Share %,Govt. Share %,Foreign Share %,Stock Dividend,Cash Dividend,EPS,NAV(Year End),Last Dividend Date,Last AGM Date,Audited PE,Forward PE,PaidUp Capital,Quote Bases,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,1159.69,-,4.0,8.11,4.0,50.121,12598591.0,79.8006,0.0,3.31,3.142,2.8665,3.5361,3.4781,3.3251,0.153,0.0978,3.782,2.838,179.52,6554336.9561,3.5644,3.5218,3.4167,1.2617,0.0,-,-,-,-,-,-,-,-,-,-,-,-,3.70,0.30,"1,119",50.1210,75.00%,28.78%,46.22%,25.00%,0.00%,0.00%,-,-,-2.24,7.54,15 Sep 2024,-,-,-,2899233490.00,A-MF,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,484.0,-,24.2,0.83,24.2,22.306,910093.0,58.8443,-58.6207,23.98,21.216,19.9075,24.0406,23.9658,23.1769,0.7889,0.9958,25.5609,22.3991,1339.28,-767728.2875,24.0356,24.1128,24.1433,0.9653,0.0,-,-,-,-,-,-,-,-,-,-,-,-,24.00,0.20,689,22.3060,98.00%,31.36%,66.63%,2.00%,0.00%,0.01%,-,-,-0.53,8.60,01 Feb 2026,-,-,12.24,200000000.00,A-MF,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1933.98,8.54,20.8,-0.95,20.8,6.411,307281.0,57.3212,-70.9677,20.78,18.782,17.928,20.8434,20.803,20.2573,0.5457,0.7136,21.9236,19.6364,112.26,-257258.1596,20.8267,20.9205,20.9186,1.3697,0.0,4.81,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,21.00,-0.20,261,6.4110,66.96%,22.33%,44.63%,33.04%,0.00%,0.00%,-,10.00,2.46,37.01,29 Oct 2024,31 Dec 2024,8.54,20.45,929799120.00,Z-EQ,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,1125.91,-,17.4,0.0,17.4,6.722,384847.0,60.5964,-66.6667,17.095,15.042,12.8345,17.272,17.2004,16.5681,0.6324,0.7729,18.827,15.363,119.19,-286687.3717,17.2556,17.3308,17.3371,1.5379,0.0,0.57,1.988,-,1.236,-,-,-,0.200,-,-,-,-,17.40,0.00,190,6.7220,69.99%,33.68%,36.31%,30.01%,0.00%,0.00%,-,-,0.00,0.00,-,-,-,-,647074420.00,Z-EQ,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,980.27,-,4.1,2.5,4.1,65.692,15569593.0,72.3854,-25.0,3.505,3.324,3.0035,3.7695,3.7067,3.5301,0.1766,0.1218,4.0725,2.9375,578.39,3593995.3886,3.8133,3.7718,3.6433,1.2218,0.0,-,-,-,-,-,-,-,-,-,-,-,-,4.00,0.10,"1,372",65.6920,84.49%,13.20%,71.29%,15.51%,0.00%,0.00%,-,-,-1.37,8.69,25 Sep 2024,-,-,-,2390903960.00,A-MF,239090396
ABBANK,AB Bank PLC,Bank,Z,4568.04,-,5.1,4.08,5.1,7.049,1385576.0,62.018,-25.0,4.92,4.678,5.042,4.9447,4.932,4.8864,0.0455,0.039,5.0592,4.7808,19.48,-885982.3579,4.9489,4.9359,4.9229,1.7446,0.0,-,-,-,-,-,1.242,1.343,-,-,1.199,-,-,4.90,0.20,423,7.0490,80.48%,35.15%,44.79%,18.95%,0.57%,0.54%,-,-,-43.42,-36.24,03 May 2026,18 Jun 2026,-,-,8956947490.00,Z-EQ,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,6053.59,-,0.0,0.0,1060.0,0.0,0.0,63.0051,-25.0,1068.0,1047.2,0.0,1048.3281,1041.8432,1008.2701,33.5732,35.131,1136.8491,999.1509,11.5,4204.2088,1067.1111,1069.8718,1070.619,0.002,0.0,0.09,-,-,-,-,-,-,-,-,-,-,-,1060.00,0.00,0,0.0000,100.00%,94.73%,5.27%,0.00%,0.00%,0.00%,-,10.00,0.00,0.00,10 Dec 2025,-,-,-,57109360.00,A-CB,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,2359.5,110.95,23.4,0.43,23.4,0.819,35039.0,49.4079,-63.8889,23.79,22.702,19.2385,23.581,23.6217,23.4681,0.1536,0.3153,24.3005,23.2795,29.35,-54946.7392,23.5444,23.5974,23.6895,1.1943,0.0,4.27,2.961,-,1.970,-,-,-,-,-,-,-,-,23.30,0.10,53,0.8190,50.42%,11.67%,38.65%,49.58%,0.00%,0.10%,-,10.00,0.21,33.63,27 Oct 2025,29 Dec 2025,110.95,249.64,1008333330.00,A-EQ,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,17768.38,-,202.3,-1.8,202.3,12.003,59001.0,54.1369,-63.1944,201.455,194.714,194.328,203.8756,203.2559,200.3555,2.9004,2.9044,209.7108,193.1992,29.26,-91029.3559,204.6667,204.359,203.2638,1.1429,0.0,1.24,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,206.00,-3.70,489,12.0030,52.73%,34.59%,18.14%,47.27%,0.00%,0.00%,-,25.00,-7.40,91.64,29 Oct 2025,28 Dec 2025,-,-,878318430.00,A-EQ,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,8367.98,23.18,177.1,-2.69,177.1,106.993,595586.0,67.9086,-31.2661,160.595,149.194,139.0275,173.1179,169.963,160.6848,9.2782,6.716,186.9935,134.1965,190.4,913125.8882,176.8067,173.0641,166.6762,1.2777,0.0,1.41,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,182.00,-4.90,"2,594",106.9930,33.98%,24.23%,9.75%,66.02%,0.00%,0.00%,-,25.00,7.85,75.51,29 Oct 2025,28 Dec 2025,23.18,16.53,472500000.00,A-EQ,47250000
