Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),EPS,NAV(Year End),Audited PE,Forward PE,PaidUp Capital,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,898.76,-,3.1,3.33,3.1,2.738,891625.0,54.4721,-55.5556,2.975,2.742,2.9605,3.1153,3.0951,2.9752,0.1199,0.1321,3.5549,2.3951,203.18,1294910.6634,3.16,3.1718,3.0886,1.2705,-,-,-,-,-,-,-,-,-,-,-,-,-2.24,7.54,-,-,2899233490.00,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,350.0,-,17.5,0.0,17.5,3.801,216261.0,39.2412,-95.4545,18.07,18.916,20.0935,17.9272,18.0209,18.346,-0.325,-0.2721,19.1344,17.0056,443.3,-442435.4335,17.8822,18.0256,18.0786,0.9963,-,-,-,-,-,-,-,-,-,-,-,-,-0.53,8.6,-,-,200000000.00,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1496.98,6.59,16.1,-0.62,16.1,1.92,118693.0,43.1466,-84.6154,16.535,16.574,18.1485,16.557,16.5979,16.642,-0.044,0.0251,17.8429,15.2271,57.33,-237915.8485,16.54,16.6577,16.659,1.3318,6.21,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,2.46,37.01,6.59,15.78,929799120.00,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,834.73,-,12.8,0.78,12.9,0.62,48042.0,48.9845,-69.7674,13.155,12.26,12.2515,13.3333,13.3419,13.0244,0.3175,0.4857,15.7068,10.6032,79.42,-40164.7683,13.3111,13.5577,13.49,1.515,0.78,1.988,-,1.236,-,-,-,0.200,-,-,-,-,-0.12,21.73,-,-,647074420.00,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,812.91,-,3.4,3.03,3.4,18.888,5535247.0,55.9861,-45.4545,3.165,2.894,3.144,3.3833,3.3474,3.176,0.1714,0.173,3.9225,2.4075,729.58,-336707.2985,3.4533,3.4526,3.3238,1.2398,-,-,-,-,-,-,-,-,-,-,-,-,-1.37,8.69,-,-,2390903960.00,239090396
ABBANK,AB Bank PLC,Bank,B,5015.89,-,5.6,-1.75,5.6,6.193,1102258.0,40.6481,-92.3077,6.285,5.678,5.535,5.9065,5.9866,6.045,-0.0584,0.09,7.0936,5.4764,116.85,-2566864.6233,5.8178,5.9103,6.0924,1.775,-,-,-,-,-,1.575,1.647,-,-,-,-,-,-21.28,7.19,-,-,8956947490.00,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,5710.94,-,0.0,0.0,1000.0,0.0,0.0,63.0012,0.0,996.875,997.5,0.0,987.8821,978.8428,948.3589,30.4839,24.9785,1122.2168,871.5332,25.22,-269.4168,1000.0,1000.0,999.7024,0.0185,0.10,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,57109360.00,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,1774.67,85.71,17.8,-2.22,17.6,0.062,3523.0,48.7001,-57.1429,17.59,17.588,17.8805,17.7681,17.7502,17.6955,0.0547,0.0411,18.3181,16.8619,6.84,9285.4766,17.82,17.8103,17.7129,1.21,5.68,2.961,-,1.970,-,-,-,-,-,-,-,-,0.21,33.63,85.71,100.00,1008333330.00,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,17390.7,-,198.0,0.0,198.0,8.398,42295.0,40.808,-92.9825,204.245,208.412,191.5525,200.2688,201.4597,204.7926,-3.3329,-2.286,215.3863,193.1037,39.69,-94097.8518,198.8289,199.941,202.1995,1.0883,1.26,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,-7.4,91.64,-,135.62,878318430.00,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,6416.55,17.27,135.8,0.15,135.8,1.824,13391.0,41.7579,-74.4444,138.9,139.188,135.8345,137.3992,137.9107,139.0065,-1.0957,-0.488,143.5253,134.2747,20.06,-13110.9292,136.8867,137.391,138.2029,1.2164,1.84,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,7.85,75.51,17.27,10.43,472500000.00,47250000
