Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI[14],Willams %R[14],SMA[20],SMA[50],SMA[200],EMA[9],EMA[12],EMA[26],"MACD[12,26]",MACD Signal[9],"BB Upper[20,2]","BB Lower[20,2]",TV[22],"CO[3,10]",WMA[9],WMA[12],WMA[20],Beta[5],VWMA[20],VWMA[50],VWMA[200],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),YCP,Change,Trade,Value (Turnover)(mn),Free Float,Institute Share %,Public Share %,Sponsor Director Share %,Govt. Share %,Foreign Share %,Stock Dividend,Cash Dividend,EPS,NAV(Year End),Last Dividend Date,Last AGM Date,Audited PE,Forward PE,PaidUp Capital,Quote Bases,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,1101.71,-,3.80,-2.56,3.80,4.9830,"1,297,554",51.9858,-83.3333,3.8600,3.4360,2.9330,3.9209,3.9070,3.7580,0.1491,0.1887,4.3643,3.3557,367.1400,1250453.1815,3.9378,3.9590,3.9410,1.2966,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,3.90,-0.10,230,4.9830,75.00%,28.78%,46.22%,25.00%,0.00%,0.00%,-,-,-2.24,7.54,15 Sep 2024,-,-,-,2899233490.00,A-MF,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,494.00,-,24.70,-0.40,24.70,13.0090,"527,812",54.4162,-55.8824,24.3600,22.9760,20.0985,24.8031,24.7240,24.2016,0.5224,0.5945,25.8878,22.8322,995.5700,-904227.7965,24.9756,24.9205,24.6405,0.9711,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,24.80,-0.10,404,13.0090,98.00%,23.98%,74.01%,2.00%,0.00%,0.01%,-,-,-0.53,8.60,01 Feb 2026,-,-,10.25,200000000.00,A-MF,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1896.79,8.41,20.40,-1.45,20.40,5.9250,"288,286",45.9553,-88.2353,20.8600,20.1720,17.9115,20.8355,20.8590,20.6987,0.1603,0.2872,21.4418,20.2782,92.0200,-564741.5480,20.8489,20.8833,20.8990,1.3596,0.0000,0.0000,0.0000,4.90,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,20.70,-0.30,350,5.9250,66.96%,21.95%,45.01%,33.04%,0.00%,0.00%,-,10.00,2.46,37.01,29 Oct 2024,31 Dec 2024,8.41,20.16,929799120.00,Z-EQ,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,1475.33,-,22.80,0.44,22.80,6.9360,"303,005",75.3023,-20.0000,20.0850,17.5480,13.3910,22.0095,21.5918,19.9720,1.6198,1.4647,24.6060,15.5640,122.1900,234566.2167,22.5044,22.2192,21.2600,1.5065,0.0000,0.0000,0.0000,0.44,1.988,-,1.236,-,-,-,0.200,-,-,-,-,22.70,0.10,339,6.9360,69.99%,32.06%,37.93%,30.01%,0.00%,0.00%,-,-,0.00,0.00,-,-,-,-,647074420.00,Z-EQ,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,932.45,-,3.90,0.00,3.90,6.5110,"1,658,700",51.6158,-83.3333,3.9750,3.5820,3.0710,3.9834,3.9787,3.8649,0.1139,0.1573,4.3470,3.6030,651.9600,-4248888.9644,3.9933,4.0141,4.0143,1.2433,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,3.90,0.00,119,6.5110,84.49%,13.20%,71.29%,15.51%,0.00%,0.00%,-,-,-1.37,8.69,25 Sep 2024,-,-,-,2390903960.00,A-MF,239090396
ABBANK,AB Bank PLC,Bank,Z,4388.90,-,5.00,-2.00,4.90,2.6370,"537,935",47.1418,-75.0000,4.9700,4.8600,5.0000,4.9475,4.9501,4.9380,0.0121,0.0235,5.1165,4.8235,19.2500,-269884.9391,4.9356,4.9436,4.9619,1.7329,0.0000,0.0000,0.0000,-,-,-,-,-,1.242,1.343,-,-,1.199,-,-,5.00,-0.10,166,2.6370,80.48%,35.25%,44.69%,18.95%,0.57%,0.54%,-,-,-43.42,-36.24,03 May 2026,18 Jun 2026,-,-,8956947490.00,Z-EQ,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,6053.59,-,0.00,0.00,1060.00,0.0000,0,63.0051,-25.0000,1068.0000,1047.2000,0.0000,1048.3281,1041.8432,1008.2701,33.5732,35.1310,1136.8491,999.1509,11.5000,4204.2088,1067.1111,1069.8718,1070.6190,0.0020,0.0000,0.0000,0.0000,0.09,-,-,-,-,-,-,-,-,-,-,-,1060.00,0.00,0,0.0000,100.00%,94.73%,5.27%,0.00%,0.00%,0.00%,-,10.00,0.00,0.00,10 Dec 2025,-,-,-,57109360.00,A-CB,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,2379.67,112.86,23.60,-0.42,23.60,1.8290,"76,902",49.3635,-51.6129,23.6400,23.8000,19.6115,23.7454,23.7440,23.6547,0.0893,0.1281,24.5424,22.7376,29.6000,-78336.3581,23.7511,23.8128,23.7329,1.1973,0.0000,0.0000,0.0000,4.24,2.961,-,1.970,-,-,-,-,-,-,-,-,23.70,-0.10,80,1.8290,50.42%,11.65%,38.67%,49.58%,0.00%,0.10%,-,10.00,0.21,33.63,27 Oct 2025,29 Dec 2025,112.86,253.93,1008333330.00,A-EQ,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,17408.27,-,198.20,-0.65,198.20,12.2450,"61,701",44.4331,-88.0000,201.7600,198.3020,195.8770,200.3182,200.6267,200.5748,0.0519,0.7539,206.6934,196.8266,27.1900,-62202.1280,200.1978,200.5833,201.0010,1.1406,0.0000,0.0000,0.0000,1.26,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,199.50,-1.30,618,12.2450,52.73%,34.34%,18.39%,47.27%,0.00%,0.00%,-,25.00,-7.40,91.64,29 Oct 2025,28 Dec 2025,-,-,878318430.00,A-EQ,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,8419.95,22.18,178.20,2.35,178.20,137.0130,"769,489",60.3089,-31.4607,175.1850,159.3160,141.5485,174.5430,173.9589,169.6789,4.2800,5.0114,184.9645,165.4055,347.3900,-140133.9707,174.6600,174.4308,174.3281,1.2870,0.0000,0.0000,0.0000,1.40,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,174.10,4.10,"2,428",137.0130,33.98%,21.87%,12.11%,66.02%,0.00%,0.00%,-,25.00,7.85,75.51,29 Oct 2025,28 Dec 2025,22.18,15.81,472500000.00,A-EQ,47250000
