Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),EPS,NAV(Year End),Audited PE,Forward PE,PaidUp Capital,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,782.79,-,2.7,0.0,2.7,0.704,257400.0,50.9575,-100.0,2.745,2.576,3.014,2.7471,2.7421,2.685,0.0572,0.0733,3.0084,2.4816,124.67,-1292576.6027,2.7511,2.7577,2.7695,1.2151,-,-,-,-,-,-,-,-,-,-,-,-,-2.24,7.54,-,-,2899233490.00,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,362.0,-,18.1,-0.55,18.1,4.503,247211.0,34.8035,-96.2963,19.305,19.57,20.2365,18.8216,18.952,19.2405,-0.2885,-0.1378,20.3651,18.2449,588.74,-406413.1478,18.7022,18.8474,19.1148,1.0584,-,-,-,-,-,-,-,-,-,-,-,-,-0.53,8.6,-,-,200000000.00,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1496.98,6.59,16.1,-0.62,16.1,1.813,112046.0,42.6786,-95.2381,16.66,16.854,18.151,16.5798,16.6248,16.7024,-0.0776,-0.0153,17.8233,15.4967,49.56,-155593.1954,16.5644,16.6462,16.7376,1.3347,6.21,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,2.46,37.01,6.59,15.78,929799120.00,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,776.49,-,12.0,0.84,12.0,0.385,32165.0,52.7265,-70.0,11.915,11.572,12.123,12.0391,12.0128,11.8477,0.1651,0.185,12.7051,11.1249,36.23,-110095.0284,12.0644,12.0654,12.04,1.4999,0.83,1.988,-,1.236,-,-,-,0.200,-,-,-,-,-0.12,21.73,-,-,647074420.00,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,669.45,-,2.8,0.0,2.8,7.775,2763554.0,50.408,-83.3333,2.83,2.678,3.2655,2.8644,2.8555,2.7937,0.0618,0.0715,3.1615,2.4985,351.55,-1985371.1051,2.8756,2.8718,2.871,1.2268,-,-,-,-,-,-,-,-,-,-,-,-,-1.37,8.69,-,-,2390903960.00,239090396
ABBANK,AB Bank PLC,Bank,B,6180.29,-,6.9,-1.43,6.9,41.2,5891289.0,68.6514,-42.1053,6.03,4.972,5.584,6.6562,6.5111,5.9084,0.6027,0.5678,7.9074,4.1526,137.75,846773.6134,6.7667,6.7269,6.4695,1.7898,-,-,-,-,-,1.575,1.647,-,-,-,-,-,-21.28,7.19,-,-,8956947490.00,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,5710.94,-,1000.0,0.0,1000.0,15.0,15000.0,63.0012,0.0,993.75,997.5,0.0,970.4152,958.7276,929.7428,28.9847,16.9577,1148.6337,838.8663,15.73,-600.3748,984.7222,986.3782,990.1786,0.0188,0.10,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,57109360.00,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,1744.42,82.86,17.4,-0.57,17.3,0.109,6307.0,42.1645,-70.8333,17.735,17.606,17.616,17.6585,17.6915,17.6935,-0.002,0.0696,18.7492,16.7208,9.82,-62154.8037,17.6422,17.7103,17.7929,1.2986,5.78,2.447,-,1.271,-,-,-,-,-,-,-,-,0.21,33.63,82.86,96.67,1008333330.00,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,18497.39,-,210.6,-0.28,210.6,41.236,195641.0,48.1697,-77.2727,212.915,206.46,188.0415,216.5974,216.2172,212.6697,3.5476,4.3822,232.3448,193.4852,99.05,67410.62,217.76,218.3013,216.3595,1.0897,1.19,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,-7.4,91.64,-,144.66,878318430.00,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,6737.85,18.09,142.5,0.42,142.6,7.737,54172.0,51.8046,-77.1739,143.095,135.99,134.537,144.7548,144.4713,141.6814,2.7899,3.4803,154.1443,132.0457,46.79,-6789.5005,145.3378,145.7231,145.0333,1.263,1.75,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,7.85,75.51,18.09,10.92,472500000.00,47250000
