Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),EPS,NAV(Year End),Audited PE,Forward PE,PaidUp Capital,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,666.82,-,2.3,-4.17,2.3,1.361,589737.0,33.3453,-100.0,2.54,2.57,3.145,2.4356,2.461,2.5301,-0.0691,-0.046,2.7685,2.3115,43.5,-1061216.7567,2.4178,2.4385,2.4857,1.1724,-,-,-,-,-,-,-,-,-,-,-,-,-2.24,7.54,-,-,2899233490.00,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,388.0,-,19.4,-0.51,19.4,4.18,215148.0,46.611,-88.8889,19.85,19.162,20.2925,19.7734,19.7929,19.6914,0.1015,0.1919,20.6381,19.0619,766.64,-118738.5958,19.8156,19.8679,19.8638,1.1165,-,-,-,-,-,-,-,-,-,-,-,-,-3.45,9.13,-,31.12,200000000.00,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1543.47,6.83,16.6,-1.19,16.6,0.807,48257.0,36.3426,-70.3704,17.315,17.47,18.85,16.9956,17.0894,17.356,-0.2666,-0.1862,18.2054,16.4246,25.35,-71065.9563,16.8778,17.0167,17.2105,1.3081,6.02,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,2.46,37.01,6.83,16.36,929799120.00,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,731.19,-,11.4,-1.74,11.3,0.467,41224.0,49.0939,-70.5882,11.34,11.06,12.472,11.4443,11.4392,11.3562,0.083,0.1109,12.3185,10.3615,15.13,-2517.9826,11.4289,11.5167,11.4781,1.4813,0.88,1.988,-,1.236,-,-,-,0.200,-,-,-,-,-0.12,21.73,-,-,647074420.00,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,597.73,-,2.5,0.0,2.5,0.98,392035.0,36.5295,-75.0,2.605,2.66,3.551,2.5426,2.56,2.617,-0.057,-0.0457,2.7568,2.4532,61.24,-1137257.6495,2.5244,2.5449,2.5738,1.1492,-,-,-,-,-,-,-,-,-,-,-,-,-1.37,8.69,-,-,2390903960.00,239090396
ABBANK,AB Bank PLC,Bank,B,3761.92,-,4.2,-2.33,4.2,1.083,254770.0,46.0745,-71.4286,4.245,4.328,5.8225,4.2638,4.2665,4.3023,-0.0357,-0.0465,4.455,4.035,26.89,-1081818.4726,4.2689,4.2782,4.2624,1.7605,-,-,-,-,-,1.575,1.647,-,-,-,-,-,-21.28,7.19,-,-,8956947490.00,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,5710.94,-,0.0,0.0,1000.0,0.0,0.0,69.847,0.0,951.55,872.98,0.0,934.1283,920.7205,902.6012,18.1193,-2.7986,1082.6367,820.4633,0.02,-1609.0983,960.0,957.6923,955.0405,0.041,0.10,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,57109360.00,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,1704.08,80.95,16.9,-0.59,16.9,0.359,21305.0,29.1746,-87.5,17.635,18.266,17.521,17.2395,17.3483,17.7031,-0.3547,-0.2826,18.4436,16.8264,7.49,-22253.1144,17.1267,17.2462,17.4576,1.303,5.92,2.447,-,1.271,-,-,-,-,-,-,-,-,0.21,33.63,80.95,38.64,1008333330.00,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,18585.22,-,211.6,-0.24,211.6,56.475,268339.0,74.5341,-6.8627,198.635,188.428,184.056,203.957,202.3894,197.0664,5.323,4.3854,209.5789,187.6911,41.1,354949.9876,205.0667,203.5782,200.8862,1.0609,1.18,0.689,0.811,0.402,-,0.053,-,0.239,-,-,-,-,-7.4,91.64,-,135.96,878318430.00,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,6430.73,17.22,136.1,0.67,136.1,7.154,52398.0,65.9552,-23.7288,129.92,128.586,133.3335,131.6212,131.1322,130.2394,0.8929,0.2392,134.226,125.614,10.72,13936.1149,131.7511,131.2423,130.5219,1.241,1.84,1.224,-,0.908,-,0.118,0.066,0.289,0.043,0.100,-,-,7.85,75.51,17.22,18.27,472500000.00,47250000
