Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),EPS,NAV(Year End),Audited PE,Forward PE,PaidUp Capital,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,753.8,-,2.6,0.0,2.6,0.057,21888,47.5982,-75.0,2.63,2.648,3.1815,2.622,2.6278,2.6392,-0.0114,-0.0041,2.8257,2.4343,40.08,-300546.4345,2.6133,2.6346,2.6414,1.1526,-,-,-,-,-,-,-,-,-,-,-,-,-2.24,7.54,-,-,2899233490.00,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,394.0,-,19.7,0.51,19.7,3.931,199251,53.0626,-72.7273,19.305,19.2,20.294,19.6663,19.6112,19.4233,0.1879,0.1555,20.9056,17.7044,628.56,-318368.4641,19.7111,19.7782,19.5948,1.0801,-,-,-,-,-,-,-,-,-,-,-,-,-3.45,9.13,-,31.28,200000000.00,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1664.34,7.15,17.9,1.7,17.9,2.329,129714,52.7305,-28.5714,17.615,18.06,19.215,17.5824,17.5737,17.6857,-0.112,-0.1839,18.2902,16.9398,22.63,-34098.9953,17.5467,17.5103,17.5648,1.2551,5.59,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,2.46,37.01,7.15,17.14,929799120.00,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,750.61,-,11.7,4.5,11.6,1.442,124820,58.4615,-26.6667,10.945,11.17,12.6745,11.0819,11.0479,11.0536,-0.0057,-0.0831,11.669,10.221,15.9,18254.9323,11.0689,11.0269,11.0095,1.4159,0.86,1.988,-,1.236,-,-,-,0.200,-,-,-,-,-0.12,21.73,-,-,647074420.00,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,621.64,-,2.6,0.0,2.6,1.103,423805,42.0393,-80.0,2.69,2.738,3.5865,2.644,2.6574,2.6962,-0.0388,-0.0278,2.8476,2.5324,98.0,-851105.5081,2.6267,2.6462,2.6748,1.105,-,-,-,-,-,-,-,-,-,-,-,-,-1.37,8.69,-,-,2390903960.00,239090396
ABBANK,AB Bank PLC,Bank,B,3672.35,-,4.2,-2.38,4.1,6.779,1659796,40.84,-83.3333,4.25,4.52,5.9985,4.1966,4.2181,4.3259,-0.1078,-0.1111,4.45,4.05,27.85,-371360.359,4.1756,4.1923,4.229,1.7108,-,-,-,-,-,1.575,1.647,-,-,-,-,-,-21.28,7.19,-,-,8956947490.00,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,5710.94,-,0.0,0.0,1000.0,0.0,0,69.847,0.0,951.55,872.98,0.0,934.1283,920.7205,902.6012,18.1193,-2.7986,1082.6367,820.4633,0.02,-1609.0983,960.0,957.6923,955.0405,0.041,0.10,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,57109360.00,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,1815.0,85.71,18.0,0.0,18.0,0.376,20928,44.954,-62.5,18.125,18.478,17.5645,17.974,18.0172,18.2159,-0.1987,-0.1974,19.0784,17.1716,17.15,-33308.901,17.9311,17.9308,17.9814,1.2147,5.56,2.447,-,1.271,-,-,-,-,-,-,-,-,0.21,33.63,85.71,40.91,1008333330.00,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,17092.08,-,194.6,0.21,194.6,7.264,37345,62.7364,-46.7033,190.8,182.25,182.0475,194.1511,193.4317,189.5164,3.9153,4.1777,204.0268,177.5732,22.35,-31629.5905,194.7378,195.0449,193.6286,1.0168,1.28,0.689,0.811,0.402,-,0.053,-,0.239,-,-,-,-,-7.4,91.64,-,124.49,878318430.00,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,6043.28,16.28,127.9,0.08,127.9,1.892,14777,45.9719,-69.4737,128.925,129.828,133.1555,128.9794,129.014,129.2051,-0.1911,-0.2051,132.1111,125.7389,10.9,-12879.9433,129.0089,129.1551,129.1281,1.2057,1.95,1.224,-,0.908,-,0.118,0.066,0.289,0.043,0.100,-,-,7.85,75.51,16.28,17.27,472500000.00,47250000
ACMELAB,The ACME Laboratories Limited,Pharmaceuticals & Chemicals,A,15002.56,6.13,70.9,0.71,70.9,5.272,74669,46.8343,-46.5116,70.72,72.842,74.8705,70.5438,70.6275,71.3695,-0.742,-0.9073,72.572,68.868,15.04,-69859.5537,70.3711,70.3808,70.5462,1.1889,4.94,1.108,0.270,0.711,-,0.111,0.077,0.415,0.044,0.098,-,-,11.48,126.37,6.13,5.85,2116017000.00,211601700
ACMEPL,Acme Pesticides Limited,Pharmaceuticals & Chemicals,B,2146.5,-,15.9,-0.62,15.9,15.883,993921,47.3286,-75.0,16.635,15.822,14.664,16.0542,16.1219,16.1562,-0.0343,0.0982,18.2182,15.0518,699.34,-2261585.2258,15.9356,15.9744,16.2757,1.6905,0.01,4.414,0.100,2.581,-,-,-,0.016,-,-,-,-,-1.14,16.41,-,-,1350000000.00,135000000
ACTIVEFINE,Active Fine Chemicals Limited,Pharmaceuticals & Chemicals,Z,1319.65,50.91,5.5,-1.79,5.5,1.268,230252,31.7593,-90.9091,5.985,6.288,8.1255,5.7911,5.8492,6.0492,-0.2,-0.1665,6.4264,5.5436,15.83,-211450.5252,5.7378,5.7987,5.9052,1.4921,0.45,-,-,-,-,-,-,-,-,-,-,-,0.11,22.07,50.91,35.00,2399365800.00,239936580
ADNTEL,ADN Telecom Limited,IT Sector,A,3736.87,22.75,57.8,-0.34,57.8,6.323,109144,48.2618,-42.4658,57.515,59.408,70.8145,57.4439,57.4483,58.1976,-0.7494,-1.0925,60.5309,54.4991,62.97,-6264.7864,57.3489,57.1269,57.231,1.2936,1.73,2.057,-,2.048,0.146,0.164,0.100,0.385,0.047,0.074,-,-,2.55,32.82,22.75,21.97,646516660.00,64651666
ADVENT,Advent Pharma Limited,Pharmaceuticals & Chemicals,Z,1238.67,14.67,13.3,0.76,13.3,0.48,36213,45.1612,-66.6667,13.51,13.672,14.675,13.313,13.3507,13.4941,-0.1434,-0.128,14.0407,12.9793,37.29,-105989.3861,13.2489,13.2897,13.4086,1.363,0.38,1.282,0.005,0.926,-,0.265,0.147,0.399,0.045,0.057,-,-,0.72,16.43,14.67,22.00,931327320.00,93132732
AFCAGRO,AFC Agro Biotech Limited,Pharmaceuticals & Chemicals,Z,576.08,22.73,5.0,0.0,5.0,0.277,55518,41.8628,-73.3333,5.3,5.332,7.633,5.1491,5.185,5.2992,-0.1143,-0.0893,5.8731,4.7269,15.43,-139879.7847,5.1022,5.1397,5.2343,1.4908,1.00,5.609,-,4.057,-,0.066,0.036,0.232,0.010,0.012,-,-,0.22,18.19,22.73,22.06,1152162000.00,115216200
AFTABAUTO,Aftab Automobiles Limited,Engineering,A,3556.87,-,33.7,-0.59,33.7,14.196,420249,45.3078,-62.8571,34.3,34.942,33.3955,33.7607,33.8839,34.4019,-0.518,-0.4913,36.2989,32.3011,175.48,-522079.1756,33.5778,33.5936,33.8805,1.276,2.97,1.925,1.997,1.806,-,-,-,0.267,-,-,-,-,-1.37,47.57,-,-,1055449950.00,105544995
AGNISYSL,Agni Systems PLC.,IT Sector,B,1501.91,25.43,20.7,0.49,20.7,5.779,281250,45.2705,-55.5556,21.005,21.47,25.126,20.6831,20.748,21.0613,-0.3132,-0.318,22.0583,19.9517,141.64,-225301.0927,20.5489,20.6115,20.8252,1.2724,1.21,4.147,-,4.091,0.135,0.140,0.123,0.318,0.059,0.069,-,-,0.81,16.95,25.43,15.15,725561920.00,72556192
AGRANINS,Agrani Insurance PLC.,Insurance,A,788.81,14.03,21.9,1.39,21.9,0.61,28137,51.2263,-65.2174,21.685,22.21,24.333,21.6836,21.6798,21.7836,-0.1038,-0.1609,22.6908,20.6792,29.64,-34081.5488,21.6089,21.6641,21.7319,1.3432,2.74,-,-,-,-,-,-,-,-,-,-,-,1.54,19.81,14.03,108.00,360186980.00,36018698
AIBL1STIMF,AIBL 1st Islamic Mutual Fund,Mutual Funds,A,340.0,68.00,3.4,0.0,3.4,0.339,99770,46.7247,-66.6667,3.42,3.508,5.2235,3.4257,3.4268,3.4506,-0.0238,-0.0328,3.5431,3.2969,54.89,18426.2553,3.4244,3.4295,3.4267,0.798,-,-,-,-,-,-,-,-,-,-,-,-,0.05,10.27,68.00,38.64,1000000000.00,100000000
AIBLPBOND,AIBL Mudaraba Perpetual Bond,Corporate Bond,A,345.0,-,0.0,0.0,3450.0,0.0,0,24.2593,-100.0,3735.0,3961.41,4505.1725,3890.9447,3994.7201,4254.0665,-259.3464,-153.4928,4583.7528,2886.2472,0.04,-0.5319,3603.3333,3636.5385,3689.7619,0.0632,0.03,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,1000000.00,100000
