Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),EPS,NAV(Year End),Audited PE,Forward PE,PaidUp Capital,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,898.76,-,3.1,3.33,3.1,1.652,536984.0,53.2513,-66.6667,3.085,2.946,2.9345,3.0581,3.06,3.0337,0.0262,0.0428,3.2826,2.8874,149.77,-484764.9547,3.0511,3.0526,3.0614,1.2548,-,-,-,-,-,-,-,-,-,-,-,-,-2.24,7.54,-,-,2899233490.00,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,388.0,-,19.5,1.57,19.4,6.243,323173.0,53.843,-50.0,18.75,18.778,20.15,19.306,19.2158,18.9425,0.2734,0.2041,20.6177,16.8823,748.55,-465271.2344,19.4644,19.4449,19.1233,0.9538,-,-,-,-,-,-,-,-,-,-,-,-,-0.53,8.6,-,-,200000000.00,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1496.98,6.63,16.1,-1.23,16.1,2.316,142991.0,43.2761,-91.6667,16.46,16.614,18.124,16.4456,16.4624,16.5113,-0.0489,-0.0351,17.0561,15.8639,62.58,-271158.1232,16.4867,16.4833,16.4476,1.3386,6.21,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,2.46,37.01,6.63,15.88,929799120.00,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,834.73,-,12.9,-0.77,12.9,0.405,31475.0,47.0092,-94.7368,13.165,12.824,12.376,13.1182,13.1453,13.1129,0.0324,0.107,13.6893,12.6407,39.98,-97357.0886,13.1289,13.1359,13.1438,1.5286,0.78,1.988,-,1.236,-,-,-,0.200,-,-,-,-,-0.12,21.73,-,-,647074420.00,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,765.09,-,3.2,3.23,3.2,5.652,1792898.0,48.2782,-80.0,3.335,3.12,3.079,3.2314,3.25,3.2415,0.0085,0.0535,3.6413,3.0287,652.85,-3355592.2533,3.2067,3.2346,3.279,1.2329,-,-,-,-,-,-,-,-,-,-,-,-,-1.37,8.69,-,-,2390903960.00,239090396
ABBANK,AB Bank PLC,Bank,B,4926.32,-,5.5,-1.79,5.5,4.493,812433.0,39.9278,-91.6667,5.825,6.128,5.524,5.6883,5.7355,5.8619,-0.1264,-0.082,6.2449,5.4051,54.73,-1937096.1277,5.6511,5.6923,5.771,1.7892,-,-,-,-,-,1.575,1.647,-,-,-,-,-,-21.28,7.19,-,-,8956947490.00,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,5996.48,-,0.0,0.0,1050.0,0.0,0.0,70.3099,0.0,1032.5,1010.5,0.0,1029.6452,1019.1351,980.8248,38.3103,33.2576,1116.4231,948.5769,27.81,-98.8014,1050.0,1050.0,1043.3333,0.0353,0.10,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,57109360.00,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,1835.17,85.71,18.2,1.11,18.2,0.561,31317.0,54.0144,-47.3684,18.04,17.842,18.087,18.1496,18.1239,17.9984,0.1255,0.1281,18.482,17.598,11.47,-40200.9464,18.1933,18.1782,18.1143,1.1842,5.49,2.961,-,1.970,-,-,-,-,-,-,-,-,0.21,33.63,85.71,100.00,1008333330.00,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,17847.43,-,204.0,-0.29,203.2,11.652,57331.0,46.9992,-82.5397,204.075,207.978,193.8445,204.3606,204.5233,205.177,-0.6537,-0.6038,212.2563,195.8937,25.85,-72410.8953,204.1444,204.6,204.841,1.0999,1.23,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,-7.4,91.64,-,139.59,878318430.00,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,6723.68,18.33,141.0,-1.11,142.3,6.565,45843.0,51.2411,-76.5027,141.0,141.696,137.2175,143.0989,142.7439,141.6049,1.139,0.8953,148.7742,133.2258,23.91,-15131.6332,143.9156,143.4667,142.3662,1.233,1.76,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,7.85,75.51,18.33,11.07,472500000.00,47250000
