Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],VWMA [20],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),YCP,Change,Trade,Value (Turnover)(mn),Free Float,Institute Share %,Public Share %,Sponsor Director Share %,Govt. Share %,Foreign Share %,Stock Dividend,Cash Dividend,EPS,NAV(Year End),Last Dividend Date,Last AGM Date,Audited PE,Forward PE,PaidUp Capital,Quote Bases,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,1130.7,-,3.9,-2.5,3.9,30.598,7852132.0,73.3879,-10.0,3.35,3.162,2.87,3.6089,3.543,3.3677,0.1754,0.1133,3.8792,2.8208,213.88,7923301.6754,3.6444,3.591,3.4729,1.2633,0.0,-,-,-,-,-,-,-,-,-,-,-,-,4.00,-0.10,722,30.5980,75.00%,28.78%,46.22%,25.00%,0.00%,0.00%,-,-,-2.24,7.54,15 Sep 2024,-,-,-,2899233490.00,A-MF,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,478.0,-,23.9,-1.24,23.9,10.133,421175.0,56.0981,-68.9655,24.06,21.316,19.913,24.0125,23.9557,23.2305,0.7252,0.9417,25.431,22.689,1316.2,-855076.1089,23.9667,24.0654,24.1357,0.9656,0.0,-,-,-,-,-,-,-,-,-,-,-,-,24.20,-0.30,394,10.1330,98.00%,31.36%,66.63%,2.00%,0.00%,0.01%,-,-,-0.53,8.60,01 Feb 2026,-,-,12.35,200000000.00,A-MF,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1906.09,8.46,20.5,-1.44,20.5,5.112,248648.0,53.3379,-80.6452,20.825,18.872,17.9255,20.7748,20.7564,20.2753,0.4811,0.6671,21.8363,19.8137,112.21,-270895.2037,20.7311,20.8385,20.8919,1.3695,0.0,4.88,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,20.80,-0.30,301,5.1120,66.96%,22.33%,44.63%,33.04%,0.00%,0.00%,-,10.00,2.46,37.01,29 Oct 2024,31 Dec 2024,8.46,20.26,929799120.00,Z-EQ,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,1138.85,-,17.6,1.15,17.6,3.779,214484.0,62.4069,-57.1429,17.24,15.156,12.855,17.3376,17.2619,16.6445,0.6174,0.7418,18.5657,15.9143,120.36,-269252.7098,17.3178,17.3487,17.3852,1.5334,0.0,0.57,1.988,-,1.236,-,-,-,0.200,-,-,-,-,17.40,0.20,182,3.7790,69.99%,33.68%,36.31%,30.01%,0.00%,0.00%,-,-,0.00,0.00,-,-,-,-,647074420.00,Z-EQ,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,956.36,-,4.0,-2.44,4.0,33.745,8416475.0,67.1823,-33.3333,3.545,3.344,3.0075,3.8156,3.7519,3.565,0.1869,0.1348,4.1343,2.9557,620.51,1826110.3917,3.8622,3.8179,3.6905,1.2234,0.0,-,-,-,-,-,-,-,-,-,-,-,-,4.10,-0.10,629,33.7450,84.49%,13.20%,71.29%,15.51%,0.00%,0.00%,-,-,-1.37,8.69,25 Sep 2024,-,-,-,2390903960.00,A-MF,239090396
ABBANK,AB Bank PLC,Bank,Z,4478.47,-,5.0,-1.96,5.0,1.946,385266.0,55.7799,-50.0,4.92,4.686,5.0385,4.9558,4.9424,4.8948,0.0476,0.0407,5.0592,4.7808,19.64,-857805.1895,4.9644,4.9487,4.9305,1.7445,0.0,-,-,-,-,-,1.242,1.343,-,-,1.199,-,-,5.10,-0.10,174,1.9460,80.48%,35.15%,44.79%,18.95%,0.57%,0.54%,-,-,-43.42,-36.24,03 May 2026,18 Jun 2026,-,-,8956947490.00,Z-EQ,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,6053.59,-,0.0,0.0,1060.0,0.0,0.0,63.0051,-25.0,1068.0,1047.2,0.0,1048.3281,1041.8432,1008.2701,33.5732,35.131,1136.8491,999.1509,11.5,4204.2088,1067.1111,1069.8718,1070.619,0.002,0.0,0.09,-,-,-,-,-,-,-,-,-,-,-,1060.00,0.00,0,0.0000,100.00%,94.73%,5.27%,0.00%,0.00%,0.00%,-,10.00,0.00,0.00,10 Dec 2025,-,-,-,57109360.00,A-CB,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,2339.33,111.43,23.2,-0.85,23.2,0.964,41293.0,46.6396,-69.4444,23.755,22.794,19.259,23.5048,23.5568,23.4482,0.1086,0.274,24.3261,23.1839,28.37,-55957.1848,23.46,23.5231,23.6333,1.1935,0.0,4.31,2.961,-,1.970,-,-,-,-,-,-,-,-,23.40,-0.20,97,0.9640,50.42%,11.67%,38.65%,49.58%,0.00%,0.10%,-,10.00,0.21,33.63,27 Oct 2025,29 Dec 2025,111.43,250.71,1008333330.00,A-EQ,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,17575.15,-,200.1,-1.09,200.1,16.341,81360.0,49.8097,-78.4722,201.89,194.916,194.432,203.1205,202.7704,200.3366,2.4338,2.8103,208.7064,195.0736,30.33,-111902.1139,203.7733,203.8179,203.1348,1.1426,0.0,1.25,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,202.30,-2.20,497,16.3410,52.73%,34.59%,18.14%,47.27%,0.00%,0.00%,-,25.00,-7.40,91.64,29 Oct 2025,28 Dec 2025,-,-,878318430.00,A-EQ,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,8178.98,22.56,173.1,-2.26,173.1,66.881,386052.0,62.5899,-41.6021,162.0,149.866,139.1845,173.1143,170.4456,161.6045,8.8411,7.141,187.89,136.11,203.51,689992.0212,177.1222,174.0705,167.8671,1.279,0.0,1.44,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,177.10,-4.00,"2,045",66.8810,33.98%,24.23%,9.75%,66.02%,0.00%,0.00%,-,25.00,7.85,75.51,29 Oct 2025,28 Dec 2025,22.56,16.08,472500000.00,A-EQ,47250000
