Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),EPS,NAV(Year End),Audited PE,Forward PE,PaidUp Capital,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,666.82,-,2.4,-4.17,2.3,0.391,168678.0,40.8172,-100.0,2.43,2.534,3.113,2.365,2.3817,2.4511,-0.0694,-0.0652,2.6147,2.2453,42.41,-708736.678,2.3511,2.3564,2.3886,1.1641,-,-,-,-,-,-,-,-,-,-,-,-,-2.24,7.54,-,-,2899233490.00,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,390.0,-,19.5,1.04,19.5,6.492,332451.0,47.5686,-76.4706,19.83,19.33,20.2815,19.6398,19.6758,19.6814,-0.0056,0.0708,20.6562,19.0038,529.66,-314139.4161,19.6244,19.6385,19.7476,1.1108,-,-,-,-,-,-,-,-,-,-,-,-,-3.45,9.13,-,30.80,200000000.00,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1515.57,6.50,16.3,1.88,16.3,2.105,129209.0,38.4513,-70.0,16.99,17.264,18.593,16.5411,16.6382,16.9733,-0.3351,-0.2796,18.1396,15.8404,29.55,-83073.128,16.4756,16.5333,16.7124,1.3063,6.13,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,2.46,37.01,6.50,15.58,929799120.00,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,718.25,-,11.1,0.0,11.1,0.684,61284.0,44.7501,-90.0,11.52,11.132,12.332,11.2936,11.3213,11.3325,-0.0112,0.0444,12.1962,10.8438,19.54,-31186.3647,11.28,11.3051,11.3867,1.4734,0.90,1.988,-,1.236,-,-,-,0.200,-,-,-,-,-0.12,21.73,-,-,647074420.00,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,621.64,-,2.6,4.0,2.6,3.754,1497600.0,51.3476,-33.3333,2.565,2.644,3.509,2.5431,2.5482,2.5847,-0.0364,-0.0423,2.6992,2.4308,75.14,-1292814.0431,2.54,2.5385,2.5462,1.1555,-,-,-,-,-,-,-,-,-,-,-,-,-1.37,8.69,-,-,2390903960.00,239090396
ABBANK,AB Bank PLC,Bank,B,3851.49,-,4.3,0.0,4.3,4.854,1121543.0,50.1186,-66.6667,4.28,4.312,5.703,4.2811,4.2802,4.2949,-0.0147,-0.0236,4.4703,4.0897,27.05,-587633.6135,4.2822,4.2795,4.2833,1.7504,-,-,-,-,-,1.575,1.647,-,-,-,-,-,-21.28,7.19,-,-,8956947490.00,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,5710.94,-,0.0,0.0,1000.0,0.0,0.0,69.847,0.0,951.55,872.98,0.0,934.1283,920.7205,902.6012,18.1193,-2.7986,1082.6367,820.4633,0.02,-1609.0983,960.0,957.6923,955.0405,0.041,0.10,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,57109360.00,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,1774.67,81.90,17.3,2.33,17.6,0.256,14609.0,50.8681,-43.75,17.42,18.078,17.492,17.3423,17.3578,17.5457,-0.1879,-0.2421,18.1296,16.7104,4.07,-5583.0233,17.3467,17.309,17.3181,1.305,5.68,2.447,-,1.271,-,-,-,-,-,-,-,-,0.21,33.63,81.90,39.09,1008333330.00,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,18110.93,-,206.2,-0.29,206.2,24.293,117525.0,58.8007,-51.3089,203.795,193.122,185.5115,206.8712,206.2129,201.9967,4.2162,4.7545,215.5519,192.0381,49.63,-72241.7644,207.5711,207.809,206.2486,1.0515,1.21,0.689,0.811,0.402,-,0.053,-,0.239,-,-,-,-,-7.4,91.64,-,132.56,878318430.00,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,6307.88,16.68,133.2,1.99,133.5,3.24,24345.0,55.5986,-50.9434,131.69,129.5,133.6195,132.812,132.6376,131.6942,0.9434,1.0043,137.1913,126.1887,13.1,-13222.6168,133.1511,133.3269,132.6267,1.2397,1.87,1.224,-,0.908,-,0.118,0.066,0.289,0.043,0.100,-,-,7.85,75.51,16.68,17.69,472500000.00,47250000
ACMELAB,The ACME Laboratories Limited,Pharmaceuticals & Chemicals,A,15658.53,6.35,74.0,1.51,74.0,11.826,159988.0,61.8569,-16.6667,72.52,71.98,74.7435,73.2442,73.0577,72.5394,0.5184,0.3528,74.3201,70.7199,13.94,-12438.0307,73.4756,73.3154,72.9419,1.1943,4.73,1.108,0.270,0.711,-,0.111,0.077,0.415,0.044,0.098,-,-,11.48,126.37,6.35,6.05,2116017000.00,211601700
