Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],VWMA [20],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),YCP,Change,Trade,Value (Turnover)(mn),Free Float,Institute Share %,Public Share %,Sponsor Director Share %,Govt. Share %,Foreign Share %,Stock Dividend,Cash Dividend,EPS,NAV(Year End),Last Dividend Date,Last AGM Date,Audited PE,Forward PE,PaidUp Capital,Quote Bases,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,956.75,-,3.3,-2.94,3.3,2.583,768757.0,56.6155,-50.0,3.22,3.092,2.858,3.322,3.2961,3.2096,0.0865,0.0703,3.4922,2.9478,129.54,103934.6364,3.3644,3.3333,3.2686,1.261,0.0,-,-,-,-,-,-,-,-,-,-,-,-,3.40,-0.10,128,2.5830,75.00%,28.78%,46.22%,25.00%,0.00%,0.00%,-,-,-2.24,7.54,15 Sep 2024,-,-,-,2899233490.00,A-MF,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,476.0,-,23.8,0.0,23.8,11.891,499730.0,56.9246,-56.7568,23.54,20.828,19.897,24.1514,23.9823,22.9081,1.0743,1.2084,26.0425,21.0375,1562.54,-718336.9076,24.3378,24.3474,24.0648,0.9611,0.0,-,-,-,-,-,-,-,-,-,-,-,-,23.80,0.00,468,11.8910,98.00%,31.36%,66.63%,2.00%,0.00%,0.01%,-,-,-0.53,8.60,01 Feb 2026,-,-,12.14,200000000.00,A-MF,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1915.39,8.54,20.6,-1.9,20.6,5.874,284777.0,56.8994,-70.5882,20.545,18.41,17.9355,20.9842,20.8674,20.0916,0.7758,0.8844,22.0976,18.9924,122.27,-370221.5647,21.1467,21.1218,20.89,1.3671,0.0,4.85,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,21.00,-0.40,339,5.8740,66.96%,22.33%,44.63%,33.04%,0.00%,0.00%,-,10.00,2.46,37.01,29 Oct 2024,31 Dec 2024,8.54,20.45,929799120.00,Z-EQ,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,1093.56,-,16.9,-2.31,16.9,3.364,196927.0,56.2439,-52.7778,16.575,14.656,12.7665,17.2812,17.1479,16.3261,0.8218,0.9158,19.2155,13.9345,116.0,-322262.7989,17.4622,17.4936,17.1581,1.5369,0.0,0.59,1.988,-,1.236,-,-,-,0.200,-,-,-,-,17.30,-0.40,237,3.3640,69.99%,33.68%,36.31%,30.01%,0.00%,0.00%,-,-,0.00,0.00,-,-,-,-,647074420.00,Z-EQ,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,860.73,-,3.6,-2.7,3.6,11.532,3134765.0,58.7944,-42.8571,3.385,3.264,2.992,3.5573,3.5169,3.4006,0.1163,0.0825,3.7968,2.9732,526.97,-731019.3034,3.6178,3.5692,3.4686,1.2171,0.0,-,-,-,-,-,-,-,-,-,-,-,-,3.70,-0.10,276,11.5320,84.49%,13.20%,71.29%,15.51%,0.00%,0.00%,-,-,-1.37,8.69,25 Sep 2024,-,-,-,2390903960.00,A-MF,239090396
ABBANK,AB Bank PLC,Bank,Z,4478.47,-,5.0,2.04,5.0,2.506,508954.0,58.1655,0.0,4.915,4.652,5.058,4.9115,4.9024,4.8614,0.041,0.0401,5.0324,4.7976,21.2,-755336.0313,4.9089,4.9038,4.9081,1.7485,0.0,-,-,-,-,-,1.242,1.343,-,-,1.199,-,-,4.90,0.10,159,2.5060,80.48%,35.15%,44.79%,18.95%,0.57%,0.54%,-,-,-43.42,-36.24,03 May 2026,18 Jun 2026,-,-,8956947490.00,Z-EQ,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,6053.59,-,0.0,0.0,1060.0,0.0,0.0,63.0051,-25.0,1068.0,1047.2,0.0,1048.3281,1041.8432,1008.2701,33.5732,35.131,1136.8491,999.1509,11.5,4204.2088,1067.1111,1069.8718,1070.619,0.002,0.0,0.09,-,-,-,-,-,-,-,-,-,-,-,1060.00,0.00,0,0.0000,100.00%,94.73%,5.27%,0.00%,0.00%,0.00%,-,10.00,0.00,0.00,10 Dec 2025,-,-,-,57109360.00,A-CB,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,2369.58,113.33,23.5,-1.26,23.5,1.586,67584.0,50.8844,-61.1111,23.885,22.3,19.151,23.7872,23.7934,23.476,0.3174,0.4804,24.6778,23.0922,40.9,-103621.8617,23.78,23.7923,23.829,1.1952,0.0,4.26,2.961,-,1.970,-,-,-,-,-,-,-,-,23.80,-0.30,129,1.5860,50.42%,11.67%,38.65%,49.58%,0.00%,0.10%,-,10.00,0.21,33.63,27 Oct 2025,29 Dec 2025,113.33,255.00,1008333330.00,A-EQ,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,17987.96,-,204.8,-1.49,204.8,42.237,205451.0,61.5642,-32.1951,198.78,193.494,193.8205,203.1452,202.1392,198.8616,3.2776,2.6108,209.6706,187.8894,22.87,-35213.7364,203.9711,203.4064,201.4676,1.1424,0.0,1.22,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,207.90,-3.10,896,42.2370,52.73%,34.59%,18.14%,47.27%,0.00%,0.00%,-,25.00,-7.40,91.64,29 Oct 2025,28 Dec 2025,-,-,878318430.00,A-EQ,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,8297.1,22.08,175.6,1.33,175.6,161.856,913805.0,81.3464,-13.8037,152.875,145.938,138.285,161.2077,158.9778,153.1018,5.876,3.744,170.2869,135.4631,107.82,743987.8998,162.0711,160.2154,156.7733,1.2823,0.0,1.42,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,173.30,2.30,"2,786",161.8560,33.98%,24.23%,9.75%,66.02%,0.00%,0.00%,-,25.00,7.85,75.51,29 Oct 2025,28 Dec 2025,22.08,15.74,472500000.00,A-EQ,47250000
ACMELAB,The ACME Laboratories Limited,Pharmaceuticals & Chemicals,A,18049.63,7.53,85.3,-1.27,85.3,78.755,920682.0,63.467,-44.1558,83.36,79.788,76.325,85.1952,84.7341,82.8963,1.8379,1.6902,87.511,79.209,102.19,-713969.9535,85.7089,85.3679,84.3767,1.2115,0.0,4.10,1.154,0.265,0.680,-,0.098,0.068,0.422,0.042,0.091,-,-,86.40,-1.10,"1,658",78.7550,59.61%,32.23%,27.37%,40.39%,0.00%,0.01%,-,35.00,11.48,126.37,28 Oct 2025,22 Dec 2025,7.53,6.89,2116017000.00,A-EQ,211601700
ACMEPL,Acme Pesticides Limited,Pharmaceuticals & Chemicals,B,3105.0,-,23.0,0.0,23.0,24.92,1083374.0,44.2422,-88.2353,23.375,23.806,18.9635,23.1908,23.2559,23.4699,-0.214,-0.1718,24.0884,22.6616,429.92,-2806881.9276,23.1422,23.2051,23.2867,1.4067,0.0,-,4.422,0.117,3.222,-,-,-,-,-,-,-,-,23.00,0.00,750,24.9200,68.20%,13.21%,54.99%,31.80%,0.00%,0.00%,-,0.01,-1.14,16.41,02 Nov 2025,29 Dec 2025,-,-,1350000000.00,B-EQ,135000000
