Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),EPS,NAV(Year End),Audited PE,Forward PE,PaidUp Capital,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,985.74,-,3.4,6.25,3.4,11.159,3316447.0,66.1668,-18.1818,2.915,2.69,2.9695,3.1827,3.1192,2.9402,0.179,0.1238,3.5,2.33,174.88,5215951.8752,3.2622,3.1872,3.0367,1.2407,-,-,-,-,-,-,-,-,-,-,-,-,-2.24,7.54,-,-,2899233490.00,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,368.0,-,18.4,1.1,18.4,5.854,318304.0,47.3294,-41.3793,18.34,19.08,20.116,18.4241,18.4286,18.6116,-0.183,-0.2593,19.496,17.184,468.99,-367484.4707,18.5111,18.441,18.3148,1.0317,-,-,-,-,-,-,-,-,-,-,-,-,-0.53,8.6,-,-,200000000.00,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1580.66,6.83,17.0,1.19,17.0,4.096,240760.0,53.0243,-39.3939,16.615,16.61,18.145,16.8829,16.836,16.7381,0.0979,0.0411,17.9261,15.3039,55.25,-142775.5711,17.0156,16.9577,16.7324,1.3223,5.88,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,2.46,37.01,6.83,16.36,929799120.00,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,886.49,-,13.7,1.48,13.7,2.172,158856.0,56.3397,-44.898,12.98,12.126,12.2175,13.8595,13.6899,13.0373,0.6526,0.5872,15.6747,10.2853,75.06,145769.2307,14.2444,14.0872,13.5114,1.5164,0.73,1.988,-,1.236,-,-,-,0.200,-,-,-,-,-0.12,21.73,-,-,647074420.00,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,908.54,-,3.8,8.57,3.8,50.798,13533839.0,69.749,-7.6923,3.08,2.826,3.164,3.4359,3.3475,3.1138,0.2337,0.1495,3.8272,2.3328,561.26,14591719.307,3.5356,3.4282,3.2348,1.2278,-,-,-,-,-,-,-,-,-,-,-,-,-1.37,8.69,-,-,2390903960.00,239090396
ABBANK,AB Bank PLC,Bank,B,5463.74,-,6.1,3.39,6.1,11.779,1923438.0,48.822,-75.0,6.47,5.564,5.5495,6.2343,6.2743,6.1721,0.1021,0.2379,7.0615,5.8785,123.54,-2592673.8433,6.1933,6.2538,6.3643,1.8023,-,-,-,-,-,1.575,1.647,-,-,-,-,-,-21.28,7.19,-,-,8956947490.00,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,5710.94,-,1000.0,0.0,1000.0,20.008,20008.0,63.0012,0.0,993.75,997.5,0.0,984.8526,974.9961,944.2276,30.7685,23.6021,1131.0466,856.4534,25.18,-329.24,1000.0,1000.0,998.5119,0.0186,0.10,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,57109360.00,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,1815.0,84.76,18.0,1.12,18.0,0.469,26127.0,54.8125,-25.0,17.595,17.528,17.8135,17.7791,17.7368,17.6685,0.0683,0.0075,18.3333,16.8567,6.19,2405.1647,17.8444,17.7718,17.641,1.2502,5.56,2.961,-,1.970,-,-,-,-,-,-,-,-,0.21,33.63,84.76,98.89,1008333330.00,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,17733.25,-,201.9,2.44,201.9,15.111,75012.0,43.9038,-64.5161,209.255,208.848,190.8555,203.7452,204.8878,207.295,-2.4072,-1.0308,226.115,192.395,57.33,-57186.7137,202.9111,204.009,205.8243,1.1004,1.24,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,-7.4,91.64,-,135.00,878318430.00,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,6544.13,17.39,138.5,1.47,138.5,3.672,26656.0,46.9175,-38.835,141.065,138.718,135.5375,138.9762,139.3931,139.9353,-0.5422,0.1182,148.8932,133.2368,29.86,-14559.4459,138.7,139.0654,139.6081,1.2328,1.81,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,7.85,75.51,17.39,10.50,472500000.00,47250000
ACMELAB,The ACME Laboratories Limited,Pharmaceuticals & Chemicals,A,16145.21,6.58,76.3,1.06,76.3,24.849,326972.0,45.0322,-81.6327,77.885,76.502,75.7425,76.8304,77.0705,77.3181,-0.2476,0.1632,80.7506,75.0194,44.22,-255958.0903,76.6333,76.9103,77.2952,1.1693,4.59,1.154,0.265,0.680,-,0.098,0.068,0.422,0.042,0.091,-,-,11.48,126.37,6.58,6.18,2116017000.00,211601700
ACMEPL,Acme Pesticides Limited,Pharmaceuticals & Chemicals,B,2848.5,-,21.1,-0.47,21.1,190.859,8893959.0,75.6957,-17.5439,17.705,16.73,15.552,19.4235,18.994,17.9204,1.0737,0.6359,21.0159,14.3941,847.68,6025536.1677,19.8156,19.3064,18.4638,1.4683,-,4.422,0.117,3.222,-,-,-,-,-,-,-,-,-1.14,16.41,-,-,1350000000.00,135000000
ACTIVEFINE,Active Fine Chemicals Limited,Pharmaceuticals & Chemicals,Z,1751.54,65.45,7.3,1.39,7.3,3.043,415132.0,59.0736,-44.4444,7.0,6.368,7.407,7.2319,7.1729,6.9111,0.2617,0.2553,7.7398,6.2602,76.59,-329095.8426,7.3422,7.2692,7.1171,1.3897,0.34,-,-,-,-,-,-,-,-,-,-,-,0.11,22.07,65.45,45.00,2399365800.00,239936580
ADNTEL,ADN Telecom Limited,IT Sector,A,3762.73,22.67,58.2,0.69,58.2,7.794,133489.0,45.0054,-29.5082,59.185,60.026,65.926,58.5135,58.6793,59.4177,-0.7385,-0.7219,64.6884,53.6816,124.89,-16359.0552,58.5244,58.5128,58.4457,1.3042,1.72,2.057,-,2.048,0.146,0.164,0.100,0.385,0.047,0.074,-,-,2.55,32.82,22.67,22.94,646516660.00,64651666
ADVENT,Advent Pharma Limited,Pharmaceuticals & Chemicals,Z,1359.74,19.44,14.6,4.29,14.6,14.536,995258.0,60.7569,-14.2857,13.78,13.708,14.2795,14.1145,14.036,13.8862,0.1498,0.048,14.8295,12.7305,74.75,-59519.2861,14.2378,14.1038,13.881,1.4594,0.34,1.507,0.005,1.157,-,0.200,0.134,0.352,0.035,0.044,-,-,0.72,16.43,19.44,29.17,931327320.00,93132732
AFCAGRO,AFC Agro Biotech Limited,Pharmaceuticals & Chemicals,Z,841.08,33.18,7.3,0.0,7.3,2.324,312669.0,56.1582,-47.3684,7.15,6.234,6.759,7.324,7.2684,6.9582,0.3102,0.334,7.9539,6.3461,52.67,-47122.3136,7.4378,7.3603,7.2233,1.6899,0.68,5.609,-,4.057,-,0.066,0.036,0.232,0.010,0.012,-,-,0.22,18.19,33.18,32.21,1152162000.00,115216200
AFTABAUTO,Aftab Automobiles Limited,Engineering,Z,3092.47,-,29.3,1.03,29.3,4.655,158653.0,49.4634,-29.2683,28.715,30.156,33.349,29.0889,29.0577,29.3332,-0.2754,-0.4734,30.5734,26.8566,54.49,-117817.2165,29.2356,29.1692,28.8552,1.2707,3.41,1.931,2.289,1.802,-,-,-,0.254,-,-,-,-,-1.37,47.57,-,-,1055449950.00,105544995
AGNISYSL,Agni Systems PLC.,IT Sector,B,1530.94,25.68,21.1,1.44,21.1,12.425,589776.0,50.8227,-12.5,20.975,21.06,23.702,21.0145,21.0022,21.0301,-0.0279,-0.068,22.4301,19.5199,225.52,62755.4287,21.0956,21.0436,20.9019,1.2581,1.18,4.147,-,4.091,0.135,0.140,0.123,0.318,0.059,0.069,-,-,0.81,16.95,25.68,18.25,725561920.00,72556192
AGRANINS,Agrani Insurance PLC.,Insurance,A,781.61,13.57,21.7,3.83,21.7,2.393,111816.0,47.8637,-24.2424,21.63,22.994,23.9405,21.2005,21.3005,21.8927,-0.5921,-0.651,23.7861,19.4739,57.15,31345.3854,21.0844,21.0859,21.221,1.3835,-,-,-,-,-,-,-,-,-,-,-,-,0.18,19.42,13.57,116.11,360186980.00,36018698
AIBL1STIMF,AIBL 1st Islamic Mutual Fund,Mutual Funds,A,430.0,82.00,4.3,4.88,4.3,6.154,1442008.0,66.07,-18.1818,3.85,3.654,4.3355,4.0882,4.0322,3.8759,0.1563,0.1069,4.387,3.313,217.49,-641503.4355,4.1622,4.0897,3.9519,0.8381,-,-,-,-,-,-,-,-,-,-,-,-,0.05,10.27,82.00,46.59,1000000000.00,100000000
AIBLPBOND,AIBL Mudaraba Perpetual Bond,Corporate Bond,A,340.0,-,0.0,0.0,3400.0,0.0,0.0,28.2954,-90.6667,3397.45,3428.98,4152.4175,3644.4837,3754.0084,4074.0431,-320.0346,-230.1143,4432.3528,2362.5472,0.31,-0.7165,3439.2,3441.4615,3418.5762,0.0445,0.03,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,1000000.00,100000
AIL,Alif Industries Limited,Textile,Z,1494.38,12.84,30.7,1.32,30.7,6.732,218418.0,54.7803,-39.6226,29.625,28.724,43.191,30.4493,30.2813,29.8569,0.4244,0.2551,32.3595,26.8905,165.91,-4687.5352,30.7778,30.6718,30.1429,1.1726,3.26,4.992,-,4.235,-,-,-,-,-,-,-,-,2.36,24.56,12.84,10.06,486768350.00,48676835
AL-HAJTEX,Al-Haj Textile Mills Limited,Textile,B,2682.52,11.72,120.3,1.95,120.3,14.65,121722.0,43.064,-42.5837,124.005,128.754,136.164,120.6799,121.6231,125.0494,-3.4264,-2.9676,132.9404,115.0696,164.17,-174097.3808,119.68,120.6679,122.1124,1.1125,0.42,1.616,-,1.134,-,-,-,-,-,-,-,-,10.07,18.52,11.72,11.72,222985490.00,22298549
ALARABANK,Al-Arafah Islami Bank PLC.,Bank,A,18311.9,24.24,15.8,-0.62,15.9,2.548,159294.0,42.8033,-95.6522,16.825,15.586,16.303,16.5748,16.6454,16.5143,0.1311,0.3478,17.863,15.787,8.22,-93748.0042,16.5444,16.7141,16.8219,0.6343,-,-,-,-,-,0.425,0.038,-,0.001,0.030,0.001,-,0.66,20.85,24.24,35.29,11516917130.00,1151691713
