Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI[14],Willams %R[14],SMA[20],SMA[50],SMA[200],EMA[9],EMA[12],EMA[26],"MACD[12,26]",MACD Signal[9],"BB Upper[20,2]","BB Lower[20,2]",TV[22],"CO[3,10]",WMA[9],WMA[12],WMA[20],Beta[5],VWMA[20],VWMA[50],VWMA[200],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),YCP,Change,Trade,Value (Turnover)(mn),Free Float,Institute Share %,Public Share %,Sponsor Director Share %,Govt. Share %,Foreign Share %,Stock Dividend,Cash Dividend,EPS,NAV(Year End),Last Dividend Date,Last AGM Date,Audited PE,Forward PE,PaidUp Capital,Quote Bases,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,1130.70,-,3.90,0.00,3.90,6.1650,"1,586,897",57.0748,-44.4444,3.7850,3.3760,2.9205,3.9549,3.9188,3.7224,0.1964,0.2095,4.3842,3.1858,368.8100,4409892.4240,4.0067,3.9987,3.9162,1.2860,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,3.90,0.00,221,6.1650,75.00%,28.78%,46.22%,25.00%,0.00%,0.00%,-,-,-2.24,7.54,15 Sep 2024,-,-,-,2899233490.00,A-MF,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,494.00,-,24.70,-2.37,24.70,24.4910,"979,823",54.8377,-55.8824,24.3050,22.6120,20.0550,24.8201,24.6818,24.0475,0.6342,0.6289,25.8302,22.7798,1103.1000,-643886.3369,25.0133,24.8013,24.5005,0.9680,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,25.30,-0.60,757,24.4910,98.00%,23.98%,74.01%,2.00%,0.00%,0.01%,-,-,-0.53,8.60,01 Feb 2026,-,-,10.45,200000000.00,A-MF,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1952.58,8.58,21.00,-0.47,21.00,7.5380,"354,828",54.5616,-52.9412,20.9400,19.9340,17.9145,21.0069,20.9841,20.7024,0.2817,0.3642,21.5501,20.3299,102.5200,-499153.4126,21.0311,21.0218,20.9605,1.3635,0.0000,0.0000,0.0000,4.76,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,21.10,-0.10,419,7.5380,66.96%,21.95%,45.01%,33.04%,0.00%,0.00%,-,10.00,2.46,37.01,29 Oct 2024,31 Dec 2024,8.58,20.55,929799120.00,Z-EQ,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,1488.27,-,23.00,-0.43,23.00,11.3740,"495,196",84.1170,-15.7143,19.3350,16.9860,13.2505,21.4623,20.9544,19.3021,1.6523,1.3145,23.6202,15.0498,120.4300,328368.4792,21.9733,21.5282,20.4119,1.5124,0.0000,0.0000,0.0000,0.43,1.988,-,1.236,-,-,-,0.200,-,-,-,-,23.10,-0.10,468,11.3740,69.99%,32.06%,37.93%,30.01%,0.00%,0.00%,-,-,0.00,0.00,-,-,-,-,647074420.00,Z-EQ,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,956.36,-,4.00,2.56,4.00,9.6550,"2,418,957",55.0808,-50.0000,3.9300,3.5320,3.0585,4.0378,4.0118,3.8478,0.1640,0.1840,4.3800,3.4800,723.9400,-1093471.5222,4.0756,4.0679,4.0186,1.2407,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,3.90,0.10,242,9.6550,84.49%,13.20%,71.29%,15.51%,0.00%,0.00%,-,-,-1.37,8.69,25 Sep 2024,-,-,-,2390903960.00,A-MF,239090396
ABBANK,AB Bank PLC,Bank,Z,4388.90,-,4.90,0.00,4.90,2.7820,"567,453",47.4502,-75.0000,4.9600,4.8200,5.0085,4.9365,4.9430,4.9313,0.0117,0.0316,5.1108,4.8092,20.0600,-974692.8276,4.9289,4.9474,4.9614,1.7437,0.0000,0.0000,0.0000,-,-,-,-,-,1.242,1.343,-,-,1.199,-,-,4.90,0.00,166,2.7820,80.48%,35.25%,44.69%,18.95%,0.57%,0.54%,-,-,-43.42,-36.24,03 May 2026,18 Jun 2026,-,-,8956947490.00,Z-EQ,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,6053.59,-,0.00,0.00,1060.00,0.0000,0,63.0051,-25.0000,1068.0000,1047.2000,0.0000,1048.3281,1041.8432,1008.2701,33.5732,35.1310,1136.8491,999.1509,11.5000,4204.2088,1067.1111,1069.8718,1070.6190,0.0020,0.0000,0.0000,0.0000,0.09,-,-,-,-,-,-,-,-,-,-,-,1060.00,0.00,0,0.0000,100.00%,94.73%,5.27%,0.00%,0.00%,0.00%,-,10.00,0.00,0.00,10 Dec 2025,-,-,-,57109360.00,A-CB,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,2389.75,112.38,23.70,0.42,23.70,1.5700,"66,293",51.1455,-55.5556,23.6600,23.6840,19.5280,23.7778,23.7616,23.6363,0.1253,0.1489,24.5922,22.7278,26.8500,-77484.8824,23.8778,23.8244,23.7124,1.1991,0.0000,0.0000,0.0000,4.22,2.961,-,1.970,-,-,-,-,-,-,-,-,23.60,0.10,58,1.5700,50.42%,11.65%,38.67%,49.58%,0.00%,0.10%,-,10.00,0.21,33.63,27 Oct 2025,29 Dec 2025,112.38,252.86,1008333330.00,A-EQ,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,17496.10,-,199.30,-0.40,199.20,5.5780,"27,989",46.4010,-88.2353,202.6050,197.6660,195.5350,201.4309,201.5627,200.9192,0.6435,1.2357,207.7277,197.4823,28.1700,-43374.3352,201.5689,201.4679,201.8943,1.1375,0.0000,0.0000,0.0000,1.26,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,200.00,-0.80,402,5.5780,52.73%,34.34%,18.39%,47.27%,0.00%,0.00%,-,25.00,-7.40,91.64,29 Oct 2025,28 Dec 2025,-,-,878318430.00,A-EQ,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,8089.20,21.78,171.20,0.12,171.20,38.2290,"223,806",54.6439,-77.3913,172.9450,157.1460,140.9295,172.5637,172.2441,167.8921,4.3521,5.6983,188.1975,157.6925,323.0400,-311851.3884,172.8689,172.7731,173.6043,1.2780,0.0000,0.0000,0.0000,1.46,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,171.00,0.20,"1,398",38.2290,33.98%,21.87%,12.11%,66.02%,0.00%,0.00%,-,25.00,7.85,75.51,29 Oct 2025,28 Dec 2025,21.78,15.53,472500000.00,A-EQ,47250000
