Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI[14],Willams %R[14],SMA[20],SMA[50],SMA[200],EMA[9],EMA[12],EMA[26],"MACD[12,26]",MACD Signal[9],"BB Upper[20,2]","BB Lower[20,2]",TV[22],"CO[3,10]",WMA[9],WMA[12],WMA[20],Beta[5],VWMA[20],VWMA[50],VWMA[200],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),YCP,Change,Trade,Value (Turnover)(mn),Free Float,Institute Share %,Public Share %,Sponsor Director Share %,Govt. Share %,Foreign Share %,Stock Dividend,Cash Dividend,EPS,NAV(Year End),Last Dividend Date,Last AGM Date,Audited PE,Forward PE,PaidUp Capital,Quote Bases,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,1072.72,-,3.70,-2.63,3.70,11.6130,"3,144,364",56.2566,-33.3333,3.5100,3.6600,3.0470,3.5965,3.5765,3.5670,0.0095,-0.0298,3.7687,3.2513,137.5700,-177776.1958,3.6044,3.5756,3.5362,1.2944,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,3.80,-0.10,369,11.6130,75.00%,30.20%,44.80%,25.00%,0.00%,0.00%,-,-,-2.24,7.54,15 Sep 2024,-,-,-,2899233490.00,A-MF,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,672.00,-,33.60,7.69,33.60,146.4570,"4,358,856",82.0595,-5.3435,23.6600,23.8940,20.6660,27.3761,26.4475,24.7036,1.7439,0.5254,30.7142,16.6058,1104.6800,4267492.4023,27.9289,26.8872,25.1838,0.9707,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,31.20,2.40,"2,405",146.4570,98.00%,22.05%,75.94%,2.00%,0.00%,0.01%,-,-,-0.53,8.60,01 Feb 2026,-,-,12.89,200000000.00,A-MF,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1757.32,7.93,0.00,-3.08,18.90,6.2360,"325,166",48.6804,-44.1176,18.6350,19.9620,17.9780,18.6783,18.6713,19.0194,-0.3481,-0.5274,20.4534,16.8166,72.7600,62742.7850,18.7044,18.5423,18.4667,1.3881,0.0000,0.0000,0.0000,0.05,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,19.50,-0.60,341,6.2360,66.96%,21.74%,45.22%,33.04%,0.00%,0.00%,-,0.10,0.13,36.14,06 Sep 2026,-,7.93,-,929799120.00,Z-EQ,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,1074.14,-,16.80,-0.60,16.60,1.8840,"113,088",43.0329,-61.2903,16.8100,18.6460,14.2505,16.6453,16.7484,17.3765,-0.6281,-0.6972,18.0478,15.5722,59.7500,-71267.3321,16.5356,16.5269,16.6814,1.5656,0.0000,0.0000,0.0000,0.15,1.988,-,1.236,-,-,-,0.200,-,-,-,-,16.70,-0.10,149,1.8840,69.99%,29.97%,40.02%,30.01%,0.00%,0.00%,-,0.25,-3.17,18.46,13 Jul 2026,-,-,-,647074420.00,Z-EQ,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,860.73,-,3.70,-5.26,3.60,16.6520,"4,550,513",48.3037,-66.6667,3.5800,3.7580,3.1835,3.6443,3.6341,3.6409,-0.0069,-0.0326,3.8279,3.3321,240.4000,-3083234.0818,3.6511,3.6359,3.6090,1.2612,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,3.80,-0.20,374,16.6520,84.49%,16.43%,68.06%,15.51%,0.00%,0.00%,-,-,-1.37,8.69,25 Sep 2024,-,-,-,2390903960.00,A-MF,239090396
ABBANK,AB Bank PLC,Bank,Z,4030.63,-,4.50,2.27,4.50,4.3360,"982,095",44.7065,-60.0000,4.5450,4.7660,4.9705,4.5146,4.5269,4.5994,-0.0725,-0.0796,4.7742,4.3158,17.8200,-757066.0938,4.5178,4.5141,4.5219,1.7111,0.0000,0.0000,0.0000,-,-,-,-,-,1.242,1.343,-,-,1.199,-,-,4.40,0.10,173,4.3360,80.48%,35.00%,44.94%,18.95%,0.57%,0.54%,-,-,-43.42,-36.24,03 May 2026,18 Jun 2026,-,-,8956947490.00,Z-EQ,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,6053.59,-,0.00,0.00,1060.00,0.0000,0,63.0051,-25.0000,1068.0000,1047.2000,0.0000,1048.3281,1041.8432,1008.2701,33.5732,35.1310,1136.8491,999.1509,11.5000,4204.2088,1067.1111,1069.8718,1070.6190,0.0020,0.0000,0.0000,0.0000,0.09,-,-,-,-,-,-,-,-,-,-,-,1060.00,0.00,0,0.0000,100.00%,94.73%,5.27%,0.00%,0.00%,0.00%,-,10.00,0.00,0.00,10 Dec 2025,-,-,-,57109360.00,A-CB,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,2268.75,105.24,22.50,1.81,22.50,1.5490,"69,251",48.9701,-35.1351,22.5500,23.0740,20.2025,22.2564,22.3014,22.5667,-0.2653,-0.2914,23.9257,21.1743,19.3100,-42352.5514,22.2156,22.1897,22.2962,1.2051,0.0000,0.0000,0.0000,4.44,2.961,-,1.970,-,-,-,-,-,-,-,-,22.10,0.40,53,1.5490,50.42%,11.68%,38.64%,49.58%,0.00%,0.10%,-,10.00,0.21,33.63,27 Oct 2025,29 Dec 2025,105.24,236.79,1008333330.00,A-EQ,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,16723.18,-,190.40,0.21,190.40,2.9500,"15,502",52.4488,-17.9191,187.2100,194.8540,197.8255,187.5351,187.4265,189.1735,-1.7470,-2.8076,194.6462,179.7738,3.3900,-571.9871,187.2933,186.5231,186.6305,1.1380,0.0000,0.0000,0.0000,1.31,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,190.00,0.40,176,2.9500,52.73%,34.30%,18.43%,47.27%,0.00%,0.00%,-,25.00,-7.40,91.64,29 Oct 2025,28 Dec 2025,-,-,878318430.00,A-EQ,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,7517.47,19.99,159.10,1.40,159.10,27.4810,"172,420",51.8545,-21.6667,154.4150,165.1480,145.2975,156.2145,156.0372,157.6707,-1.6335,-2.7916,161.1002,147.7298,77.0700,29920.5273,156.5978,155.7513,154.7219,1.2832,0.0000,0.0000,0.0000,1.57,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,156.90,2.20,843,27.4810,33.98%,19.98%,14.00%,66.02%,0.00%,0.00%,-,25.00,7.85,75.51,29 Oct 2025,28 Dec 2025,19.99,14.25,472500000.00,A-EQ,47250000
ACMELAB,The ACME Laboratories Limited,Pharmaceuticals & Chemicals,A,16758.85,6.82,79.40,1.15,79.20,9.0980,"114,867",51.2820,-15.0000,78.2300,81.0420,77.3915,78.3127,78.3081,78.9731,-0.6650,-0.9880,80.2923,76.1677,14.0800,-48827.7618,78.3222,78.0923,78.0352,1.1979,0.0000,0.0000,0.0000,4.42,1.154,0.265,0.680,-,0.098,0.068,0.422,0.042,0.091,-,-,78.30,0.90,422,9.0980,59.61%,30.46%,29.12%,40.39%,0.00%,0.03%,-,35.00,11.48,126.37,28 Oct 2025,22 Dec 2025,6.82,6.25,2116017000.00,A-EQ,211601700
ACMEPL,Acme Pesticides Limited,Pharmaceuticals & Chemicals,B,3550.50,-,26.30,1.54,26.30,126.9020,"4,845,600",61.0812,-6.6667,24.8700,24.2860,20.9860,25.2256,25.0988,24.8042,0.2946,0.1547,26.2390,23.5010,519.3000,497506.9222,25.2933,25.0987,24.9324,1.4077,0.0000,0.0000,0.0000,-,4.422,0.117,3.222,-,-,-,-,-,-,-,-,25.90,0.40,"2,057",126.9020,68.20%,15.52%,52.68%,31.80%,0.00%,0.00%,-,0.01,-1.14,16.41,02 Nov 2025,29 Dec 2025,-,-,1350000000.00,B-EQ,135000000
ACTIVEFINE,Active Fine Chemicals Limited,Pharmaceuticals & Chemicals,Z,1367.64,50.91,5.80,1.79,5.70,1.4100,"246,724",39.5831,-83.3333,5.8250,6.3880,6.4930,5.7035,5.7412,5.9650,-0.2238,-0.2461,6.2499,5.4001,21.8800,-174687.7625,5.6711,5.6731,5.7329,1.3548,0.0000,0.0000,0.0000,0.44,-,-,-,-,-,-,-,-,-,-,-,5.60,0.10,222,1.4100,87.96%,21.05%,66.64%,12.04%,0.00%,0.27%,-,0.25,0.11,22.07,30 Oct 2022,29 Dec 2022,50.91,35.00,2399365800.00,Z-EQ,239936580
ADNTEL,ADN Telecom Limited,IT Sector,A,3846.77,22.82,59.50,2.23,59.50,16.8180,"283,382",46.9511,-39.4366,59.1600,63.6480,61.6230,58.3971,58.5734,60.1256,-1.5522,-1.8953,63.2472,55.0728,52.2200,159324.9184,58.1444,57.9718,58.3895,1.2596,0.0000,0.0000,0.0000,1.68,1.943,-,1.935,0.122,0.152,0.091,0.354,0.049,0.077,-,-,58.20,1.30,636,16.8180,59.24%,17.44%,40.28%,40.76%,0.00%,1.52%,-,10.00,2.55,32.82,28 Oct 2025,15 Dec 2025,22.82,23.47,646516660.00,A-EQ,64651666
ADVENT,Advent Pharma Limited,Pharmaceuticals & Chemicals,Z,1303.86,19.31,14.00,0.72,14.00,1.2460,"88,314",45.0692,-41.1765,13.9550,15.0000,14.2760,13.8861,13.9147,14.2365,-0.3217,-0.4103,14.7103,13.1997,31.1100,-144693.3159,13.8578,13.8064,13.8524,1.4890,0.0000,0.0000,0.0000,0.36,1.507,0.005,1.157,-,0.200,0.134,0.352,0.035,0.044,-,-,13.90,0.10,87,1.2460,69.98%,12.78%,56.20%,30.02%,0.00%,1.00%,-,0.50,0.72,16.43,27 Oct 2025,31 Dec 2025,19.31,31.59,931327320.00,Z-EQ,93132732
AFCAGRO,AFC Agro Biotech Limited,Pharmaceuticals & Chemicals,Z,714.34,27.73,6.20,1.64,6.20,0.4690,"75,672",41.5567,-70.0000,6.4250,6.8500,6.5980,6.2325,6.2775,6.4974,-0.2199,-0.2245,7.0085,5.8415,12.3800,-50598.8667,6.1844,6.1923,6.2971,1.6486,0.0000,0.0000,0.0000,0.81,5.609,-,4.057,-,0.066,0.036,0.232,0.010,0.012,-,-,6.10,0.10,35,0.4690,72.16%,34.11%,38.05%,27.84%,0.00%,0.00%,-,0.50,0.22,18.19,30 Oct 2022,29 Dec 2022,27.73,26.91,1152162000.00,Z-EQ,115216200
AFTABAUTO,Aftab Automobiles Limited,Engineering,Z,2818.05,-,26.70,1.91,26.70,1.8380,"69,335",43.1014,-41.9355,26.8800,28.8880,30.3580,26.3930,26.5014,27.2562,-0.7548,-0.8720,28.7968,24.9632,15.3200,-29072.2997,26.2533,26.2205,26.4671,1.3153,0.0000,0.0000,0.0000,3.75,1.931,2.289,1.802,-,-,-,0.254,-,-,-,-,26.20,0.50,168,1.8380,70.68%,32.36%,38.32%,29.32%,0.00%,0.00%,-,10.00,-1.37,47.57,28 Oct 2025,29 Dec 2025,-,-,1055449950.00,Z-EQ,105544995
AGNISYSL,Agni Systems PLC.,IT Sector,B,2154.92,35.43,29.70,3.48,29.70,14.0860,"478,858",49.4138,-43.1818,29.3650,31.1260,25.5365,29.3181,29.3622,29.7732,-0.4110,-0.5076,31.2029,27.5271,212.6100,-38049.2169,29.2489,29.1962,29.3400,1.2699,0.0000,0.0000,0.0000,0.84,3.518,-,3.484,0.174,0.181,0.082,0.383,0.039,0.048,-,-,28.70,1.00,544,14.0860,69.97%,14.51%,55.46%,30.03%,0.00%,0.00%,-,2.50,0.81,16.95,28 Oct 2025,29 Dec 2025,35.43,26.25,725561920.00,B-EQ,72556192
AGRANINS,Agrani Insurance PLC.,Insurance,A,1062.55,164.44,29.50,-0.34,29.50,4.4520,"151,292",53.6199,-11.9048,28.5800,29.7640,25.0305,28.6724,28.6409,28.9179,-0.2770,-0.4765,30.6202,26.5398,76.5500,87460.4278,28.5911,28.4064,28.4405,1.4854,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,29.60,-0.10,220,4.4520,72.25%,16.83%,55.42%,27.75%,0.00%,0.00%,-,-,0.18,19.42,16 Mar 2026,14 May 2026,164.44,29.60,360186980.00,A-EQ,36018698
AIBL1STIMF,AIBL 1st Islamic Mutual Fund,Mutual Funds,A,600.00,124.00,6.00,-3.23,6.00,19.2810,"3,176,588",52.5087,-50.0000,5.7600,6.0500,4.3835,6.0309,5.9877,5.8887,0.0991,0.0510,6.5715,4.9485,676.1400,-1206763.5755,6.0756,6.0538,5.9386,0.8340,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,6.20,-0.20,567,19.2810,90.00%,40.05%,49.95%,10.00%,0.00%,0.00%,-,0.60,0.05,10.27,16 May 2023,-,124.00,70.45,1000000000.00,A-MF,100000000
AIBLPBOND,AIBL Mudaraba Perpetual Bond,Corporate Bond,A,415.00,-,0.00,0.00,4150.00,0.0000,0,61.7760,0.0000,4070.0000,3995.1300,3704.4900,4040.2200,4019.0315,3980.2184,38.8131,10.5466,4220.8995,3919.1005,2.7200,-0.0004,4110.0000,4107.6923,4095.9524,0.0327,0.0000,0.0000,0.0000,0.02,-,-,-,-,-,-,-,-,-,-,-,4150.00,0.00,0,0.0000,100.00%,87.13%,12.17%,0.00%,0.00%,0.70%,-,-,0.00,0.00,-,-,-,-,1000000.00,A-CB,100000
AIL,Alif Industries Limited,Textile,Z,1552.79,13.47,31.90,0.31,31.90,2.0670,"64,580",41.5987,-48.0000,32.6000,35.5060,33.6655,31.9091,32.0862,33.1611,-1.0749,-1.1918,35.6525,29.5475,45.7100,-83077.6925,31.7511,31.6526,32.0152,1.1794,0.0000,0.0000,0.0000,3.13,4.992,-,4.235,-,-,-,-,-,-,-,-,31.80,0.10,159,2.0670,69.76%,13.55%,56.21%,30.24%,0.00%,0.00%,10.00,10.00,2.36,24.56,29 Oct 2024,30 Dec 2024,13.47,10.55,486768350.00,Z-EQ,48676835
AL-HAJTEX,Al-Haj Textile Mills Limited,Textile,B,1803.95,-,80.90,-0.98,80.90,17.5590,"215,180",47.8296,-25.7642,78.6650,91.0860,112.1430,79.2079,79.0765,82.0443,-2.9679,-4.6530,92.4300,64.9000,255.9900,25805.9112,79.7200,78.0385,77.5833,1.0770,0.0000,0.0000,0.0000,0.37,1.616,-,1.134,-,-,-,-,-,-,-,-,81.70,-0.80,"1,047",17.5590,69.34%,9.65%,59.64%,30.65%,0.01%,0.05%,-,3.00,-1.64,16.38,23 Jul 2026,14 Sep 2026,-,-,222985490.00,B-EQ,22298549
ALARABANK,Al-Arafah Islami Bank PLC.,Bank,Z,17505.71,23.03,15.20,0.00,15.20,0.3760,"24,711",41.1270,-72.0000,16.0500,16.5500,15.5565,15.5055,15.6187,15.9878,-0.3691,-0.2941,17.6611,14.4389,1.1300,-41791.4448,15.4156,15.4269,15.6738,0.5935,0.0000,0.0000,0.0000,-,-,-,-,-,0.230,0.056,-,0.001,0.033,0.002,-,15.20,0.00,42,0.3760,59.59%,37.17%,22.39%,40.41%,0.00%,0.03%,-,-,0.74,21.16,03 May 2026,29 Jul 2026,23.03,8.84,11516917130.00,Z-EQ,1151691713
ALIF,Alif Manufacturing Company Ltd,Textile,Z,1377.61,16.06,5.30,0.00,5.30,0.6560,"123,746",43.6548,-60.0000,5.3950,5.5280,4.9285,5.3300,5.3462,5.4170,-0.0708,-0.0684,5.6332,5.1568,37.5300,-255874.0524,5.3156,5.3167,5.3476,1.6114,0.0000,0.0000,0.0000,1.89,15.328,-,13.723,-,-,-,-,-,-,-,-,5.30,0.00,82,0.6560,69.54%,3.79%,65.75%,30.46%,0.00%,0.00%,-,1.00,0.33,15.15,29 Oct 2024,29 Dec 2024,16.06,24.84,2599270220.00,Z-EQ,259927022
ALLTEX,Alltex Industries Limited,Textile,Z,1309.65,-,23.40,-0.85,23.40,2.6270,"112,218",48.7736,-46.1538,23.9250,22.6020,16.7910,23.7322,23.7654,23.5434,0.2220,0.3994,24.7904,23.0596,114.9500,-10812.2327,23.7133,23.7397,23.8000,1.3296,0.0000,0.0000,0.0000,-,0.234,-,0.226,-,-,-,-,-,-,-,-,23.60,-0.20,105,2.6270,63.75%,16.13%,47.62%,36.25%,0.00%,0.00%,-,-,-0.18,24.77,08 Dec 2025,18 Jun 2026,-,590.00,559680000.00,Z-EQ,55968000
AMANFEED,Aman Feed PLC,Miscellaneous,A,4177.96,140.91,31.90,2.90,31.90,22.7350,"716,921",42.9317,-63.6364,32.3800,35.7320,28.7615,31.6641,31.8882,33.1401,-1.2519,-1.3489,35.5420,29.2180,125.1500,-304003.5192,31.4733,31.4051,31.7824,1.3275,0.0000,0.0000,0.0000,3.61,2.425,-,1.527,0.016,0.066,0.003,0.108,0.003,0.008,-,-,31.00,0.90,671,22.7350,36.74%,10.35%,26.36%,63.26%,0.00%,0.03%,-,11.50,0.22,28.03,27 Oct 2025,29 Dec 2025,140.91,40.09,1309704000.00,A-EQ,130970400
AMBEEPHA,Ambee Pharmaceuticals PLC.,Pharmaceuticals & Chemicals,A,1827.84,343.76,761.60,0.25,761.60,0.4230,555,50.2689,-47.9950,752.5950,780.3780,759.5395,756.6260,756.2213,760.8033,-4.5820,-7.6271,769.7558,735.4342,11.1200,-2212.7631,757.1689,755.1410,753.5671,0.8072,0.0000,0.0000,0.0000,0.13,0.828,0.006,0.526,-,0.035,0.023,0.475,0.007,0.164,-,-,759.70,1.90,70,0.4230,22.75%,5.53%,17.22%,77.25%,0.00%,0.00%,-,10.00,2.21,13.47,02 Nov 2025,18 Dec 2025,343.76,252.11,24000000.00,A-EQ,2400000
