Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),EPS,NAV(Year End),Audited PE,Forward PE,PaidUp Capital,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,869.77,-,3.0,0.0,3.0,0.718,237244.0,48.7121,-100.0,3.055,2.966,2.9285,3.0297,3.0363,3.0268,0.0096,0.0286,3.176,2.934,111.71,-999157.6203,3.0244,3.0295,3.0419,1.2567,-,-,-,-,-,-,-,-,-,-,-,-,-2.24,7.54,-,-,2899233490.00,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,382.0,-,19.1,0.53,19.1,6.567,345035.0,51.2634,-77.7778,18.92,18.758,20.152,19.2023,19.1682,18.9744,0.1937,0.2101,20.6375,17.2025,775.8,-537350.6539,19.22,19.309,19.2114,0.9529,-,-,-,-,-,-,-,-,-,-,-,-,-0.53,8.6,-,9.69,200000000.00,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1515.57,6.50,16.4,1.88,16.3,1.512,92642.0,47.8737,-64.2857,16.355,16.594,18.108,16.2754,16.3153,16.4218,-0.1065,-0.069,16.9225,15.7875,60.76,-268326.9246,16.2489,16.3141,16.35,1.339,6.13,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,2.46,37.01,6.50,15.58,929799120.00,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,815.31,-,12.6,2.44,12.6,0.571,45570.0,44.4479,-84.0,13.045,12.882,12.3885,12.8301,12.9023,12.9929,-0.0906,0.0252,13.6954,12.3946,37.84,-148210.948,12.78,12.8756,12.9771,1.5321,0.79,1.988,-,1.236,-,-,-,0.200,-,-,-,-,-0.12,21.73,-,-,647074420.00,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,741.18,-,3.1,-3.13,3.1,3.614,1155651.0,43.6399,-100.0,3.285,3.148,3.0675,3.1961,3.2149,3.2255,-0.0106,0.0258,3.5029,3.0671,487.45,-2117359.9027,3.1711,3.1885,3.2381,1.2299,-,-,-,-,-,-,-,-,-,-,-,-,-1.37,8.69,-,-,2390903960.00,239090396
ABBANK,AB Bank PLC,Bank,Z,4120.2,-,4.6,-2.13,4.6,4.48,960378.0,26.0667,-88.2353,5.675,6.126,5.5015,5.2628,5.378,5.653,-0.275,-0.1513,6.5082,4.8418,60.16,-2228392.4412,5.1933,5.3103,5.5105,1.7998,-,-,-,-,-,1.575,1.647,-,-,-,-,-,-43.42,-36.24,-,-,8956947490.00,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,5996.48,-,1050.0,0.0,1050.0,21.0,20000.0,70.3099,0.0,1042.5,1014.5,0.0,1033.7162,1023.8835,985.9489,37.9347,34.193,1116.5585,968.4415,28.01,-80.8381,1050.0,1050.0,1048.5714,0.0354,0.10,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,57109360.00,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,1845.25,87.14,18.2,0.0,18.3,0.559,30470.0,55.7171,-42.1053,18.11,17.9,18.1295,18.223,18.1933,18.0606,0.1327,0.13,18.525,17.695,13.26,-77563.5233,18.2378,18.2385,18.1838,1.1814,5.46,2.961,-,1.970,-,-,-,-,-,-,-,-,0.21,33.63,87.14,196.07,1008333330.00,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,16644.13,-,189.5,0.53,189.5,8.006,42055.0,33.9938,-94.1406,202.8,207.51,193.8855,197.499,198.945,202.1494,-3.2044,-1.5368,215.4431,190.1569,27.44,-127338.7799,196.6822,198.359,201.1148,1.1051,1.32,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,-7.4,91.64,-,-,878318430.00,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,6671.7,17.92,142.0,0.36,141.2,4.195,29658.0,49.5684,-82.5137,141.485,141.942,137.429,142.0538,142.0372,141.4681,0.5691,0.8004,148.7131,134.2569,24.72,-28187.4867,142.2778,142.6577,142.311,1.2333,1.77,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,7.85,75.51,17.92,12.78,472500000.00,47250000
ACMELAB,The ACME Laboratories Limited,Pharmaceuticals & Chemicals,A,16039.41,6.53,75.8,1.07,75.8,5.759,76201.0,48.9876,-61.5385,75.62,77.31,76.2795,75.6501,75.6839,75.938,-0.2541,-0.2995,76.8105,74.4295,26.43,-272915.1136,75.6356,75.6795,75.69,1.1862,4.62,1.154,0.265,0.680,-,0.098,0.068,0.422,0.042,0.091,-,-,11.48,126.37,6.53,5.98,2116017000.00,211601700
ACMEPL,Acme Pesticides Limited,Pharmaceuticals & Chemicals,B,3253.5,-,24.1,-1.63,24.1,117.12,4746164.0,54.2692,-61.6667,24.74,20.492,16.9425,24.084,24.1138,23.2255,0.8883,1.3718,28.0875,21.3925,1568.34,-3439639.9489,23.7911,24.0962,24.6338,1.4363,-,4.422,0.117,3.222,-,-,-,-,-,-,-,-,-1.14,16.41,-,-,1350000000.00,135000000
ACTIVEFINE,Active Fine Chemicals Limited,Pharmaceuticals & Chemicals,Z,1583.58,60.00,6.7,0.0,6.6,0.433,65369.0,43.6158,-87.5,6.78,6.874,7.2315,6.6458,6.6787,6.7603,-0.0816,-0.0478,7.1448,6.4152,32.69,-286440.6931,6.6178,6.6346,6.6986,1.3585,0.38,-,-,-,-,-,-,-,-,-,-,-,0.11,22.07,60.00,41.25,2399365800.00,239936580
ADNTEL,ADN Telecom Limited,IT Sector,A,3956.68,23.88,61.2,0.49,61.2,42.132,686028.0,55.6643,-45.7627,60.105,60.314,65.3835,60.121,60.0568,59.9322,0.1246,0.0422,62.7847,57.4253,173.29,-372627.9357,59.9889,59.9397,60.1257,1.2492,1.63,1.943,-,1.935,0.122,0.152,0.091,0.354,0.049,0.077,-,-,2.55,32.82,23.88,24.56,646516660.00,64651666
ADVENT,Advent Pharma Limited,Pharmaceuticals & Chemicals,Z,1285.23,18.75,13.8,2.22,13.8,1.983,144340.0,49.5885,-70.5882,13.87,13.896,14.3275,13.6817,13.7221,13.8143,-0.0923,-0.047,14.3428,13.3972,64.31,-130127.4646,13.6222,13.6705,13.7686,1.4839,0.36,1.507,0.005,1.157,-,0.200,0.134,0.352,0.035,0.044,-,-,0.72,16.43,18.75,30.68,931327320.00,93132732
AFCAGRO,AFC Agro Biotech Limited,Pharmaceuticals & Chemicals,Z,783.47,30.91,6.7,0.0,6.8,0.082,12227.0,48.3927,-57.1429,6.905,7.004,6.661,6.7246,6.7542,6.846,-0.0919,-0.0702,7.5682,6.2418,44.12,-145689.0193,6.6822,6.6756,6.7557,1.6733,0.74,5.609,-,4.057,-,0.066,0.036,0.232,0.010,0.012,-,-,0.22,18.19,30.91,30.00,1152162000.00,115216200
AFTABAUTO,Aftab Automobiles Limited,Engineering,Z,2881.38,-,27.2,-0.36,27.3,2.269,83253.0,37.485,-75.0,27.945,28.676,33.34,27.7449,27.824,28.1632,-0.3392,-0.325,28.5414,27.3486,36.57,-119537.2908,27.7,27.7795,27.8686,1.3106,3.66,1.931,2.289,1.802,-,-,-,0.254,-,-,-,-,-1.37,47.57,-,-,1055449950.00,105544995
AGNISYSL,Agni Systems PLC.,IT Sector,B,1828.42,30.49,25.2,2.02,25.2,71.866,2830944.0,65.7834,-28.5714,23.095,21.946,23.3085,24.5766,24.2799,23.2163,1.0637,0.9128,27.1225,19.0675,703.68,-197373.0185,24.9844,24.8538,24.0467,1.2227,0.99,3.518,-,3.484,0.174,0.181,0.082,0.383,0.039,0.048,-,-,0.81,16.95,30.49,22.59,725561920.00,72556192
