Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],VWMA [20],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),YCP,Change,Trade,Value (Turnover)(mn),Free Float,Institute Share %,Public Share %,Sponsor Director Share %,Govt. Share %,Foreign Share %,Stock Dividend,Cash Dividend,EPS,NAV(Year End),Last Dividend Date,Last AGM Date,Audited PE,Forward PE,PaidUp Capital,Quote Bases,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,956.75,-,3.3,0.0,3.3,2.285,709289.0,65.0647,-25.0,3.13,3.056,2.8545,3.1981,3.1778,3.1231,0.0546,0.0357,3.3257,2.9343,98.06,1420655.3371,3.2067,3.1846,3.1586,1.2629,0.0,-,-,-,-,-,-,-,-,-,-,-,-,3.30,0.00,153,2.2850,75.00%,28.98%,46.02%,25.00%,0.00%,0.00%,-,-,-2.24,7.54,15 Sep 2024,-,-,-,2899233490.00,A-MF,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,482.0,-,24.1,0.0,24.1,24.255,991698.0,64.9015,-28.2609,22.46,20.316,19.8805,23.7834,23.4678,22.1831,1.2847,1.1963,25.9055,19.0145,1449.46,-277531.5742,24.1733,23.9897,23.3186,0.9662,0.0,-,-,-,-,-,-,-,-,-,-,-,-,24.10,0.00,666,24.2550,98.00%,15.83%,82.16%,2.00%,0.00%,0.01%,-,-,-0.53,8.60,01 Feb 2026,-,-,12.30,200000000.00,A-MF,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,2026.96,8.54,21.8,3.81,21.8,12.995,601320.0,75.4494,-3.2258,19.95,17.924,17.964,20.7865,20.5507,19.591,0.9597,0.8934,21.8234,18.0766,117.32,51467.1122,20.9978,20.8385,20.4167,1.37,0.0,4.59,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,21.00,0.80,695,12.9950,66.96%,21.13%,45.83%,33.04%,0.00%,0.00%,-,10.00,2.46,37.01,29 Oct 2024,31 Dec 2024,8.54,20.45,929799120.00,Z-EQ,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,1164.73,-,18.0,-1.64,18.0,6.517,359850.0,73.3774,-17.7778,15.985,14.218,12.709,17.2774,16.9512,15.8587,1.0925,0.8902,18.7321,13.2379,106.84,-115596.6696,17.6622,17.3526,16.6224,1.5453,0.0,0.56,1.988,-,1.236,-,-,-,0.200,-,-,-,-,18.30,-0.30,227,6.5170,69.99%,32.64%,37.35%,30.01%,0.00%,0.00%,-,1.00,-0.12,21.73,29 Oct 2024,31 Dec 2024,-,-,647074420.00,Z-EQ,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,836.82,-,3.5,-2.78,3.5,16.258,4639503.0,62.1566,-42.8571,3.27,3.216,2.985,3.3708,3.3421,3.281,0.0612,0.0269,3.5221,3.0179,424.97,1563552.3563,3.3844,3.3487,3.3062,1.2163,0.0,-,-,-,-,-,-,-,-,-,-,-,-,3.60,-0.10,295,16.2580,84.49%,10.55%,73.94%,15.51%,0.00%,0.00%,-,-,-1.37,8.69,25 Sep 2024,-,-,-,2390903960.00,A-MF,239090396
ABBANK,AB Bank PLC,Bank,Z,4388.9,-,4.9,0.0,4.9,4.016,819531.0,53.3342,-66.6667,4.9,4.714,5.08,4.8992,4.8882,4.8404,0.0478,0.0462,5.1513,4.6487,24.65,-99820.8749,4.9022,4.9077,4.9143,1.7544,0.0,-,-,-,-,-,1.242,1.343,-,-,1.199,-,-,4.90,0.00,183,4.0160,80.48%,35.15%,44.79%,18.95%,0.57%,0.54%,-,-,-43.42,-36.24,03 May 2026,18 Jun 2026,-,-,8956947490.00,Z-EQ,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,6053.59,-,0.0,0.0,1060.0,0.0,0.0,63.0051,-25.0,1068.0,1047.2,0.0,1048.3281,1041.8432,1008.2701,33.5732,35.131,1136.8491,999.1509,11.5,4204.2088,1067.1111,1069.8718,1070.619,0.002,0.0,0.09,-,-,-,-,-,-,-,-,-,-,-,1060.00,0.00,0,0.0000,100.00%,94.73%,5.27%,0.00%,0.00%,0.00%,-,10.00,0.00,0.00,10 Dec 2025,-,-,-,57109360.00,A-CB,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,2409.92,113.81,23.9,0.0,23.9,1.369,57313.0,59.4777,-50.0,23.935,21.744,19.052,23.8754,23.8508,23.3446,0.5063,0.6906,24.6841,23.1859,43.38,-154682.2887,23.8711,23.8897,23.9071,1.1854,0.0,4.18,2.961,-,1.970,-,-,-,-,-,-,-,-,23.90,0.00,99,1.3690,50.42%,11.59%,38.73%,49.58%,0.00%,0.10%,-,10.00,0.21,33.63,27 Oct 2025,29 Dec 2025,113.81,256.07,1008333330.00,A-EQ,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,17838.65,-,203.3,2.47,203.1,14.085,69219.0,63.1503,-20.7865,195.26,193.174,193.343,199.5799,198.6508,196.1265,2.5243,1.6716,205.3034,185.2166,15.88,16237.7864,200.86,200.0564,197.6552,1.1425,0.0,1.23,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,198.20,4.90,504,14.0850,52.73%,34.15%,18.58%,47.27%,0.00%,0.00%,-,25.00,-7.40,91.64,29 Oct 2025,28 Dec 2025,-,-,878318430.00,A-EQ,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,7224.53,19.21,152.9,1.39,152.9,13.816,90721.0,62.4297,-32.9268,147.915,143.848,137.9105,151.5637,150.8025,147.913,2.8895,2.5777,157.4874,138.3426,45.61,662.3384,152.7467,152.2769,150.1357,1.2754,0.0,1.64,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,150.80,2.10,426,13.8160,33.98%,23.59%,10.39%,66.02%,0.00%,0.00%,-,25.00,7.85,75.51,29 Oct 2025,28 Dec 2025,19.21,13.69,472500000.00,A-EQ,47250000
ACMELAB,The ACME Laboratories Limited,Pharmaceuticals & Chemicals,A,17880.34,7.33,84.5,0.36,84.5,82.237,968563.0,68.1092,-46.1538,81.79,78.738,76.1975,83.3071,82.9042,81.3631,1.5412,1.3817,85.1214,78.4586,84.37,-233821.8184,83.7111,83.3436,82.5967,1.2099,0.0,4.14,1.154,0.265,0.680,-,0.098,0.068,0.422,0.042,0.091,-,-,84.20,0.30,"1,615",82.2370,59.61%,32.23%,27.37%,40.39%,0.00%,0.01%,-,35.00,11.48,126.37,28 Oct 2025,22 Dec 2025,7.33,6.72,2116017000.00,A-EQ,211601700
ACMEPL,Acme Pesticides Limited,Pharmaceuticals & Chemicals,B,3145.5,-,23.3,-0.85,23.3,50.142,2146431.0,46.0086,-70.5882,23.62,23.858,18.8185,23.5213,23.5534,23.6791,-0.1257,-0.1144,24.3812,22.8588,493.27,-2483810.966,23.4978,23.4936,23.5281,1.4107,0.0,-,4.422,0.117,3.222,-,-,-,-,-,-,-,-,23.50,-0.20,"1,361",50.1420,68.20%,14.94%,53.26%,31.80%,0.00%,0.00%,-,0.01,-1.14,16.41,02 Nov 2025,29 Dec 2025,-,-,1350000000.00,B-EQ,135000000
ACTIVEFINE,Active Fine Chemicals Limited,Pharmaceuticals & Chemicals,Z,1751.54,62.73,7.3,5.8,7.3,12.128,1694732.0,59.6876,-16.6667,7.1,6.852,6.7895,7.0404,7.04,7.0048,0.0352,0.0509,7.4112,6.7888,63.9,-10105.4589,7.0111,7.0244,7.0633,1.357,0.0,0.34,-,-,-,-,-,-,-,-,-,-,-,6.90,0.40,547,12.1280,87.96%,21.05%,66.64%,12.04%,0.00%,0.27%,-,0.25,0.11,22.07,30 Oct 2022,29 Dec 2022,62.73,43.13,2399365800.00,Z-EQ,239936580
ADNTEL,ADN Telecom Limited,IT Sector,A,4506.22,27.25,69.7,0.29,69.7,59.369,846427.0,64.0344,-24.2857,67.985,63.566,62.652,68.8379,68.4957,66.8384,1.6573,1.6859,70.6646,65.3054,309.47,-536693.6252,69.1711,68.9346,68.3848,1.2659,0.0,1.43,1.943,-,1.935,0.122,0.152,0.091,0.354,0.049,0.077,-,-,69.50,0.20,"1,374",59.3690,59.24%,18.80%,38.66%,40.76%,0.00%,1.78%,-,10.00,2.55,32.82,28 Oct 2025,15 Dec 2025,27.25,28.02,646516660.00,A-EQ,64651666
