Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),EPS,NAV(Year End),Audited PE,Forward PE,PaidUp Capital,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,869.77,-,3.0,0.0,3.0,3.901,1266072.0,51.4214,-66.6667,2.96,2.728,2.963,3.1192,3.0943,2.9652,0.129,0.1351,3.5418,2.3782,209.74,1611060.4289,3.1867,3.1769,3.0752,1.2692,-,-,-,-,-,-,-,-,-,-,-,-,-2.24,7.54,-,-,2899233490.00,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,350.0,-,17.5,0.57,17.5,1.862,105652.0,39.2412,-91.3043,18.145,18.956,20.0995,18.034,18.1157,18.4137,-0.298,-0.2588,19.2509,17.0391,441.95,-448860.3583,18.0467,18.1462,18.14,0.9954,-,-,-,-,-,-,-,-,-,-,-,-,-0.53,8.6,-,-,200000000.00,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1506.27,6.67,16.2,-1.22,16.2,2.139,131037.0,44.1794,-75.0,16.565,16.588,18.15,16.6712,16.6884,16.6853,0.0031,0.0424,17.8583,15.2717,59.05,-213216.736,16.68,16.7885,16.7033,1.3316,6.17,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,2.46,37.01,6.67,15.97,929799120.00,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,828.26,-,12.7,-2.29,12.8,0.955,73780.0,47.9972,-72.093,13.125,12.232,12.2425,13.4416,13.4222,13.0344,0.3879,0.5277,15.7034,10.5466,81.0,-24626.7663,13.5089,13.7269,13.5114,1.5147,0.78,1.988,-,1.236,-,-,-,0.200,-,-,-,-,-0.12,21.73,-,-,647074420.00,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,789.0,-,3.3,3.12,3.3,17.182,5085702.0,53.7901,-54.5455,3.145,2.876,3.1485,3.3792,3.3378,3.158,0.1798,0.1734,3.8975,2.3925,733.93,1628322.5009,3.4756,3.4474,3.2995,1.2359,-,-,-,-,-,-,-,-,-,-,-,-,-1.37,8.69,-,-,2390903960.00,239090396
ABBANK,AB Bank PLC,Bank,B,5105.46,-,5.7,1.79,5.7,6.043,1059032.0,42.3296,-91.6667,6.355,5.652,5.538,5.9832,6.0569,6.0806,-0.0237,0.1271,7.1562,5.5538,120.11,-2723625.4821,5.9044,5.9962,6.1643,1.7794,-,-,-,-,-,1.575,1.647,-,-,-,-,-,-21.28,7.19,-,-,8956947490.00,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,5710.94,-,0.0,0.0,1000.0,0.0,0.0,63.0012,0.0,996.875,997.5,0.0,987.8821,978.8428,948.3589,30.4839,24.9785,1122.2168,871.5332,25.22,-269.4168,1000.0,1000.0,999.7024,0.0185,0.10,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,57109360.00,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,1815.0,83.81,18.0,2.27,18.0,0.663,37000.0,54.2999,-28.5714,17.59,17.576,17.865,17.8101,17.7775,17.7031,0.0744,0.0377,18.3181,16.8619,6.97,6216.016,17.86,17.841,17.7119,1.2163,5.56,2.961,-,1.970,-,-,-,-,-,-,-,-,0.21,33.63,83.81,97.78,1008333330.00,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,17390.7,-,198.0,0.46,198.0,7.903,39854.0,40.808,-92.9825,205.425,208.694,191.39,200.836,202.0887,205.336,-3.2473,-2.0243,218.5956,192.2544,50.31,-93064.7766,199.4267,200.7449,202.9067,1.088,1.26,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,-7.4,91.64,-,135.00,878318430.00,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,6407.1,17.41,135.1,-0.8,135.6,3.588,26428.0,41.1981,-76.6667,139.375,139.176,135.7625,137.799,138.2945,139.263,-0.9685,-0.3361,144.5754,134.1746,25.05,-14049.6861,137.3356,137.8385,138.5433,1.2205,1.84,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,7.85,75.51,17.41,10.52,472500000.00,47250000
ACMELAB,The ACME Laboratories Limited,Pharmaceuticals & Chemicals,A,15743.17,6.47,74.4,0.13,74.4,9.368,125554.0,37.8719,-95.1613,77.095,76.672,75.8395,75.7692,76.126,76.7795,-0.6535,-0.1773,80.059,74.131,40.04,-274315.2504,75.4178,75.8154,76.4681,1.1781,4.70,1.154,0.265,0.680,-,0.098,0.068,0.422,0.042,0.091,-,-,11.48,126.37,6.47,6.08,2116017000.00,211601700
ACMEPL,Acme Pesticides Limited,Pharmaceuticals & Chemicals,B,2862.0,-,21.2,4.95,21.2,156.142,7450553.0,70.3866,-15.7895,18.37,17.028,15.69,20.1048,19.7114,18.5152,1.1961,0.895,22.1241,14.6159,1012.59,861777.4919,20.6333,20.2346,19.2881,1.4716,-,4.422,0.117,3.222,-,-,-,-,-,-,-,-,-1.14,16.41,-,-,1350000000.00,135000000
ACTIVEFINE,Active Fine Chemicals Limited,Pharmaceuticals & Chemicals,Z,1631.57,62.73,6.9,-1.45,6.8,1.165,166958.0,47.8482,-81.25,7.0,6.454,7.3855,7.0627,7.0609,6.9078,0.1532,0.2213,7.7341,6.2659,83.79,-493128.2244,7.0978,7.1526,7.0876,1.3843,0.37,-,-,-,-,-,-,-,-,-,-,-,0.11,22.07,62.73,43.13,2399365800.00,239936580
ADNTEL,ADN Telecom Limited,IT Sector,A,3698.08,22.63,57.2,-0.87,57.2,15.06,260094.0,42.5832,-81.6327,58.28,60.138,65.875,58.2725,58.4366,59.1535,-0.7169,-0.6938,61.6614,54.8986,119.84,-147208.6386,58.2489,58.3551,58.2495,1.2684,1.75,2.057,-,2.048,0.146,0.164,0.100,0.385,0.047,0.074,-,-,2.55,32.82,22.63,22.90,646516660.00,64651666
ADVENT,Advent Pharma Limited,Pharmaceuticals & Chemicals,Z,1313.17,19.31,14.1,1.44,14.1,3.219,227980.0,52.6578,-42.1053,13.785,13.774,14.2925,14.0882,14.0462,13.923,0.1233,0.0891,14.8359,12.7341,80.12,-270720.1911,14.1889,14.1641,13.9633,1.4877,0.35,1.507,0.005,1.157,-,0.200,0.134,0.352,0.035,0.044,-,-,0.72,16.43,19.31,28.96,931327320.00,93132732
AFCAGRO,AFC Agro Biotech Limited,Pharmaceuticals & Chemicals,Z,864.12,33.64,7.5,1.35,7.5,1.692,223583.0,58.7905,-41.1765,7.175,6.37,6.7545,7.3555,7.3136,7.044,0.2696,0.3045,7.9825,6.3675,59.67,-358875.9901,7.4,7.4115,7.2862,1.672,0.67,5.609,-,4.057,-,0.066,0.036,0.232,0.010,0.012,-,-,0.22,18.19,33.64,32.65,1152162000.00,115216200
AFTABAUTO,Aftab Automobiles Limited,Engineering,Z,2944.71,-,27.9,-0.71,27.9,2.729,97190.0,39.8772,-78.7879,28.585,29.948,33.3995,28.6815,28.7486,29.1213,-0.3727,-0.4007,30.4034,26.7666,50.96,-251304.3748,28.7,28.8397,28.7548,1.3002,3.58,1.931,2.289,1.802,-,-,-,0.254,-,-,-,-,-1.37,47.57,-,-,1055449950.00,105544995
AGNISYSL,Agni Systems PLC.,IT Sector,B,1487.4,25.68,20.5,-1.44,20.5,11.727,567158.0,44.1745,-70.0,20.8,21.086,23.6415,20.9266,20.9424,20.9985,-0.0561,-0.0478,21.9295,19.6705,233.06,-376335.7735,20.96,21.0013,20.8948,1.2306,1.22,4.147,-,4.091,0.135,0.140,0.123,0.318,0.059,0.069,-,-,0.81,16.95,25.68,18.25,725561920.00,72556192
AGRANINS,Agrani Insurance PLC.,Insurance,A,770.8,13.64,21.4,1.9,21.4,0.447,20933.0,46.1431,-33.3333,21.31,22.932,23.9215,21.2466,21.2987,21.77,-0.4713,-0.5788,22.7938,19.8262,59.6,-2704.3277,21.2289,21.1744,21.1595,1.3524,-,-,-,-,-,-,-,-,-,-,-,-,0.18,19.42,13.64,116.67,360186980.00,36018698
AIBL1STIMF,AIBL 1st Islamic Mutual Fund,Mutual Funds,A,400.0,80.00,4.0,0.0,4.0,2.848,710958.0,54.0132,-55.5556,3.885,3.696,4.2955,4.0452,4.0195,3.9015,0.118,0.1173,4.4172,3.3528,245.94,-823815.3666,4.1044,4.0936,3.9929,0.8053,-,-,-,-,-,-,-,-,-,-,-,-,0.05,10.27,80.00,45.45,1000000000.00,100000000
AIBLPBOND,AIBL Mudaraba Perpetual Bond,Corporate Bond,A,340.0,-,0.0,0.0,3400.0,0.0,0.0,28.2954,-90.6667,3397.45,3428.98,4152.4175,3644.4837,3754.0084,4074.0431,-320.0346,-230.1143,4432.3528,2362.5472,0.31,-0.7165,3439.2,3441.4615,3418.5762,0.0445,0.03,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,1000000.00,100000
AIL,Alif Industries Limited,Textile,Z,1372.69,12.16,28.2,-1.74,28.2,4.448,156370.0,41.9546,-97.8723,29.66,28.652,42.975,29.6493,29.7132,29.6575,0.0557,0.2224,32.3709,26.9491,186.26,-238096.2543,29.6667,29.9756,29.9329,1.1787,3.55,4.992,-,4.235,-,-,-,-,-,-,-,-,2.36,24.56,12.16,9.52,486768350.00,48676835
AL-HAJTEX,Al-Haj Textile Mills Limited,Textile,B,2470.68,11.06,110.8,-0.54,110.8,16.604,147697.0,33.6033,-88.0383,121.49,127.588,136.035,116.7225,118.0959,122.5338,-4.4379,-3.5103,132.0363,110.9437,179.61,-255575.5036,115.6089,116.7769,119.1862,1.0875,0.45,1.616,-,1.134,-,-,-,-,-,-,-,-,10.07,18.52,11.06,11.06,222985490.00,22298549
ALARABANK,Al-Arafah Islami Bank PLC.,Bank,A,18196.73,24.24,15.8,-1.25,15.8,0.242,15188.0,42.8013,-88.4615,16.735,15.706,16.2445,16.2159,16.3272,16.3744,-0.0472,0.1749,17.987,15.483,7.19,-89324.6747,16.0533,16.2449,16.5471,0.6223,-,-,-,-,-,0.425,0.038,-,0.001,0.030,0.001,-,0.66,20.85,24.24,35.29,11516917130.00,1151691713
ALIF,Alif Manufacturing Company Ltd,Textile,Z,1273.64,14.85,4.9,0.0,4.9,0.898,184023.0,50.651,-80.0,5.025,4.462,4.928,5.0566,5.0481,4.8883,0.1597,0.2161,5.5313,4.5187,91.07,-248268.6162,5.0711,5.1167,5.0852,1.6733,2.04,15.328,-,13.723,-,-,-,-,-,-,-,-,0.33,15.15,14.85,22.97,2599270220.00,259927022
ALLTEX,Alltex Industries Limited,Textile,Z,716.39,-,12.9,-1.54,12.8,1.763,135915.0,32.2908,-95.2381,13.95,14.09,12.772,13.5897,13.7136,13.9683,-0.2547,-0.1024,14.9179,12.9821,138.72,-484945.4671,13.5156,13.6692,13.8329,1.4313,-,0.234,-,0.226,-,-,-,-,-,-,-,-,-0.18,24.77,-,162.50,559680000.00,55968000
AMANFEED,Aman Feed PLC,Miscellaneous,A,2946.83,103.64,22.4,-1.32,22.5,11.184,494358.0,41.5606,-93.75,23.01,23.402,24.179,23.0158,23.0596,23.2061,-0.1465,-0.1193,23.8827,22.1373,60.71,-300254.6548,23.0533,23.091,23.0381,1.2919,5.11,2.425,-,1.527,0.016,0.066,0.003,0.108,0.003,0.008,-,-,0.22,28.03,103.64,24.78,1309704000.00,130970400
AMBEEPHA,Ambee Pharmaceuticals PLC.,Pharmaceuticals & Chemicals,A,1820.64,349.41,756.6,-1.76,758.6,0.377,491.0,47.2989,-78.6967,765.23,753.814,783.564,769.1434,768.7712,765.4618,3.3094,4.0492,791.0794,739.3806,9.63,1071.3944,769.5022,769.0615,768.1133,0.8044,0.13,0.828,0.006,0.526,-,0.035,0.023,0.475,0.007,0.164,-,-,2.21,13.47,349.41,207.58,24000000.00,2400000
AMCL(PRAN),Agricultural Marketing Co Ltd.,Food & Allied,A,1692.0,42.46,211.5,-0.56,211.5,0.979,4622.0,52.6758,-62.5641,208.385,211.316,216.6105,210.8982,210.4993,210.1343,0.365,-0.3392,214.8597,201.9103,26.48,-5959.7568,211.58,210.9397,209.4514,0.9319,1.51,1.656,-,0.601,0.019,0.026,0.013,0.191,0.027,0.061,-,-,5.01,92.88,42.46,31.19,80000000.00,8000000
ANLIMAYARN,Anlima Yarn Dyeing Limited,Textile,Z,343.06,-,19.2,-0.52,19.2,0.086,4497.0,48.7697,-70.3704,19.325,18.922,20.3885,19.5191,19.503,19.3295,0.1734,0.2197,20.715,17.935,111.88,-38199.7853,19.5644,19.6205,19.5219,1.0759,-,0.523,-,0.382,-,-,-,-,-,-,-,-,-2.99,5.63,-,-,178678000.00,17867800
ANWARGALV,Anwar Galvanizing Limited,Engineering,A,2683.63,-,88.9,-0.67,88.9,19.31,214795.0,39.9303,-93.3962,93.815,93.66,81.476,92.7752,93.2915,94.0359,-0.7444,0.039,100.0768,87.5532,486.25,-440776.9115,92.6467,93.3654,93.6519,1.484,-,0.720,0.601,0.433,-,-,-,-,-,-,-,-,-12.32,1.38,-,14.82,301870800.00,30187080
AOL,Associated Oxygen Limited,Fuel & Power,Z,1734.56,9.52,15.9,-0.63,15.8,4.39,277206.0,48.9315,-73.6842,15.935,15.42,14.902,16.1028,16.0869,15.9017,0.1852,0.2373,16.8487,15.0213,67.33,-343257.514,16.1533,16.1859,16.081,1.6144,0.63,-,-,-,-,-,-,-,-,-,-,-,1.59,19.33,9.52,10.00,1097820000.00,109782000
APEXFOODS,Apex Foods Limited,Food & Allied,A,1277.34,35.18,224.0,-0.67,224.0,1.607,7139.0,46.6265,-73.2719,223.265,232.364,225.363,224.7466,224.9011,226.7212,-1.8201,-2.3374,232.2769,214.2531,53.52,-7742.4107,224.8289,224.991,224.2352,1.0981,0.89,2.027,-,1.741,0.040,0.033,0.016,0.096,0.028,0.044,-,-,6.41,126.05,35.18,32.12,57024000.00,5702400
APEXFOOT,Apex Footwear Limited,Tannery Industries,A,3651.54,21.66,185.8,-0.48,185.8,5.355,28619.0,50.3256,-51.2605,184.64,185.462,203.626,185.8433,185.7596,185.6808,0.0788,-0.068,190.5017,178.7783,67.37,-42463.9199,185.9422,185.9859,185.26,0.8786,1.35,1.042,-,0.144,0.021,0.096,0.008,0.289,0.004,0.020,-,-,8.62,436.68,21.66,23.40,196530460.00,19653046
APEXSPINN,Apex Spinning & Knitting Mills Limited,Textile,A,1971.48,61.50,234.7,6.01,234.7,55.905,244008.0,72.1266,-6.7002,197.395,205.092,157.6955,211.459,208.2717,203.3583,4.9134,0.2262,225.5878,169.2022,273.96,245515.6367,213.5978,209.4782,202.6495,1.0094,0.85,1.190,-,1.002,-,-,-,-,0.008,0.021,-,-,3.6,83.11,61.50,65.50,84000000.00,8400000
