Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI[14],Willams %R[14],SMA[20],SMA[50],SMA[200],EMA[9],EMA[12],EMA[26],"MACD[12,26]",MACD Signal[9],"BB Upper[20,2]","BB Lower[20,2]",TV[22],"CO[3,10]",WMA[9],WMA[12],WMA[20],Beta[5],VWMA[20],VWMA[50],VWMA[200],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),YCP,Change,Trade,Value (Turnover)(mn),Free Float,Institute Share %,Public Share %,Sponsor Director Share %,Govt. Share %,Foreign Share %,Stock Dividend,Cash Dividend,EPS,NAV(Year End),Last Dividend Date,Last AGM Date,Audited PE,Forward PE,PaidUp Capital,Quote Bases,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,1014.73,-,3.50,0.00,3.50,2.5420,"717,129",48.5735,-50.0000,3.4800,3.6400,3.0280,3.4665,3.4747,3.5238,-0.0491,-0.0543,3.6589,3.3011,97.9500,-1411303.7316,3.4600,3.4551,3.4662,1.3059,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,3.50,0.00,137,2.5420,75.00%,30.20%,44.80%,25.00%,0.00%,0.00%,-,-,-2.24,7.54,15 Sep 2024,-,-,-,2899233490.00,A-MF,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,518.00,-,25.90,9.75,25.90,64.7510,"2,556,247",65.7760,0.0000,22.2700,23.5180,20.4715,23.4939,23.2550,23.0164,0.2386,-0.1739,24.8231,19.7169,731.3700,1056436.5364,23.7067,23.3692,22.7729,0.9734,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,23.60,2.30,"1,217",64.7510,98.00%,23.98%,74.01%,2.00%,0.00%,0.01%,-,-,-0.53,8.60,01 Feb 2026,-,-,9.75,200000000.00,A-MF,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1738.72,7.52,18.70,1.08,18.70,2.6650,"142,772",46.7182,-50.0000,18.8800,20.1200,17.9415,18.3296,18.4300,19.0146,-0.5846,-0.6393,21.3024,16.4576,85.7800,417.1804,18.1778,18.1026,18.3895,1.3963,0.0000,0.0000,0.0000,0.05,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,18.50,0.20,208,2.6650,66.96%,21.74%,45.22%,33.04%,0.00%,0.00%,-,0.10,0.13,36.14,06 Sep 2026,-,7.52,-,929799120.00,Z-EQ,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,1093.56,-,16.90,4.32,16.90,1.5110,"89,749",44.9952,-51.6129,17.0000,18.7060,14.1575,16.6323,16.8053,17.5615,-0.7562,-0.7320,18.6971,15.3029,75.2100,-88595.8919,16.4267,16.5436,16.7471,1.5721,0.0000,0.0000,0.0000,0.15,1.988,-,1.236,-,-,-,0.200,-,-,-,-,16.20,0.70,146,1.5110,69.99%,29.97%,40.02%,30.01%,0.00%,0.00%,-,0.25,-3.17,18.46,13 Jul 2026,-,-,-,647074420.00,Z-EQ,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,884.63,-,3.70,2.78,3.70,4.9730,"1,339,188",53.2912,-25.0000,3.5550,3.7520,3.1665,3.5741,3.5769,3.6183,-0.0414,-0.0547,3.7547,3.3553,178.0300,-1514163.0338,3.5689,3.5641,3.5614,1.2725,0.0000,0.0000,0.0000,-,-,-,-,-,-,-,-,-,-,-,-,3.60,0.10,201,4.9730,84.49%,16.43%,68.06%,15.51%,0.00%,0.00%,-,-,-1.37,8.69,25 Sep 2024,-,-,-,2390903960.00,A-MF,239090396
ABBANK,AB Bank PLC,Bank,Z,4030.63,-,4.60,-4.26,4.50,21.6490,"4,807,477",43.1200,-60.0000,4.5800,4.7900,4.9650,4.5598,4.5660,4.6339,-0.0679,-0.0865,4.8279,4.3321,16.3200,-375582.0820,4.5489,4.5372,4.5500,1.7111,0.0000,0.0000,0.0000,-,-,-,-,-,1.242,1.343,-,-,1.199,-,-,4.70,-0.20,652,21.6490,80.48%,35.00%,44.94%,18.95%,0.57%,0.54%,-,-,-43.42,-36.24,03 May 2026,18 Jun 2026,-,-,8956947490.00,Z-EQ,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,6053.59,-,0.00,0.00,1060.00,0.0000,0,63.0051,-25.0000,1068.0000,1047.2000,0.0000,1048.3281,1041.8432,1008.2701,33.5732,35.1310,1136.8491,999.1509,11.5000,4204.2088,1067.1111,1069.8718,1070.6190,0.0020,0.0000,0.0000,0.0000,0.09,-,-,-,-,-,-,-,-,-,-,-,1060.00,0.00,0,0.0000,100.00%,94.73%,5.27%,0.00%,0.00%,0.00%,-,10.00,0.00,0.00,10 Dec 2025,-,-,-,57109360.00,A-CB,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,2228.42,106.67,22.00,-1.34,22.10,1.8110,"81,954",43.3369,-48.7179,22.6950,23.1660,20.1500,22.2743,22.3490,22.6585,-0.3095,-0.2910,24.0935,21.2965,19.5400,-28281.6375,22.1711,22.1654,22.4229,1.2053,0.0000,0.0000,0.0000,4.52,2.961,-,1.970,-,-,-,-,-,-,-,-,22.40,-0.30,110,1.8110,50.42%,11.68%,38.64%,49.58%,0.00%,0.10%,-,10.00,0.21,33.63,27 Oct 2025,29 Dec 2025,106.67,240.00,1008333330.00,A-EQ,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,16494.82,-,187.80,1.90,187.80,2.5320,"13,534",47.3154,-21.6216,187.2200,195.6520,197.6605,185.0796,185.6869,188.9375,-3.2506,-3.4465,194.6981,179.7419,3.4600,-5058.1404,183.9111,184.4218,185.8090,1.1408,0.0000,0.0000,0.0000,1.33,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,184.30,3.50,169,2.5320,52.73%,34.30%,18.43%,47.27%,0.00%,0.00%,-,25.00,-7.40,91.64,29 Oct 2025,28 Dec 2025,-,-,878318430.00,A-EQ,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,7588.35,19.76,160.60,3.55,160.60,47.3460,"297,442",53.7734,-13.3333,155.0950,164.9600,144.8070,154.9268,155.0808,157.7376,-2.6567,-3.5688,163.7180,146.4720,84.0100,21620.6921,154.5222,153.8410,153.9833,1.2807,0.0000,0.0000,0.0000,1.56,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,155.10,5.50,"1,204",47.3460,33.98%,19.98%,14.00%,66.02%,0.00%,0.00%,-,25.00,7.85,75.51,29 Oct 2025,28 Dec 2025,19.76,14.08,472500000.00,A-EQ,47250000
ACMELAB,The ACME Laboratories Limited,Pharmaceuticals & Chemicals,A,16737.69,6.78,79.10,1.67,79.10,12.2990,"155,862",49.9732,-25.0000,78.4150,81.4580,77.3135,77.8983,78.0303,79.0399,-1.0096,-1.1948,80.8196,76.0104,14.4400,-110028.5372,77.6333,77.6038,77.9300,1.1982,0.0000,0.0000,0.0000,4.42,1.154,0.265,0.680,-,0.098,0.068,0.422,0.042,0.091,-,-,77.80,1.30,434,12.2990,59.61%,30.46%,29.12%,40.39%,0.00%,0.03%,-,35.00,11.48,126.37,28 Oct 2025,22 Dec 2025,6.78,6.21,2116017000.00,A-EQ,211601700
ACMEPL,Acme Pesticides Limited,Pharmaceuticals & Chemicals,B,3402.00,-,25.20,0.80,25.20,77.5360,"3,059,614",54.9418,-45.1613,24.6950,24.1280,20.8150,24.7016,24.6760,24.5703,0.1056,0.0990,25.8853,23.5047,475.0500,-694515.6132,24.6489,24.5885,24.6714,1.4081,0.0000,0.0000,0.0000,-,4.422,0.117,3.222,-,-,-,-,-,-,-,-,25.00,0.20,"1,476",77.5360,68.20%,15.52%,52.68%,31.80%,0.00%,0.00%,-,0.01,-1.14,16.41,02 Nov 2025,29 Dec 2025,-,-,1350000000.00,B-EQ,135000000
ACTIVEFINE,Active Fine Chemicals Limited,Pharmaceuticals & Chemicals,Z,1391.63,50.91,5.70,3.57,5.80,1.6210,"284,001",40.4797,-71.4286,5.9200,6.4700,6.4955,5.7380,5.7895,6.0424,-0.2529,-0.2588,6.4495,5.3905,24.5700,-191407.5503,5.6778,5.6987,5.7948,1.3498,0.0000,0.0000,0.0000,0.43,-,-,-,-,-,-,-,-,-,-,-,5.60,0.20,286,1.6210,87.96%,21.05%,66.64%,12.04%,0.00%,0.27%,-,0.25,0.11,22.07,30 Oct 2022,29 Dec 2022,50.91,35.00,2399365800.00,Z-EQ,239936580
ADNTEL,ADN Telecom Limited,IT Sector,A,3840.31,22.67,59.80,2.77,59.40,15.4610,"263,964",44.5425,-44.0000,59.7250,64.3960,61.5935,58.1771,58.5590,60.5363,-1.9774,-2.0693,64.3059,55.1441,43.8100,165085.1528,57.5467,57.7628,58.6724,1.2565,0.0000,0.0000,0.0000,1.68,1.943,-,1.935,0.122,0.152,0.091,0.354,0.049,0.077,-,-,57.80,1.60,752,15.4610,59.24%,17.44%,40.28%,40.76%,0.00%,1.52%,-,10.00,2.55,32.82,28 Oct 2025,15 Dec 2025,22.67,23.31,646516660.00,A-EQ,64651666
ADVENT,Advent Pharma Limited,Pharmaceuticals & Chemicals,Z,1313.17,19.17,14.10,2.17,14.10,1.0680,"75,953",46.0790,-38.8889,14.0450,15.1260,14.2610,13.8089,13.8808,14.3065,-0.4258,-0.4683,14.9615,13.1285,33.6900,-147840.5877,13.6889,13.7141,13.8624,1.4918,0.0000,0.0000,0.0000,0.35,1.507,0.005,1.157,-,0.200,0.134,0.352,0.035,0.044,-,-,13.80,0.30,89,1.0680,69.98%,12.78%,56.20%,30.02%,0.00%,1.00%,-,0.50,0.72,16.43,27 Oct 2025,31 Dec 2025,19.17,31.36,931327320.00,Z-EQ,93132732
