Symbol,Company,Sector,Category,Market Cap (mn),PE,LTP,%,Close,Value(Turnover) (mn),Volume(Qty),RSI [14],Willams %R [14],SMA [20],SMA [50],SMA [200],EMA [9],EMA [12],EMA [26],"MACD [12,26]",MACD Signal [9],"BB Upper [20,2]","BB Lower [20,2]",TV [22],"CO [3,10]",WMA [9],WMA [12],WMA [20],Beta [5],Dividend Yield,Current Ratio,Quick Ratio,Debt To Equity,EBITDA Margin,Operating Profit Margin,Net Profit Margin,Gross Profit Margin,Return on Assets (ROA),Return on Equity (ROE),Return on Earnings Assets (ROEA),Return on Investment (ROI),EPS,NAV(Year End),Audited PE,Forward PE,PaidUp Capital,Total Shares
1JANATAMF,First Janata Bank Mutual Fund,Mutual Funds,A,869.77,-,3.0,0.0,3.0,2.407,800665.0,48.3706,-80.0,3.035,2.998,2.907,3.0399,3.0404,3.033,0.0074,0.0121,3.1692,2.9008,120.78,-2221007.3063,3.0444,3.0385,3.0362,1.2403,-,-,-,-,-,-,-,-,-,-,-,-,-2.24,7.54,-,-,2899233490.00,289923349
1STPRIMFMF,Prime Finance First Mutual Fund,Mutual Funds,A,376.0,-,18.8,2.17,18.8,7.109,381623.0,48.7535,-71.4286,19.225,18.634,20.05,18.8598,18.9046,18.9149,-0.0103,0.0832,20.2609,18.1891,799.36,-518861.3136,18.8111,18.8667,19.0214,0.9399,-,-,-,-,-,-,-,-,-,-,-,-,-0.53,8.6,-,9.39,200000000.00,20000000
AAMRANET,Aamra Networks Limited.,IT Sector,Z,1496.98,6.50,16.3,0.63,16.1,2.196,136223.0,47.5317,-72.7273,16.22,16.406,18.014,16.0195,16.055,16.2071,-0.152,-0.1454,16.8931,15.5469,50.86,-210886.0242,15.9667,15.9756,16.0871,1.3419,6.21,2.957,-,2.304,0.204,0.214,0.188,0.399,0.055,0.067,-,-,2.46,37.01,6.50,15.58,929799120.00,92979912
AAMRATECH,Aamra Technologies Limited,IT Sector,Z,815.31,-,12.6,1.61,12.6,0.638,50728.0,49.5934,-50.0,12.665,12.882,12.3735,12.3216,12.3849,12.6175,-0.2326,-0.2029,13.7396,11.5904,31.93,-156553.4709,12.1956,12.2269,12.4324,1.5369,0.79,1.988,-,1.236,-,-,-,0.200,-,-,-,-,-0.12,21.73,-,-,647074420.00,64707442
ABB1STMF,AB BANK 1ST MUTUAL FUND,Mutual Funds,A,765.09,-,3.2,0.0,3.2,9.549,2994569.0,49.0581,-66.6667,3.22,3.194,3.0365,3.2285,3.227,3.2241,0.0029,0.0009,3.4503,2.9897,349.86,-2720295.0067,3.2356,3.2205,3.209,1.2121,-,-,-,-,-,-,-,-,-,-,-,-,-1.37,8.69,-,-,2390903960.00,239090396
ABBANK,AB Bank PLC,Bank,Z,3941.06,-,4.4,0.0,4.4,2.126,480498.0,23.2414,-87.5,5.1,5.808,5.402,4.5952,4.7084,5.1164,-0.4079,-0.3512,6.3087,3.8913,37.91,-831194.9101,4.4689,4.5269,4.7938,1.7854,-,-,-,-,-,1.575,1.647,-,-,-,-,-,-43.42,-36.24,-,-,8956947490.00,895694749
ABBLPBOND,AB Bank Perpetual Bond,Corporate Bond,A,6053.59,-,0.0,0.0,1060.0,0.0,0.0,72.1578,0.0,1050.5,1021.7,0.0,1041.5783,1032.8397,995.8272,37.0125,35.2393,1123.3922,977.6078,22.93,-54.1152,1052.0,1051.5385,1050.9524,0.0357,0.09,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,57109360.00,5710936
ACFL,Aman Cotton Fibrous PLC,Textile,A,1966.25,88.10,19.8,5.41,19.5,3.122,163037.0,74.1398,-11.5385,18.41,17.982,18.2425,18.6966,18.6138,18.3641,0.2497,0.1855,19.065,17.755,17.88,-5139.4407,18.7511,18.6782,18.5362,1.169,5.13,2.961,-,1.970,-,-,-,-,-,-,-,-,0.21,33.63,88.10,198.21,1008333330.00,100833333
ACI,ACI Limited,Pharmaceuticals & Chemicals,A,16723.18,-,190.4,-1.19,190.4,3.525,18427.0,39.5946,-80.9524,196.985,203.314,193.7345,192.5908,193.4682,197.1787,-3.7105,-3.5298,211.103,182.867,19.78,-39946.1176,191.5756,191.4526,193.9267,1.1073,1.31,0.676,0.568,0.384,-,0.074,-,0.249,-,-,-,-,-7.4,91.64,-,-,878318430.00,87831843
ACIFORMULA,ACI Formulations PLC,Pharmaceuticals & Chemicals,A,6610.28,17.67,141.0,0.87,139.9,3.614,25632.0,47.8786,-82.6531,141.735,140.93,137.745,140.2136,140.46,140.7952,-0.3353,0.0479,148.1328,135.3372,25.16,-34457.4634,139.8711,140.0859,141.001,1.235,1.79,1.236,-,0.925,-,0.142,0.072,0.323,0.043,0.104,-,-,7.85,75.51,17.67,12.59,472500000.00,47250000
